Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Aspartic acid,5960,gum arabic tree,Acacia nilotica,DOI: 10.1016/0308-8146(95)00238-3,C(C(C(=O)O)N)C(=O)O,C4H7NO4,133.1,3,5,3,27.59,100.62,-0.14,-3.89,-1.13,-3.59,-2.05,1.98,High,No,No,No,No,No,No,0,4,0.56,0,No,1.286,No,No,2.366,2.857,No,No,0.285,3.512
Glutamic acid,33032,gum arabic tree,Acacia nilotica,DOI: 10.1016/0308-8146(95)00238-3,C(CC(=O)O)C(C(=O)O)N,C5H9NO4,147.13,4,5,3,32.4,100.62,0.41,-3.69,-0.74,-3.18,-1.68,1.84,High,No,No,No,No,No,No,0,4,0.56,0,No,0.898,No,No,2.443,2.444,No,No,0.285,3.182
Alanine,5950,gum arabic tree,Acacia nilotica,DOI: 10.1016/0308-8146(95)00238-3,CC(C(=O)O)N,C3H7NO2,89.09,1,3,2,21.01,63.32,0.33,-2.96,-0.58,-3.06,-1.46,1.54,High,No,No,No,No,No,No,0,4,0.55,0,No,1.118,No,No,1.994,2.799,No,No,0.086,3.123
Valine,6287,gum arabic tree,Acacia nilotica,DOI: 10.1016/0308-8146(95)00238-3,CC(C)C(C(=O)O)N,C5H11NO2,117.15,2,3,2,30.63,63.32,1.03,-2.26,0.05,-2.2,-0.78,0.99,High,No,No,No,No,No,No,0,3,0.55,0,No,1.137,No,No,2.019,2.901,No,No,0.184,2.422
Glycine,750,gum arabic tree,Acacia nilotica,DOI: 10.1016/0308-8146(95)00238-3,C(C(=O)O)N,C2H5NO2,75.07,1,3,2,16.21,63.32,0.37,-3.21,-0.97,-3.58,-1.69,1.78,High,No,No,No,No,No,No,0,4,0.55,0,No,1.12,No,No,1.993,2.838,No,No,0.084,3.24
Arginine,6322,gum arabic tree,Acacia nilotica,DOI: 10.1016/0308-8146(95)00238-3,C(CC(C(=O)O)N)CN=C(N)N,C6H14N4O2,174.2,5,4,4,44.54,127.72,0.04,-4.19,-1.55,-3.21,-2.08,2.05,Low,No,No,No,No,No,No,0,1,0.55,0,Yes,0.444,No,No,2.486,2.245,No,No,0.285,3.32
Serine,5951,gum arabic tree,Acacia nilotica,DOI: 10.1016/0308-8146(95)00238-3,C(C(C(=O)O)N)O,C3H7NO3,105.09,2,4,3,22.18,83.55,0.19,-3.07,-1.61,-3.91,-1.97,1.57,High,No,No,No,No,No,No,0,4,0.55,0,No,1.164,No,No,1.967,2.971,No,No,0.169,3.516
Cystine,67678,gum arabic tree,Acacia nilotica,DOI: 10.1016/0308-8146(95)00238-3,C(C(C(=O)O)N)SSCC(C(=O)O)N,C6H12N2O4S2,240.3,7,6,4,55.1,177.24,0.67,-5.08,-0.81,-5.83,-2.47,2.33,Low,No,No,No,No,No,No,0,1,0.55,0,No,0.469,No,No,2.483,2.486,No,No,0.285,3.02
Methionine,6137,gum arabic tree,Acacia nilotica,DOI: 10.1016/0308-8146(95)00238-3,CSCCC(C(=O)O)N,C5H11NO2S,149.21,4,3,2,38.22,88.62,1.17,-1.87,0.15,-2.2,-0.58,0.68,High,No,No,No,No,No,No,0,2,0.55,0,No,1.129,No,No,2.009,2.603,No,No,0.152,2.321
Threonine,6288,gum arabic tree,Acacia nilotica,DOI: 10.1016/0308-8146(95)00238-3,CC(C(C(=O)O)N)O,C4H9NO3,119.12,2,4,3,26.98,83.55,0.61,-2.94,-1.22,-3.46,-1.67,1.41,High,No,No,No,No,No,No,0,4,0.55,0,No,1.162,No,No,1.968,2.932,No,No,0.17,3.399
