Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"(1R,2S,3S,4R,5R)-6,8-dioxabicyclo[3.2.1]octane- 2,3,4-triol",2724705,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,C1C2C(C(C(C(O1)O2)O)O)O,C6H10O5,162.14,0,5,3,32.38,79.15,1.27,-2.15,-2.18,-1.94,-1.26,0.51,High,No,No,No,No,No,No,0,2,0.55,0,No,1.439,No,No,0.937,2.778,No,No,0.286,3.893
"(2R,3R,11bs)-2-[(6,7-dimethoxy-3,4- dihydroisoquinolin-1-yl)methyl]-3-ethyl-9,10- dimethoxy-2,3,4,6,7,11b-hexahydro-1H- benzo[a]quinolizine",65033,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4=NCCC5=CC(=C(C=C54)OC)OC)OC)OC,C29H38N2O4,478.62,7,6,0,147.34,52.52,4.53,4.6,4.02,2.96,4.43,-5.5,High,Yes,No,No,No,Yes,Yes,0,2,0.55,0,No,-0.286,No,Yes,3.097,0.868,No,No,0.639,-0.859
"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-
2,5-bis(hydroxymethyl) oxolan-2-yl] oxy-6-",5988,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,C12H22O11,342.3,5,11,8,68.16,189.53,1.04,-3.7,-5.4,-4.37,-3.26,0.7,Low,No,No,No,No,No,No,2,1,0.17,0,No,1.574,No,No,1.677,4.527,No,No,0.285,9.287
"(3S,10S,13R,14R,17R)-17-[(2R,5S)-5,6-
dimethylheptan-2-yl]-10,13-dimethyl- 2,3,4,7,11,12,14,15,16,17-decahydro-1H-
cyclopenta[a]phenanthren-3-ol",22296544,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CC(C)C(C)CCC(C)C1CCC2C1(CCC3=C2CC=C4C3(CCC(C4)O)C)C,C28H46O,398.66,5,1,1,127.95,20.23,4.89,7.69,7.7,6.43,6.74,-6.83,Low,No,No,No,No,No,No,1,2,0.55,0,No,-0.31,No,Yes,1.795,0.875,No,No,0.856,-1.788
"(4,5-dimethyl-7a-prop-1-en-2-yl-2,3,3a,5,6,7- hexahydro-1H-inden-4-yl)methanol",605599,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CC1CCC2(CCCC2C1(C)CO)C(=C)C,C15H26O,222.37,2,1,1,70.16,20.23,2.95,5.03,3.78,3.67,3.83,-4.26,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,-0.571,No,No,1.742,1.449,No,Yes,1.938,0.461
"(E)-3-(4-hydroxy-3,5-dimethoxyphenyl) prop-2- enal",5280802,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,COC1=CC(=CC(=C1O)OC)C=CC=O,C11H12O4,208.21,4,4,1,56.55,55.76,1.97,1.4,1.51,0.75,1.54,-2.04,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.683,No,No,2.071,1.976,No,No,0.602,1.772
"(E)-3,5-bis(4-hydroxyphenyl)pent-4-ene-1,2-diol",5376471,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,C1=CC(=CC=C1C=CC(C2=CC=C(C=C2)O)C(CO)O)O,C17H18O4,286.32,5,4,4,81.81,80.92,2.02,2.27,2.14,1.89,2.19,-3.14,High,No,No,No,No,Yes,Yes,0,0,0.55,0,No,0.955,No,Yes,2.449,1.539,No,No,0.37,1.404
"1-(2,6-dihydroxy-4-methoxyphenyl)butan-1-one",597630,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CCCC(=O)C1=C(C=C(C=C1O)OC)O,C11H14O4,210.23,4,4,2,56.79,66.76,1.96,2.25,2.09,0.84,1.82,-2.59,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.535,No,No,1.815,2.184,No,No,0.584,1.513
"1-(4-hydroxy-3,5-dimethoxyphenyl)ethanone",17198,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CC(=O)C1=CC(=C(C(=C1)OC)O)OC,C10H12O4,196.2,3,4,1,51.64,55.76,1.98,0.21,1.61,0.55,1.21,-1.31,High,Yes,No,No,No,No,No,0,0,0.55,0,No,1.322,No,No,1.947,2.158,No,No,0.288,2.081
"1-(furan-2-yl)ethane-1,2-diol",566112,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,C1=COC(=C1)C(CO)O,C6H8O3,128.13,2,3,2,30.8,53.6,1.25,-0.51,-0.02,-0.97,0.08,-0.59,High,No,No,No,No,No,No,0,3,0.55,0,No,1.258,No,No,2.312,1.79,No,No,-1.121,2.839
