Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Aegeline,15558419,bael,Aegle marmelos,PMID: 23972792,COC1=CC=C(C=C1)C(CNC(=O)C=CC2=CC=CC=C2)O,C18H19NO3,297.35,7,3,2,86.1,58.56,2.54,2.44,2.12,2.18,2.49,-3.16,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,-0.084,No,Yes,1.987,1.069,No,No,1.3,0.41
Anhydroaegeline,13821181,bael,Aegle marmelos,PMID: 23972792,COC1=CC=C(C=C1)C=CNC(=O)C=CC2=CC=CC=C2,C18H17NO2,279.33,6,2,1,85.25,38.33,3.0,3.58,3.28,2.96,3.32,-3.85,High,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0.55,0,No,0.586,No,Yes,2.048,1.636,Yes,No,1.369,0.151
Esculetin,5281416,bael,Aegle marmelos,PMID: 23972792,C1=CC(=O)OC2=CC(=C(C=C21)O)O,C9H6O4,178.14,0,4,2,46.53,70.67,1.25,1.22,1.2,0.45,1.12,-2.28,High,No,Yes,No,No,No,No,0,1,0.55,1,No,-0.262,No,No,2.337,1.504,No,No,0.39,2.341
Halfordinol,442858,bael,Aegle marmelos,PMID: 23972792,C1=CC(=CN=C1)C2=NC=C(O2)C3=CC=C(C=C3)O,C14H10N2O2,238.24,2,4,1,67.19,59.15,2.14,2.24,3.11,1.04,2.29,-3.3,High,Yes,Yes,Yes,No,Yes,Yes,0,0,0.55,0,No,0.027,No,No,2.327,1.094,No,No,0.396,0.345
Imperatorin,10212,bael,Aegle marmelos,PMID: 23972792,CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C,C16H14O4,270.28,3,4,0,77.5,52.58,3.05,3.5,3.88,2.14,3.31,-4.0,High,Yes,Yes,Yes,Yes,No,No,0,0,0.55,0,Yes,-0.593,No,No,2.2,1.794,No,No,0.614,0.25
Isoimperatorin,68081,bael,Aegle marmelos,PMID: 23972792,CC(=CCOC1=C2C=CC(=O)OC2=CC3=C1C=CO3)C,C16H14O4,270.28,3,4,0,77.5,52.58,3.07,3.43,3.88,2.14,3.3,-3.96,High,Yes,Yes,Yes,Yes,No,No,0,0,0.55,0,Yes,-0.317,No,No,2.278,1.871,No,No,0.568,-0.442
Isoscopoletin,69894,bael,Aegle marmelos,PMID: 23972792,COC1=C(C=C2C=CC(=O)OC2=C1)O,C10H8O4,192.17,1,4,1,51.0,59.67,1.95,1.38,1.51,0.76,1.51,-2.36,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,0.266,No,No,2.036,1.617,No,No,0.445,1.961
Marmeline,131750977,bael,Aegle marmelos,PMID: 23972792,CC(=CCOC1=CC=C(C=C1)C(CNC(=O)C=CC2=CC=CC=C2)O)C,C22H25NO3,351.44,9,3,2,104.85,58.56,3.71,3.94,3.46,3.01,3.71,-4.25,High,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0.55,0,No,-0.077,No,Yes,2.075,1.086,Yes,No,1.191,-0.381
Scoparone,8417,bael,Aegle marmelos,PMID: 23972792,COC1=C(C=C2C(=C1)C=CC(=O)O2)OC,C11H10O4,206.19,2,4,0,55.47,48.67,2.23,1.71,1.81,1.05,1.84,-2.56,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,0.494,No,No,2.345,2.408,No,No,0.603,1.223
Umbelliferone,5281426,bael,Aegle marmelos,PMID: 23972792,C1=CC(=CC2=C1C=CC(=O)O2)O,C9H6O3,162.14,0,3,1,44.51,50.44,1.44,1.58,1.5,1.04,1.51,-2.46,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,0.689,No,No,2.047,1.751,Yes,No,0.546,1.714
Xanthotoxin,4114,bael,Aegle marmelos,PMID: 23972792,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,C12H8O4,216.19,1,4,0,58.75,52.58,2.22,2.0,2.55,1.18,2.16,-2.98,High,Yes,Yes,No,No,No,No,0,0,0.55,0,Yes,-0.62,No,No,2.172,1.674,No,No,0.408,1.065
Xanthotoxol,65090,bael,Aegle marmelos,PMID: 23972792,C1=CC(=O)OC2=C(C3=C(C=CO3)C=C21)O,C11H6O4,202.16,0,4,1,54.28,63.58,1.69,1.67,2.24,0.89,1.78,-2.79,High,Yes,Yes,No,No,No,No,0,0,0.55,0,Yes,-0.317,No,No,2.07,1.112,No,No,0.599,1.777
