Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
4-hydroxy-4-methyl-cyclohex-2-enone,6636299,Buchu,Agathosma Betulina,PMID: 31965918,C1CC=C(C(=O)C1)C(C2=CC=C(C=C2)[N+](=O)[O-])O,C13H13NO4,247.25,3,4,1,67.85,83.12,1.81,2.09,1.98,0.75,1.45,-2.74,High,No,No,No,No,No,No,0,0,0.55,0,Yes,0.359,No,No,2.534,1.529,No,No,1.367,1.222
4-vinyl guaiacol,332,Buchu,Agathosma Betulina,PMID: 31965918,COC1=C(C=CC(=C1)C=C)O,C9H10O2,150.17,2,2,1,45.05,29.46,2.14,2.81,1.93,1.71,2.14,-2.81,High,Yes,Yes,No,No,No,No,0,1,0.55,0,Yes,1.067,No,No,2.076,2.019,No,Yes,0.071,1.957
8-hydroxymenthone,13614904,Buchu,Agathosma Betulina,PMID: 31965918,CC1CCC(C(=O)C1)C(C)(C)O,C10H18O2,170.25,1,2,1,49.47,37.3,2.21,1.89,1.76,1.38,1.82,-2.02,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.936,No,No,1.807,2.381,No,Yes,-0.122,2.115
Cis-carveol,330573,Buchu,Agathosma Betulina,PMID: 31965918,CC1=CCC(CC1O)C(=C)C,C10H16O,152.23,1,1,1,48.28,20.23,2.5,3.12,2.28,2.2,2.43,-2.68,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.838,No,No,1.959,1.887,No,Yes,0.197,1.672
Cis-isopulegone,443529,Buchu,Agathosma Betulina,PMID: 31965918,CC1CCC(C(=O)C1)C(=C)C,C10H16O,152.23,1,1,0,47.8,17.07,2.24,2.84,2.57,2.2,2.5,-2.51,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.777,No,No,1.869,1.964,No,Yes,0.375,1.461
Dimethyl anthranilate,6826,Buchu,Agathosma Betulina,PMID: 31965918,CNC1=CC=CC=C1C(=O)OC,C9H11NO2,165.19,3,2,1,47.03,38.33,2.02,2.55,1.32,1.64,1.78,-2.64,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,0.769,No,No,2.208,2.366,No,Yes,0.311,1.28
Diosphenol,79023,Buchu,Agathosma Betulina,PMID: 31965918,CC1=C(C(=O)C(CC1)C(C)C)O,C10H16O2,168.23,1,2,1,49.37,37.3,2.29,2.03,2.45,1.27,2.03,-2.1,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.968,No,No,1.867,2.243,No,Yes,0.219,1.627
Isopinocamphone,84532,Buchu,Agathosma Betulina,PMID: 31965918,CC1C2CC(C2(C)C)CC1=O,C10H16O,152.23,0,1,0,45.9,17.07,2.18,2.27,2.26,2.3,2.29,-2.21,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.374,No,No,1.692,1.932,No,Yes,0.313,1.435
Neomenthol,439263,Buchu,Agathosma Betulina,PMID: 31965918,CC1CCC(C(C1)O)C(C)C,C10H20O,156.27,1,1,1,49.23,20.23,2.55,3.4,2.44,2.45,2.58,-2.88,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.94,No,No,1.946,2.017,No,Yes,0.333,1.29
p-cymen-8-ol,14529,Buchu,Agathosma Betulina,PMID: 31965918,CC1=CC=C(C=C1)C(C)(C)O,C10H14O,150.22,1,1,1,47.03,20.23,2.17,1.99,2.11,2.49,2.25,-2.36,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,0.884,No,No,2.015,1.928,Yes,Yes,0.245,1.513
"p-mentha-1(7),8-diene",68140,Buchu,Agathosma Betulina,PMID: 31965918,CC(=C)C1CCC(=C)CC1,C10H16,136.23,1,0,0,47.12,0.0,2.67,3.59,3.31,3.27,3.22,-2.88,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.71,No,No,1.685,2.435,No,Yes,0.589,0.759
Pseudo-diosphenol,108261,Buchu,Agathosma Betulina,PMID: 31965918,CC1CCC(=C(C1=O)O)C(C)C,C10H16O2,168.23,1,2,1,49.37,37.3,2.3,2.0,2.45,1.27,2.03,-2.08,High,Yes,No,No,No,No,No,0,0,0.55,0,No,1.019,No,No,2.175,2.243,No,Yes,0.195,1.303
Trans-8-mercapto-p-menthan-3-one,6951713,Buchu,Agathosma Betulina,PMID: 31965918,CC1CCC(C(=O)C1)C(C)(C)S,C10H18OS,186.31,1,1,0,56.24,55.87,2.42,2.31,2.7,2.3,2.47,-2.38,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.76,No,No,2.121,1.176,No,Yes,0.916,1.464
Trans-carveol,94221,Buchu,Agathosma Betulina,PMID: 31965918,CC1=CCC(CC1O)C(=C)C,C10H16O,152.23,1,1,1,48.28,20.23,2.5,3.12,2.28,2.2,2.43,-2.68,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.838,No,No,1.959,1.887,No,Yes,0.197,1.672
Trans-isopulegone,6432305,Buchu,Agathosma Betulina,PMID: 31965918,CC1CCC(C(=O)C1)C(=C)C,C10H16O,152.23,1,1,0,47.8,17.07,2.24,2.84,2.57,2.2,2.5,-2.51,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.777,No,No,1.869,1.964,No,Yes,0.375,1.461
