Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Audroenececalinol,188454,White Weed,Ageratum conyzoides,PMID: 12184395,CC1(C=CC2=CC(=C(C=C2O1)OC)C=C)C,C14H16O2,216.28,2,2,0,67.15,18.46,3.21,3.59,3.3,2.64,3.28,-3.59,High,Yes,Yes,Yes,No,No,No,0,0,0.55,0,No,0.646,No,No,1.967,2.041,No,Yes,1.994,0.528
Bornyl formate,518472,White Weed,Ageratum conyzoides,PMID: 12184395,CC1(C2CCC1(C(C2)OC=O)C)C,C11H18O2,182.26,2,2,0,51.92,26.3,2.43,4.31,2.37,2.48,2.81,-3.55,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.391,No,No,1.67,2.023,No,Yes,0.398,1.47
Camphene,6616,White Weed,Ageratum conyzoides,PMID: 12184395,CC1(C2CCC(C2)C1=C)C,C10H16,136.23,0,0,0,45.22,0.0,2.58,4.22,3.0,4.29,3.43,-3.34,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.305,No,No,1.554,2.247,No,No,0.533,1.19
Copaene,12303902,White Weed,Ageratum conyzoides,PMID: 12184395,CC1=CCC2C3C1C2(CCC3C(C)C)C,C15H24,204.35,1,0,0,67.14,0.0,3.4,4.47,4.27,5.65,4.3,-3.86,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.302,No,No,1.644,1.356,No,No,1.122,0.128
Demethoxyencecalin,177040,White Weed,Ageratum conyzoides,PMID: 12184395,CC(=O)C1=CC2=C(C=C1)OC(C=C2)(C)C,C13H14O2,202.25,1,2,0,60.76,26.3,2.62,2.99,2.96,2.11,2.77,-3.21,High,Yes,Yes,Yes,No,No,No,0,0,0.55,0,Yes,0.693,No,No,1.899,2.14,No,No,1.16,1.025
-Elemene,6918391,White Weed,Ageratum conyzoides,PMID: 12184395,CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C,C15H24,204.35,3,0,0,70.42,0.0,3.37,6.11,4.75,4.53,4.65,-4.76,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.058,No,No,1.535,1.309,No,Yes,1.901,0.118
Eupatoriochromene,100768,White Weed,Ageratum conyzoides,PMID: 12184395,CC(=O)C1=C(C=C2C(=C1)C=CC(O2)(C)C)O,C13H14O3,218.25,1,3,1,62.78,46.53,2.63,2.73,2.67,1.5,2.44,-3.12,High,Yes,Yes,Yes,No,No,No,0,0,0.55,0,No,0.684,No,No,2.042,1.858,No,No,1.119,1.566
Fenchyl acetate,107217,White Weed,Ageratum conyzoides,PMID: 12184395,CC(=O)OC1C(C2CCC1(C2)C)(C)C,C12H20O2,196.29,2,2,0,56.33,26.3,2.51,3.74,2.76,2.76,2.89,-3.28,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.479,No,No,1.814,1.85,No,Yes,0.622,1.643
-Muurolene,12306047,White Weed,Ageratum conyzoides,PMID: 12184395,CC1=CC2C(CC1)C(=CCC2C(C)C)C,C15H24,204.35,1,0,0,69.04,0.0,3.38,4.08,4.58,4.63,4.08,-3.61,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.129,No,No,1.53,1.382,No,Yes,1.622,0.365
Nerolidal,154704157,White Weed,Ageratum conyzoides,PMID: 12184395,CC(=CCCC(=CCCC(C=C)C=O)C)C,C15H24O,220.35,8,1,0,73.0,17.07,3.4,4.68,4.46,3.76,4.2,-3.63,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.079,No,No,1.462,1.172,No,Yes,2.221,-0.18
Sesquiterpene,6473767,White Weed,Ageratum conyzoides,PMID: 12184395,CC(=C)C1C2C3C4(C(C1C(=O)O2)(CC5C4(O5)C(=O)O3)O)C.CC12C3C4C(C(C1(CC5C2(O5)C(=O)O3)O)C(=O)O4)C(C)(C)O,C30H34O13,602.58,2,13,3,137.29,190.95,2.65,-0.3,-0.93,0.09,0.44,-3.26,Low,No,No,No,No,No,No,2,4,0.17,0,No,-1.202,No,No,3.982,3.824,No,No,0.285,2.139
