Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Alangicine,442158,sage-leaved alangium,Alangium salvifolium,DOI: 10.1016/j.fbio.2022.102230,CCC1CN2CCC3=C(C(=C(C=C3C2CC1CC4=NCCC5=CC(=C(C=C54)OC)O)OC)OC)O,C28H36N2O5,480.6,6,7,2,144.9,83.75,3.98,3.92,3.42,2.23,3.71,-5.15,High,No,No,No,No,Yes,Yes,0,3,0.55,0,No,-0.189,No,Yes,2.704,0.663,Yes,No,0.438,0.073
Alangimarckine,442159,sage-leaved alangium,Alangium salvifolium,DOI: 10.1016/j.fbio.2022.102230,CCC1CN2CCC3=C(C(=C(C=C3C2CC1CC4C5=C(CCN4)C6=CC=CC=C6N5)OC)OC)O,C29H37N3O3,475.62,5,5,3,147.95,69.75,4.25,4.61,3.7,2.88,4.07,-5.68,High,Yes,No,No,No,No,No,0,2,0.55,1,No,-0.058,No,Yes,2.555,1.616,Yes,No,0.305,-0.314
Alangimaridine,10853265,sage-leaved alangium,Alangium salvifolium,DOI: 10.1016/j.fbio.2022.102230,COC1=C(C=C2C3CC4=C(C=NC=C4C=C)C(=O)N3CCC2=C1)O,C19H18N2O3,322.36,2,4,1,94.85,62.66,2.68,2.3,1.92,1.73,2.35,-3.53,High,Yes,No,Yes,Yes,Yes,Yes,0,0,0.55,0,No,-0.302,No,No,2.371,0.899,No,No,0.702,1.12
Alangimarine,442160,sage-leaved alangium,Alangium salvifolium,DOI: 10.1016/j.fbio.2022.102230,COC1=C(C=C2C(=C1)CCN3C2=CC4=C(C3=O)C=NC=C4C=C)O,C19H16N2O3,320.34,2,4,1,94.16,64.35,2.9,2.51,2.87,1.95,2.76,-3.77,High,Yes,Yes,No,Yes,No,Yes,0,0,0.55,0,No,-0.113,No,No,2.353,1.327,Yes,No,0.454,0.987
Alangine,10851977,sage-leaved alangium,Alangium salvifolium,DOI: 10.1016/j.bfopcu.2017.07.001,COC1=C(C=C2C3CC(CCN3CCC2=C1)C(CO)C=C)O,C18H25NO3,303.4,4,4,2,91.42,52.93,3.18,2.4,1.8,1.98,2.41,-3.17,High,Yes,No,No,No,Yes,No,0,0,0.55,0,No,-0.394,No,Yes,2.709,1.091,No,No,0.72,1.101
Alangiside,442161,sage-leaved alangium,Alangium salvifolium,DOI: 10.1016/j.fbio.2022.102230,COC1=C(C=C2C3CC4C(C(OC=C4C(=O)N3CCC2=C1)OC5C(C(C(C(O5)CO)O)O)O)C=C)O,C25H31NO10,505.51,5,10,5,127.31,158.38,3.27,-0.14,-1.0,-0.97,0.09,-2.68,Low,No,No,No,No,No,No,2,2,0.11,0,No,-0.498,No,No,2.858,3.123,No,No,0.285,4.458
Ankorine,442166,sage-leaved alangium,Alangium salvifolium,DOI: 10.1016/j.bfopcu.2017.07.001,CCC1CN2CCC3=C(C(=C(C=C3C2CC1CCO)OC)OC)O,C19H29NO4,335.44,5,5,2,98.39,62.16,3.2,2.63,2.03,1.74,2.45,-3.43,High,Yes,No,No,No,Yes,No,0,0,0.55,0,No,-0.201,No,Yes,2.765,1.044,Yes,No,0.945,0.538
Cepheline,442195,sage-leaved alangium,Alangium salvifolium,DOI: 10.1016/j.bfopcu.2017.07.001,CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)O)OC)OC)OC,C28H38N2O4,466.61,6,6,2,142.58,63.19,4.46,4.41,3.23,2.84,3.88,-5.38,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.046,No,Yes,2.78,1.2,No,No,0.306,-0.433
Emetine,10219,sage-leaved alangium,Alangium salvifolium,DOI: 10.1016/j.fbio.2022.102230,CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,C29H40N2O4,480.64,7,6,1,147.05,52.19,4.67,4.74,3.53,3.04,4.19,-5.6,High,Yes,No,No,No,No,No,0,3,0.55,0,No,-0.019,No,Yes,2.793,0.674,No,No,0.327,-0.825
Psychotrine,65380,sage-leaved alangium,Alangium salvifolium,DOI: 10.1016/j.fbio.2022.102230,CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4=NCCC5=CC(=C(C=C54)OC)O)OC)OC,C28H36N2O4,464.6,6,6,1,142.88,63.52,4.19,4.27,3.71,2.77,4.09,-5.28,High,Yes,No,No,No,Yes,Yes,0,1,0.55,0,No,-0.254,No,Yes,2.948,0.558,No,No,0.598,-0.467
Tubulosine,72341,sage-leaved alangium,Alangium salvifolium,DOI: 10.1016/j.bfopcu.2017.07.001,CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=C(CCN4)C6=C(N5)C=CC(=C6)O)OC)OC,C29H37N3O3,475.62,5,5,3,147.95,69.75,3.92,4.61,3.7,2.88,4.0,-5.68,High,Yes,No,No,No,No,No,0,2,0.55,1,No,0.172,No,Yes,2.394,1.643,Yes,No,0.292,-1.285
