Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Alliin,87310,Onion,Allium cepa,PMID: 35087593,C=CCS(=O)CC(C(=O)O)N,C6H11NO3S,177.22,5,4,2,43.24,99.6,0.55,-3.53,0.2,-2.88,-1.33,1.62,High,No,No,No,No,No,No,0,0,0.55,0,No,1.164,No,No,2.051,1.9,No,No,0.268,2.598
Cycloalliin,12305351,Onion,Allium cepa,PMID: 35087593,CC1CS(=O)CC(N1)C(=O)O,C6H11NO3S,177.22,1,4,2,45.61,85.61,0.75,-3.62,-0.34,-3.17,-1.44,1.41,High,No,No,No,No,No,No,0,0,0.55,0,No,1.471,No,No,1.396,1.345,Yes,No,0.285,3.287
Deoxyalliin,9793905,Onion,Allium cepa,PMID: 35087593,C=CCSCC(C(=O)O)N,C6H11NO2S,161.22,5,3,2,42.55,88.62,1.22,-2.07,0.32,-1.93,-0.45,0.79,High,No,No,No,No,No,No,0,0,0.55,0,No,1.115,No,No,2.02,2.635,No,No,0.166,2.088
Dipropenyl sulfide,5370448,Onion,Allium cepa,PMID: 35087593,CC=CSC=CC,C6H10S,114.21,2,0,0,37.6,25.3,2.35,2.32,2.79,2.35,2.29,-1.88,High,Yes,No,No,No,No,No,0,3,0.55,0,No,0.864,No,No,2.148,2.17,No,Yes,0.422,1.076
Dipropyl disulfide,12377,Onion,Allium cepa,PMID: 35087593,CCCSSCCC,C6H14S2,150.31,5,0,0,46.14,50.6,2.63,2.7,3.19,2.6,2.66,-2.14,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.682,No,No,2.454,1.993,No,No,1.356,0.632
Dipropyl sulfide,8118,Onion,Allium cepa,PMID: 35087593,CCCSCCC,C6H14S,118.24,4,0,0,38.55,25.3,2.39,2.66,2.54,2.6,2.44,-1.98,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.788,No,No,2.107,1.959,No,Yes,0.62,0.996
Dipropyl trisulfide,22383,Onion,Allium cepa,PMID: 35087593,CCCSSSCCC,C6H14S3,182.37,6,0,0,53.73,75.9,2.9,3.14,3.84,2.6,2.98,-2.55,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.591,No,No,2.789,2.004,No,Yes,1.981,0.358
Ferulic acid,445858,Onion,Allium cepa,PMID: 35087593,COC1=C(C=CC(=C1)C=CC(=O)O)O,C10H10O4,194.18,3,4,2,51.63,66.76,1.62,1.51,1.39,1.0,1.36,-2.11,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.082,No,No,2.282,2.065,No,No,0.271,1.825
Gallic aci,370,Onion,Allium cepa,PMID: 35087593,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,No,0.7,No,No,2.218,3.06,No,No,0.285,3.188
Isoalliin,5281112,Onion,Allium cepa,PMID: 35087593,CC=CS(=O)CC(C(=O)O)N,C6H11NO3S,177.22,4,4,2,43.24,99.6,0.88,-3.45,0.55,-2.88,-1.21,1.5,High,No,No,No,No,No,No,0,0,0.55,0,No,1.172,No,No,2.052,1.853,No,No,0.268,2.559
Kaempferol,5280863,Onion,Allium cepa,PMID: 35087593,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.531,No,No,2.449,2.505,No,No,0.312,2.885
Malvidin 3-glucoside,443652,Onion,Allium cepa,PMID: 35087593,COC1=CC(=CC(=C1O)OC)C2=[O+]C3=CC(=CC(=C3C=C2OC4C(C(C(C(O4)CO)O)O)O)O)O,C23H25O12+,493.44,6,12,7,119.26,191.67,-1.73,0.43,0.69,-1.82,-0.74,-3.11,Low,No,No,No,No,No,Yes,2,1,0.17,0,No,0.432,No,Yes,2.569,4.059,No,No,0.285,5.565
Methiin,9578071,Onion,Allium cepa,PMID: 35087593,CS(=O)CC(C(=O)O)N,C4H9NO3S,151.18,3,4,2,34.1,99.6,0.24,-4.27,-0.36,-3.57,-1.92,2.11,High,No,No,No,No,No,No,0,3,0.55,0,No,1.18,No,No,2.031,1.89,No,No,0.263,3.182
N-(gamma-glutamyl)-S-(2-propenyl)-L-cysteine,87078533,Onion,Allium cepa,PMID: 35087593,C=CCS(=O)CC(C(=O)O)NC(=O)CCC(C(=O)O)N,C11H18N2O6S,306.34,11,7,4,72.05,166.0,0.64,-4.29,-0.45,-3.47,-1.75,1.69,Low,No,No,No,No,No,No,0,1,0.11,0,No,1.085,No,No,2.453,2.309,No,No,0.285,3.816
Peonidin 3-glucoside,443654,Onion,Allium cepa,PMID: 35087593,COC1=C(C=CC(=C1)C2=[O+]C3=CC(=CC(=C3C=C2OC4C(C(C(C(O4)CO)O)O)O)O)O)O,C22H23O11+,463.41,5,11,7,112.76,182.44,-2.69,0.46,0.69,-1.54,-0.89,-3.03,Low,No,No,No,No,No,No,2,0,0.17,0,No,0.566,No,Yes,2.581,4.423,No,No,0.285,5.258
Protocatechuic acid,72,Onion,Allium cepa,PMID: 35087593,C1=CC(=C(C=C1C(=O)O)O)O,C7H6O4,154.12,1,4,3,37.45,77.76,0.66,1.15,0.8,0.4,0.65,-1.86,High,No,No,No,No,No,Yes,0,3,0.56,1,No,0.814,No,No,2.423,2.021,No,No,0.273,2.451
Quercetin,5280343,Onion,Allium cepa,PMID: 35087593,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.24,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.23,-3.16,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.471,2.612,No,No,0.288,3.721
Quercetin 7-glucoside,5282160,Onion,Allium cepa,PMID: 35087593,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O)O,C21H20O12,464.38,4,12,8,110.16,210.51,1.54,0.36,-0.54,-2.59,-0.37,-3.04,Low,No,No,No,No,No,No,2,1,0.17,1,No,0.599,No,Yes,2.543,4.162,No,No,0.285,7.385
Quercetin-3- monoglucoside,5280804,Onion,Allium cepa,PMID: 35087593,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O12,464.38,4,12,8,110.16,210.51,2.11,0.36,-0.54,-2.59,-0.25,-3.04,Low,No,No,No,No,No,No,2,1,0.17,1,No,0.569,No,Yes,2.541,4.417,No,No,0.285,8.061
S-(2-carboxypropyl) glutathione,20140672,Onion,Allium cepa,PMID: 35087593,CC(CSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)O,C14H23N3O8S,393.41,15,9,6,91.03,221.42,0.52,-4.07,-1.68,-3.74,-1.98,1.27,Low,No,No,No,No,No,No,2,1,0.11,0,No,0.811,No,No,2.455,2.859,Yes,No,0.285,5.531
