Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(Z)-Ajoene,9881148,Garlic,Allium sativum,DOI: 10.22376/Ijpbs.2022.13.2.b1-14,C=CCSSC=CCS(=O)CC=C,C9H14OS3,234.4,8,1,0,67.41,86.88,2.74,1.71,3.87,2.1,2.52,-1.84,High,No,No,No,Yes,No,No,0,0,0.55,0,No,0.462,No,No,2.472,0.899,No,Yes,2.197,0.155
2-Amino-3-prop-2-enylsulfinylpropanoic acid,121922,Garlic,Allium sativum,DOI: 10.22376/Ijpbs.2022.13.2.b1-14,C=CCS(=O)CC(C(=O)O)N,C6H11NO3S,177.22,5,4,2,43.24,99.6,0.55,-3.53,0.2,-2.88,-1.33,1.62,High,No,No,No,No,No,No,0,0,0.55,0,No,1.164,No,No,2.051,1.9,No,No,0.268,2.598
"2-Vinyl-4H-1,3-dithiine",133337,Garlic,Allium sativum,DOI: 10.22376/Ijpbs.2022.13.2.b1-14,C=CC1SCC=CS1,C6H8S2,144.26,1,0,0,43.08,50.6,1.98,2.3,2.49,1.96,2.22,-2.12,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.725,No,No,2.442,1.752,No,Yes,0.819,1.403
Allicin,65036,Garlic,Allium sativum,DOI: 10.22376/Ijpbs.2022.13.2.b1-14,C=CCSS(=O)CC=C,C6H10OS2,162.27,5,1,0,45.88,61.58,1.95,1.31,2.62,1.18,1.61,-1.34,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.737,No,No,2.366,1.406,No,Yes,0.9,1.235
Allyl methyl sulfide,66282,Garlic,Allium sativum,DOI: 10.22376/Ijpbs.2022.13.2.b1-14,CSCC=C,C4H8S,88.17,2,0,0,28.46,25.3,1.77,1.52,1.54,1.67,1.53,-1.21,High,Yes,No,No,No,No,No,0,3,0.55,0,No,0.946,No,No,2.182,1.723,No,No,0.039,1.722
Apigenin,5280443,Garlic,Allium sativum,DOI: 10.22376/Ijpbs.2022.13.2.b1-14,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.11,-3.94,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.328,No,No,2.45,2.298,No,No,0.38,2.432
Diallyl disulfide,16590,Garlic,Allium sativum,DOI: 10.22376/Ijpbs.2022.13.2.b1-14,C=CCSSCC=C,C6H10S2,146.27,5,0,0,45.19,50.6,2.49,2.2,2.74,2.35,2.39,-1.8,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.674,No,No,2.375,1.847,No,Yes,1.371,0.79
Diallyl sulfide,11617,Garlic,Allium sativum,DOI: 10.22376/Ijpbs.2022.13.2.b1-14,C=CCSCC=C,C6H10S,114.21,4,0,0,37.6,25.3,2.11,2.16,2.09,2.35,2.14,-1.64,High,Yes,No,No,No,No,No,0,3,0.55,0,No,0.782,No,No,2.028,1.812,No,Yes,0.63,1.154
Diallyl trisulfide,16315,Garlic,Allium sativum,DOI: 10.22376/Ijpbs.2022.13.2.b1-14,C=CCSSSCC=C,C6H10S3,178.34,6,0,0,52.78,75.9,2.65,2.64,3.39,2.35,2.68,-2.21,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.582,No,No,2.711,1.857,No,Yes,2.008,0.516
Kaempferol,5280863,Garlic,Allium sativum,DOI: 10.22376/Ijpbs.2022.13.2.b1-14,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.531,No,No,2.449,2.505,No,No,0.312,2.885
Myricetin,5281672,Garlic,Allium sativum,DOI: 10.22376/Ijpbs.2022.13.2.b1-14,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O8,318.24,1,8,6,80.06,151.59,1.08,1.18,1.69,-1.08,0.79,-3.01,Low,No,Yes,No,No,No,Yes,1,0,0.55,1,No,0.51,No,No,2.497,2.718,No,No,0.286,5.023
Nobiletin,72344,Garlic,Allium sativum,DOI: 10.22376/Ijpbs.2022.13.2.b1-14,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,C21H22O8,402.39,7,8,0,106.87,85.59,3.96,3.01,3.51,0.34,3.02,-4.18,High,No,No,No,Yes,No,Yes,0,0,0.55,0,No,0.443,No,No,2.459,0.82,No,No,0.315,0.686
Quercetin,5280343,Garlic,Allium sativum,DOI: 10.22376/Ijpbs.2022.13.2.b1-14,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.24,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.23,-3.16,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.471,2.612,No,No,0.288,3.721
S-Allylcysteine,9793905,Garlic,Allium sativum,DOI: 10.22376/Ijpbs.2022.13.2.b1-14,C=CCSCC(C(=O)O)N,C6H11NO2S,161.22,5,3,2,42.55,88.62,1.22,-2.07,0.32,-1.93,-0.45,0.79,High,No,No,No,No,No,No,0,0,0.55,0,No,1.115,No,No,2.02,2.635,No,No,0.166,2.088
s-Allylmercaptocysteine,9794159,Garlic,Allium sativum,DOI: 10.22376/Ijpbs.2022.13.2.b1-14,C=CCSSCC(C(=O)O)N,C6H11NO2S2,193.29,6,3,2,50.14,113.92,1.48,-2.04,0.97,-1.93,-0.22,0.64,High,No,No,No,No,No,No,0,0,0.55,0,No,1.095,No,No,2.025,1.985,No,No,0.169,1.693
S-Ethyl-L-cysteine,92185,Garlic,Allium sativum,DOI: 10.22376/Ijpbs.2022.13.2.b1-14,CCSCC(C(=O)O)N,C5H11NO2S,149.21,4,3,2,38.22,88.62,1.16,-2.35,0.15,-2.2,-0.68,0.98,High,No,No,No,No,No,No,0,2,0.55,0,No,1.132,No,No,2.008,2.603,No,No,0.147,2.321
S-Methyl-L-cysteine,24417,Garlic,Allium sativum,DOI: 10.22376/Ijpbs.2022.13.2.b1-14,CSCC(C(=O)O)N,C4H9NO2S,135.18,3,3,2,33.41,88.62,0.74,-2.72,-0.24,-2.61,-1.06,1.23,High,No,No,No,No,No,No,0,3,0.55,0,No,1.134,No,No,1.998,2.569,No,No,0.119,2.613
S-Propyl-L-cysteine,125198,Garlic,Allium sativum,DOI: 10.22376/Ijpbs.2022.13.2.b1-14,CCCSCC(C(=O)O)N,C6H13NO2S,163.24,5,3,2,43.03,88.62,1.18,-1.82,0.54,-1.82,-0.34,0.62,High,No,No,No,No,No,No,0,0,0.55,0,No,1.114,No,No,2.021,2.628,No,No,0.167,2.009
Tangeretin,68077,Garlic,Allium sativum,DOI: 10.22376/Ijpbs.2022.13.2.b1-14,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,C20H20O7,372.37,6,7,0,100.38,76.36,3.71,3.04,3.5,0.63,3.02,-4.11,High,Yes,No,No,Yes,No,Yes,0,0,0.55,0,No,0.385,No,No,2.368,0.944,No,No,0.355,0.144
