Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
10-hydroxyaloin A,14889736,Aloe Vera,Aloe barbadensis,PMID: 24028970,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2(C4C(C(C(C(O4)CO)O)O)O)O)C=C(C=C3O)CO,C21H22O10,434.39,3,10,8,103.01,188.14,1.99,-1.21,-2.05,-2.36,-0.79,-1.86,Low,No,No,No,No,No,No,1,1,0.55,0,No,0.573,No,No,2.656,3.702,No,No,0.285,7.107
10-hydroxyaloin B,14889737,Aloe Vera,Aloe barbadensis,PMID: 24028970,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2(C4C(C(C(C(O4)CO)O)O)O)O)C=C(C=C3O)CO,C21H22O10,434.39,3,10,8,103.01,188.14,1.99,-1.21,-2.05,-2.36,-0.79,-1.86,Low,No,No,No,No,No,No,1,1,0.55,0,No,0.573,No,No,2.656,3.702,No,No,0.285,7.107
5-(hydroxymethyl)-7-methoxy-2- methylchromone,76955678,Aloe Vera,Aloe barbadensis,PMID: 24028970,CC1=CC(=O)C2=C(C=C(C=C2O1)OC)CO,C12H12O4,220.22,2,4,1,60.07,59.67,2.09,1.0,1.45,0.25,1.51,-2.17,High,Yes,Yes,No,No,No,No,0,0,0.55,0,Yes,0.56,No,No,1.911,1.555,No,No,0.483,1.535
"7-hydroxy-2,5-dimethylchromone",5316891,Aloe Vera,Aloe barbadensis,PMID: 24028970,CC1=CC(=CC2=C1C(=O)C=C(O2)C)O,C11H10O3,190.2,0,3,1,54.44,50.44,1.91,1.93,2.12,0.82,1.93,-2.76,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,0.399,No,No,2.08,1.65,No,No,0.543,1.475
7-hydroxy-5-(hydroxymethyl)-2- methylchromone,129861908,Aloe Vera,Aloe barbadensis,PMID: 24028970,CC1=CC(=O)C2=C(C=C(C=C2O1)O)CO,C11H10O4,206.19,1,4,2,55.6,70.67,1.57,0.68,1.15,-0.03,1.12,-1.97,High,No,Yes,No,No,No,No,0,0,0.55,0,No,-0.17,No,No,2.202,1.385,No,No,0.396,1.927
8-C-glucosyl-(R)-aloesol,11732015,Aloe Vera,Aloe barbadensis,PMID: 24028970,CC1=CC(=C(C2=C1C(=O)C=C(O2)CC(C)O)C3C(C(C(C(O3)CO)O)O)O)O,C19H24O9,396.39,4,9,6,97.83,160.82,0.95,-0.89,-1.08,-2.0,-0.45,-1.74,Low,No,No,No,No,No,No,1,1,0.55,0,No,0.403,No,No,2.43,3.918,Yes,No,0.285,4.662
Aloe-emodin,10207,Aloe Vera,Aloe barbadensis,PMID: 24028970,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO,C15H10O5,270.24,1,5,3,69.92,94.83,1.96,1.82,1.21,0.1,1.5,-3.04,High,No,Yes,No,No,No,Yes,0,0,0.55,1,Yes,-0.089,No,No,2.329,1.878,No,No,0.563,2.337
Aloenin aglycone,5242842,Aloe Vera,Aloe barbadensis,PMID: 24028970,CC1=CC(=CC(=C1C2=CC(=CC(=O)O2)OC)O)O,C13H12O5,248.23,2,5,2,65.92,79.9,2.09,1.76,2.04,0.73,1.82,-2.85,High,No,No,No,No,No,No,0,0,0.55,0,No,0.285,No,No,2.105,1.8,No,No,0.389,2.705
Aloenin B,6442939,Aloe Vera,Aloe barbadensis,PMID: 24028970,CC1=CC(=CC(=C1C2=CC(=CC(=O)O2)OC)OC3C(C(C(C(O3)CO)O)O)OC(=O)C=CC4=CC=C(C=C4)O)OC5C(C(C(C(O5)CO)O)O)O,C34H38O17,718.66,12,17,8,171.53,264.5,3.0,0.46,-1.16,-2.38,-0.01,-4.05,Low,No,No,No,No,No,No,3,4,0.17,0,No,0.156,No,Yes,2.566,5.026,No,No,0.285,7.778
Aloenin-2′-p-coumaroyl ester,14211227,Aloe Vera,Aloe barbadensis,PMID: 24028970,CC1=CC(=CC(=C1C2=CC(=CC(=O)O2)OC)OC3C(C(C(C(O3)CO)O)O)OC(=O)C=CC4=CC=C(C=C4)O)O,C28H28O12,556.51,9,12,5,139.41,185.35,2.73,2.26,1.37,-0.23,1.65,-4.45,Low,No,No,No,No,No,Yes,2,2,0.17,0,No,-0.16,No,Yes,2.689,3.795,No,No,0.285,4.015
Aloesin,160190,Aloe Vera,Aloe barbadensis,PMID: 24028970,CC1=CC(=C(C2=C1C(=O)C=C(O2)CC(=O)C)C3C(C(C(C(O3)CO)O)O)O)O,C19H22O9,394.37,4,9,5,96.87,157.66,1.77,-1.28,-0.87,-2.08,-0.27,-1.48,Low,No,No,No,No,No,No,0,1,0.55,0,No,0.437,No,No,2.47,3.95,Yes,No,0.285,4.394
Aloin A,12305761,Aloe Vera,Aloe barbadensis,PMID: 24028970,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2C4C(C(C(C(O4)CO)O)O)O)C=C(C=C3O)CO,C21H22O9,418.39,3,9,7,101.96,167.91,1.86,-0.12,-1.04,-1.59,-0.14,-2.46,Low,No,No,No,No,No,No,1,1,0.55,0,No,0.425,No,No,2.712,3.316,No,No,0.285,6.437
Aloin B,14989,Aloe Vera,Aloe barbadensis,PMID: 24028970,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2C4C(C(C(C(O4)CO)O)O)O)C=C(C=C3O)CO,C21H22O9,418.39,3,9,7,101.96,167.91,1.86,-0.12,-1.04,-1.59,-0.14,-2.46,Low,No,No,No,No,No,No,1,1,0.55,0,No,0.425,No,No,2.712,3.316,No,No,0.285,6.437
