Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
1'-acetoxychavicol acetate,119104,Rasna,Alpinia officinarum,PMID: 31965918,CC(=O)OC1=CC=C(C=C1)C(C=C)OC(=O)C,C13H14O4,234.25,6,4,0,62.95,52.6,2.61,2.21,2.08,2.31,2.36,-2.55,High,Yes,Yes,Yes,No,No,No,0,0,0.55,0,No,1.01,No,No,2.352,1.947,No,No,0.898,1.484
3-O-methylgalangin,5281946,Rasna,Alpinia officinarum,PMID: 31965918,COC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3,C16H12O5,284.26,2,5,2,78.46,79.9,2.41,3.7,2.88,0.77,2.56,-4.37,High,No,Yes,No,Yes,Yes,Yes,0,0,0.55,0,Yes,0.144,No,No,2.07,1.6,No,No,0.35,0.802
4-hydroxycinnamaldehyde,641301,Rasna,Alpinia officinarum,PMID: 31965918,C1=CC(=CC=C1C=CC=O)O,C9H8O2,148.16,2,2,1,43.56,37.3,1.31,1.75,1.5,1.35,1.58,-2.13,High,Yes,No,No,No,No,No,0,2,0.55,0,No,1.161,No,No,1.943,2.656,No,Yes,0.587,1.678
Acacetin,5280442,Rasna,Alpinia officinarum,PMID: 31965918,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,C16H12O5,284.26,2,5,2,78.46,79.9,2.56,3.35,2.88,0.77,2.52,-4.14,High,No,Yes,No,Yes,Yes,Yes,0,0,0.55,0,No,0.09,No,No,2.22,1.259,No,No,0.422,1.0
Apigenin,5280704,Rasna,Alpinia officinarum,PMID: 31965918,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O10,432.38,4,10,6,106.11,170.05,2.17,1.81,0.05,-1.61,0.55,-3.78,Low,No,No,No,No,No,No,1,0,0.55,0,No,0.515,No,No,2.595,4.359,No,No,0.285,5.507
Chrysin,5281607,Rasna,Alpinia officinarum,PMID: 31965918,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,C15H10O4,254.24,1,4,2,71.97,70.67,2.27,3.52,2.87,1.08,2.55,-4.19,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.016,No,No,2.289,0.955,No,No,0.535,1.746
Galangin,5281616,Rasna,Alpinia officinarum,PMID: 31965918,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,2.08,2.25,2.58,0.52,1.99,-3.46,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.333,No,No,2.45,2.323,No,No,0.382,2.385
Hannokinol,11034432,Rasna,Alpinia officinarum,PMID: 31965918,C1=CC(=CC=C1CCC(CC(CCC2=CC=C(C=C2)O)O)O)O,C19H24O4,316.39,8,4,4,91.11,80.92,2.35,3.26,2.78,2.44,2.88,-3.71,High,No,No,No,No,Yes,No,0,0,0.55,0,No,0.562,No,Yes,2.342,1.179,Yes,No,0.591,0.899
Hexahydrocurcumin,5318039,Rasna,Alpinia officinarum,PMID: 31965918,COC1=C(C=CC(=C1)CCC(CC(=O)CCC2=CC(=C(C=C2)O)OC)O)O,C21H26O6,374.43,10,6,3,103.13,96.22,3.14,2.7,3.0,1.7,2.92,-3.53,High,No,No,No,No,Yes,Yes,0,0,0.55,0,No,0.243,No,No,1.891,2.238,No,No,0.481,0.57
Isorhamnetin,5281654,Rasna,Alpinia officinarum,PMID: 31965918,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C16H12O7,316.26,2,7,4,82.5,120.36,2.35,1.87,2.29,-0.31,1.65,-3.36,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.576,No,No,2.407,2.499,No,No,0.296,2.206
Kaempferide,5281666,Rasna,Alpinia officinarum,PMID: 31965918,COC1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,C16H12O6,300.26,2,6,3,80.48,100.13,2.43,2.22,2.59,0.22,2.0,-3.51,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.42,No,No,2.338,2.271,No,No,0.336,1.737
Kaempferol,5280863,Rasna,Alpinia officinarum,PMID: 31965918,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.531,No,No,2.449,2.505,No,No,0.312,2.885
Pinobaksin,73202,Rasna,Alpinia officinarum,PMID: 31965918,C1=CC=C(C=C1)C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O,C15H12O5,272.25,1,5,3,70.71,86.99,1.75,1.66,1.45,0.44,1.39,-2.95,High,No,No,No,No,No,No,0,0,0.55,0,No,0.218,No,No,2.142,2.693,No,No,0.41,3.031
Pinocembrin,68071,Rasna,Alpinia officinarum,PMID: 31965918,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3,C15H12O4,256.25,1,4,2,69.55,66.76,2.11,2.88,2.48,1.27,2.26,-3.64,High,Yes,Yes,Yes,No,No,No,0,0,0.55,0,No,0.269,No,No,1.586,2.059,No,No,0.528,1.683
Quercetin,5280343,Rasna,Alpinia officinarum,PMID: 31965918,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.24,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.23,-3.16,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.471,2.612,No,No,0.288,3.721
Rutin,5280805,Rasna,Alpinia officinarum,PMID: 31965918,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,C27H30O16,610.52,6,16,10,141.38,269.43,1.58,-0.33,-1.69,-3.89,-1.29,-3.3,Low,No,No,No,No,No,No,3,4,0.17,1,No,0.452,No,Yes,2.491,3.673,No,No,0.285,7.677
