Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
14-deoxy-11-hydroxyandrographolide,91884987,Green chiretta,Andrographis paniculate,PMID: 15381002,CC12CCC(C(C1CCC(=C)C2C(CC3=CCOC3=O)O)(C)CO)O,C20H30O5,350.45,4,5,3,95.21,86.99,2.87,2.27,1.96,1.98,2.4,-3.18,High,No,No,No,No,No,No,0,0,0.55,0,No,0.198,No,No,2.158,0.922,No,No,0.46,1.321
14-deoxyandrographolide,11624161,Green chiretta,Andrographis paniculate,PMID: 15381002,CC12CCC(C(C1CCC(=C)C2CCC3=CCOC3=O)(C)CO)O,C20H30O4,334.45,4,4,2,94.05,66.76,2.91,3.43,2.99,2.81,3.17,-3.81,High,Yes,No,No,No,No,No,0,0,0.55,0,No,-0.019,No,No,2.053,1.807,No,No,0.918,0.684
"5,7,2′,3′-tetramethoxyflavanone",21579286,Green chiretta,Andrographis paniculate,PMID: 15381002,COC1=CC=CC(=C1OC)C2CC(=O)C3=C(O2)C=C(C=C3OC)OC,C19H20O6,344.36,5,6,0,91.47,63.22,3.23,2.79,3.1,1.13,2.79,-3.76,High,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0.55,0,Yes,1.049,No,No,2.442,1.592,No,No,0.375,0.182
"5-hydroxy-7,2′,3′ trimethoxyflavone",12135219,Green chiretta,Andrographis paniculate,PMID: 15381002,COC1=CC=CC(=C1OC)C2=CC(=O)C3=C(C=C(C=C3O2)OC)O,C18H16O6,328.32,4,6,1,89.42,78.13,3.29,3.75,3.19,0.7,2.91,-4.47,High,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0.55,0,No,0.381,No,No,2.469,1.458,No,No,0.44,0.752
"5-hydroxy-7,2′,6′ trimethoxyflavone",164576244,Green chiretta,Andrographis paniculate,PMID: 15381002,COC1=C(C(=C2C(=O)CC(OC2=C1)(C3=CC=CC=C3)OC)O)OC,C18H18O6,330.33,4,6,1,86.28,74.22,3.16,2.82,2.77,1.03,2.58,-3.77,High,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0.55,0,No,0.751,No,No,2.236,1.508,No,No,0.392,1.061
"5-hydroxy-7,2′,6′-trimethoxyflavone",5318369,Green chiretta,Andrographis paniculate,PMID: 15381002,COC1=C(C(=CC=C1)OC)C2=CC(=O)C3=C(C=C(C=C3O2)OC)O,C18H16O6,328.32,4,6,1,89.42,78.13,3.38,3.79,3.19,0.7,2.93,-4.49,High,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0.55,0,No,0.269,No,No,2.326,1.36,No,No,0.443,0.696
"5-hydroxy-7,8,2′,3′-tetramethoxyflavone",5319878,Green chiretta,Andrographis paniculate,PMID: 15381002,COC1=CC=CC(=C1OC)C2=CC(=O)C3=C(O2)C(=C(C=C3O)OC)OC,C19H18O7,358.34,5,7,1,95.91,87.36,3.4,3.26,3.2,0.4,2.79,-4.24,High,No,Yes,No,Yes,Yes,Yes,0,0,0.55,0,No,0.189,No,No,2.36,1.255,No,No,0.366,0.819
7-O-methyldihydrowogonin,13963771,Green chiretta,Andrographis paniculate,PMID: 15381002,COC1=C(C2=C(C(=O)CC(O2)C3=CC=CC=C3)C(=C1)O)OC,C17H16O5,300.31,3,5,1,80.51,64.99,2.92,3.04,2.79,1.2,2.61,-3.82,High,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0.55,0,No,0.303,No,No,2.41,1.562,No,No,0.513,0.835
7-O-methylwogonin,188316,Green chiretta,Andrographis paniculate,PMID: 15381002,COC1=C(C2=C(C(=C1)O)C(=O)C=C(O2)C3=CC=CC=C3)OC,C17H14O5,298.29,3,5,1,82.93,68.9,2.99,3.32,3.18,1.01,2.81,-4.12,High,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0.55,0,No,-0.061,No,No,2.537,1.238,No,No,0.476,0.756
Andrographolide,5318517,Green chiretta,Andrographis paniculate,PMID: 15381002,CC12CCC(C(C1CCC(=C)C2CC=C3C(COC3=O)O)(C)CO)O,C20H30O5,350.45,3,5,3,95.21,86.99,2.45,2.16,1.96,1.98,2.3,-3.18,High,No,No,No,No,No,No,0,0,0.55,0,No,0.128,No,No,2.162,1.0,No,No,0.491,1.37
