Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
2-nonanol,12367,Kadamba,Anthocephalus chinensis,PMID: 26821190,CCCCCCCC(C)O,C9H20O,144.25,6,1,1,46.54,20.23,2.76,3.44,2.73,2.54,2.77,-2.51,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.673,No,No,1.701,2.057,No,Yes,0.502,1.076
3beta-isodihydrocadambine,188431,Kadamba,Anthocephalus chinensis,PMID: 26821190,COC(=O)C1=COC(C2C1CC3C4=C(CCN3C2CO)C5=CC=CC=C5N4)OC6C(C(C(C(O6)CO)O)O)O,C27H34N2O10,546.57,6,11,6,138.18,174.17,2.74,-0.42,-1.41,-1.27,-0.24,-2.74,Low,No,No,No,No,No,No,3,4,0.17,1,No,-0.349,No,No,3.025,3.118,No,No,0.285,3.41
3-O-[beta-D-glucopyranosyl]-quinovic acid-28-O- [beta-D-glucopyranosyl] ester,46888324,Kadamba,Anthocephalus chinensis,PMID: 26821190,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)CO)O)O)O)C)C)C2C1C)C(=O)O)C(=O)OC7C(C(C(C(O7)CO)O)O)OC8C(C(C(CO8)O)O)O,C47H74O19,943.08,10,19,11,229.46,312.05,3.87,0.96,-0.3,-1.57,0.32,-5.63,Low,No,No,No,No,No,No,3,3,0.11,0,No,0.072,No,No,2.547,4.264,No,No,0.285,9.209
A-selinene,10123,Kadamba,Anthocephalus chinensis,PMID: 26821190,CC1=CCCC2(C1CC(CC2)C(=C)C)C,C15H24,204.35,1,0,0,68.78,0.0,3.31,5.2,4.73,4.63,4.4,-4.32,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.018,No,No,1.543,1.351,No,Yes,1.623,0.353
Beta-phellandrene,11142,Kadamba,Anthocephalus chinensis,PMID: 26821190,CC(C)C1CCC(=C)C=C1,C10H16,136.23,1,0,0,47.12,0.0,2.65,3.44,3.16,3.27,3.07,-2.79,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.693,No,No,1.709,2.353,No,Yes,0.649,0.966
Beta-sitosterol,222284,Kadamba,Anthocephalus chinensis,PMID: 26821190,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Cadambine,25199699,Kadamba,Anthocephalus chinensis,PMID: 26821190,COC(=O)C1=COC(C2C1CC34C5=C(CCN3CC2O4)C6=CC=CC=C6N5)OC7C(C(C(C(O7)CO)O)O)O,C27H32N2O10,544.55,5,11,5,135.87,163.17,2.69,-0.19,-1.05,-0.59,0.06,-2.94,Low,No,No,No,No,No,No,2,4,0.17,0,No,-0.778,No,No,3.089,3.283,No,No,0.285,3.081
Chlorogenic acid,1794427,Kadamba,Anthocephalus chinensis,PMID: 26821190,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Dihydrocadambine,162138,Kadamba,Anthocephalus chinensis,PMID: 26821190,COC(=O)C1=COC(C2C1CC3C4=C(CCN3CC2O)C5=CC=CC=C5N4)OC6C(C(C(C(O6)CO)O)O)O,C27H34N2O10,546.57,5,11,6,138.18,174.17,2.31,-0.42,-1.41,-1.27,-0.36,-2.8,Low,No,No,No,No,No,No,3,4,0.17,1,No,-0.326,No,No,3.019,3.219,No,No,0.285,3.533
Geraniol,637566,Kadamba,Anthocephalus chinensis,PMID: 26821190,CC(=CCCC(=CCO)C)C,C10H18O,154.25,4,1,1,50.4,20.23,2.75,3.56,2.67,2.59,2.78,-2.78,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.65,No,No,1.636,2.03,No,Yes,0.595,1.213
