Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
apigenin,5280443,Celery,Apium graveolens,PMID: 28503047,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.11,-3.94,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.328,No,No,2.45,2.298,No,No,0.38,2.432
apiin,5280746,Celery,Apium graveolens,PMID: 28503047,C1C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)(CO)O,C26H28O14,564.49,7,14,8,132.56,228.97,2.11,-0.36,-1.49,-3.16,-0.72,-2.95,Low,No,No,No,No,No,No,3,3,0.17,0,No,0.446,No,Yes,2.49,4.574,No,No,0.285,3.835
bergapten,2355,Celery,Apium graveolens,PMID: 28503047,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,C12H8O4,216.19,1,4,0,58.75,52.58,2.29,1.93,2.55,1.18,2.16,-2.93,High,Yes,Yes,No,No,No,No,0,0,0.55,0,Yes,-0.387,No,No,2.237,1.763,No,No,0.457,0.402
Caffeic acid,689043,Celery,Apium graveolens,PMID: 28503047,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.145,No,No,2.383,2.092,No,No,0.293,2.246
chlorogenic acid,1794427,Celery,Apium graveolens,PMID: 28503047,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
isoimperatorin,68081,Celery,Apium graveolens,PMID: 28503047,CC(=CCOC1=C2C=CC(=O)OC2=CC3=C1C=CO3)C,C16H14O4,270.28,3,4,0,77.5,52.58,3.07,3.43,3.88,2.14,3.3,-3.96,High,Yes,Yes,Yes,Yes,No,No,0,0,0.55,0,Yes,-0.317,No,No,2.278,1.871,No,No,0.568,-0.442
isopimpinellin,68079,Celery,Apium graveolens,PMID: 28503047,COC1=C2C=COC2=C(C3=C1C=CC(=O)O3)OC,C13H10O5,246.22,2,5,0,65.24,61.81,2.49,1.97,2.56,0.89,2.16,-3.01,High,Yes,Yes,No,No,No,Yes,0,0,0.55,0,No,-0.334,No,No,2.142,1.706,No,No,0.508,0.643
Limonene,440917,Celery,Apium graveolens,PMID: 28503047,CC1=CCC(CC1)C(=C)C,C10H16,136.23,1,0,0,47.12,0.0,2.72,4.57,3.31,3.27,3.37,-3.5,Low,Yes,No,No,Yes,No,No,0,1,0.55,0,No,0.777,No,No,1.88,2.336,No,Yes,0.579,1.203
linoleic acid,5280450,Celery,Apium graveolens,PMID: 28503047,CCCCCC=CCC=CCCCCCCCC(=O)O,C18H32O2,280.45,14,2,1,89.46,37.3,4.14,6.98,5.88,4.47,5.45,-5.05,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.827,No,No,1.429,3.187,Yes,Yes,0.701,-1.31
ocimene,5281553,Celery,Apium graveolens,PMID: 28503047,CC(=CCC=C(C)C=C)C,C10H16,136.23,3,0,0,48.76,0.0,2.8,4.26,3.48,3.56,3.4,-3.17,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.636,No,No,1.636,2.427,No,No,0.792,0.784
