Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Apigenin,5280443,Peanut,Arachis hypogaea,DOI: 10.1007/s11947-022-02901-5,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.11,-3.94,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,1.162,No,No,2.352,1.978,No,No,0.917,1.798
Biochanin A,5280373,Peanut,Arachis hypogaea,DOI: 10.1007/s11947-022-02901-5,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,C16H12O5,284.26,2,5,2,78.46,79.9,2.55,2.99,2.88,0.77,2.44,-3.92,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.575,No,Yes,2.587,1.467,No,No,1.605,1.429
catechin,9064,Peanut,Arachis hypogaea,DOI: 10.1007/s11947-022-02901-5,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,Yes,0.547,No,No,2.39,1.501,No,No,1.147,1.796
Catechin gallate,15689618,Peanut,Arachis hypogaea,DOI: 10.1007/s11947-022-02901-5,C1C(C(OC2=C1C(=CC(=C2)O)OC(=O)C3=CC(=C(C(=C3)O)O)O)C4=CC(=C(C=C4)O)O)O,C22H18O10,442.37,4,10,7,109.78,177.14,1.55,1.06,1.85,0.32,1.16,-3.4,Low,No,No,No,No,No,No,1,0,0.55,1,No,-0.252,No,Yes,2.589,1.299,No,No,0.522,1.652
Chlorogenic acid,1794427,Peanut,Arachis hypogaea,DOI: 10.1016/j.fufo.2022.100140,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,Yes,0.635,No,No,2.004,1.554,No,No,0.685,2.241
Chrysin,5281607,Peanut,Arachis hypogaea,DOI: 10.1007/s11947-022-02901-5,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,C15H10O4,254.24,1,4,2,71.97,70.67,2.27,3.52,2.87,1.08,2.55,-4.19,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.713,No,No,2.46,1.896,No,No,1.537,1.476
Daidzein,5281708,Peanut,Arachis hypogaea,DOI: 10.1007/s11947-022-02901-5,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,C15H10O4,254.24,1,4,2,71.97,70.67,1.77,2.47,2.87,1.08,2.24,-3.53,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.713,No,No,2.46,1.896,No,No,1.537,1.476
Diosmetin,5281612,Peanut,Arachis hypogaea,DOI: 10.1007/s11947-022-02901-5,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C16H12O6,300.26,2,6,3,80.48,100.13,2.47,3.1,2.59,0.22,2.19,-4.06,High,No,Yes,No,Yes,Yes,Yes,0,0,0.55,0,Yes,0.491,No,No,2.616,1.432,No,No,1.401,1.535
Ellagic acid,5281855,Peanut,Arachis hypogaea,DOI: 10.1007/s11947-022-02901-5,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,C14H6O8,302.19,0,8,4,75.31,141.34,0.79,1.1,1.31,0.14,1.0,-2.94,High,No,Yes,No,No,No,No,0,0,0.55,1,Yes,0.282,No,No,2.232,1.376,No,No,0.454,2.131
Epicatechin,72276,Peanut,Arachis hypogaea,DOI: 10.1016/j.fufo.2022.100140,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,Yes,0.547,No,No,2.39,1.501,No,No,1.147,1.796
