Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
3beta- acetyl ursolic acid,619164,Areca nut,Areca catechu,PMID: 25681543,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC(=O)C)C)C)C2C1C)C)C(=O)O,C32H50O4,498.74,3,4,1,146.65,63.6,4.18,7.92,7.66,6.06,6.36,-7.72,Low,No,No,No,No,No,No,1,4,0.85,0,No,0.222,No,No,2.338,1.916,No,No,0.285,-1.376
"5, 7, 4' – trihydroxy-3', 5'- dimethoxy flavanone",11813828,Areca nut,Areca catechu,PMID: 25681543,COC1=CC=C(C=C1)CC2=C(C(=C3C(=C2O)C(=O)C(C(O3)C4=CC(=C(C=C4)OC)OC)O)CC5=CC=C(C=C5)OC)O,C33H32O9,572.6,9,9,3,155.58,123.91,4.26,5.92,4.67,1.71,4.48,-6.95,Low,No,No,No,Yes,No,No,1,3,0.55,0,No,0.291,No,Yes,2.884,1.84,No,No,0.285,-0.668
Arborinol,12305177,Areca nut,Areca catechu,PMID: 25681543,CC(C)C1CCC2C1(CCC3(C2(CC=C4C3CCC5C4(CCC(C5(C)C)O)C)C)C)C,C30H50O,426.72,1,1,1,135.14,20.23,4.79,9.01,8.02,6.92,7.11,-8.1,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.518,No,Yes,2.375,0.91,No,No,0.348,-1.793
Arborinol methyl ether,101600057,Areca nut,Areca catechu,PMID: 25681543,CC(C)C1CCC2C1(CCC3(C2(CC=C4C3CCC5C4(CCC(C5(C)C)OC)C)C)C)C,C31H52O,440.74,2,1,0,139.87,9.23,5.18,9.55,8.68,7.12,7.58,-8.46,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.312,No,Yes,2.256,0.845,No,No,0.34,-2.273
Arecaidine,10355,Areca nut,Areca catechu,PMID: 25681543,CN1CCC=C(C1)C(=O)O,C7H11NO2,141.17,1,3,1,41.76,40.54,1.4,-2.26,-0.05,0.25,-0.07,0.77,High,No,No,No,No,No,No,0,1,0.55,0,No,1.323,No,No,1.898,2.383,No,No,0.169,2.653
Arecatannin A1,13751990,Areca nut,Areca catechu,PMID: 25681543,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=C(C(=CC(=C34)O)O)C5C(C(OC6=CC(=CC(=C56)O)O)C7=CC(=C(C=C7)O)O)O)C8=CC(=C(C=C8)O)O)O)O)O)C9=CC(=C(C=C9)O)O)O,C45H38O18,866.77,5,18,15,219.09,331.14,1.87,3.31,3.47,-1.11,1.77,-7.39,Low,No,No,No,No,No,No,3,3,0.17,1,No,0.438,No,Yes,2.482,7.463,No,No,0.285,14.258
Arecatannin B1,14237657,Areca nut,Areca catechu,PMID: 25681543,C1C(C(OC2=C1C(=C(C(=C2)O)C3C(C(OC4=C(C(=CC(=C34)O)O)C5C(C(OC6=CC(=CC(=C56)O)O)C7=CC(=C(C=C7)O)O)O)C8=CC(=C(C=C8)O)O)O)O)C9=CC(=C(C=C9)O)O)O,C45H38O18,866.77,5,18,15,219.09,331.14,1.35,3.31,3.47,-1.11,1.67,-7.39,Low,No,No,No,No,No,No,3,3,0.17,1,No,0.438,No,Yes,2.482,7.76,No,No,0.285,13.526
Arecatannin C1,9876038,Areca nut,Areca catechu,PMID: 25681543,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=C(C(=CC(=C34)O)O)C5C(C(OC6=CC(=CC(=C56)O)O)C7=CC(=C(C=C7)O)O)O)C8=CC(=C(C=C8)O)O)O)O)O)C9=CC(=C(C=C9)O)O)O,C45H38O18,866.77,5,18,15,219.09,331.14,1.87,3.31,3.47,-1.11,1.77,-7.39,Low,No,No,No,No,No,No,3,3,0.17,1,No,0.438,No,Yes,2.482,7.463,No,No,0.285,14.258
Arecolidine,5319882,Areca nut,Areca catechu,PMID: 25681543,CN1CC(=C(C=C1)OC)OC,C8H13NO2,155.19,2,2,0,46.49,21.7,2.1,0.66,0.57,-0.23,0.71,-1.09,High,No,No,No,No,No,No,0,1,0.55,0,No,0.821,No,No,2.143,1.808,No,Yes,-0.147,2.663
Arecoline,2230,Areca nut,Areca catechu,PMID: 25681543,CN1CCC=C(C1)C(=O)OC,C8H13NO2,155.19,2,3,0,46.08,29.54,2.26,0.35,0.04,0.58,0.8,-0.89,High,No,No,No,No,No,No,0,1,0.55,0,No,0.784,No,No,2.221,1.981,Yes,Yes,-0.235,2.363
Arundoin,12308619,Areca nut,Areca catechu,PMID: 25681543,CC(C)C1CCC2C1(CCC3(C2(CC=C4C3CCC5C4(CCC(C5(C)C)OC)C)C)C)C,C31H52O,440.74,2,1,0,139.87,9.23,5.18,9.55,8.68,7.12,7.58,-8.46,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.312,No,Yes,2.256,0.845,No,No,0.34,-2.273
Beta -sitosterol,222284,Areca nut,Areca catechu,PMID: 25681543,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
