Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Absinthin,442138,Wormwood,Artemisia absinthium,PMID: 31965918,CC1C2CCC(C3C4C5C=C(C6(C4C(=C3C2OC1=O)C)C5C(CCC7C6OC(=O)C7C)(C)O)C)(C)O,C30H40O6,496.64,0,6,2,135.29,93.06,2.77,2.24,3.8,3.95,3.2,-4.33,High,No,No,No,No,No,No,0,3,0.55,0,No,-0.96,No,No,2.387,1.56,No,No,0.29,1.112
alpha-thujone,12304612,Wormwood,Artemisia absinthium,PMID: 31965918,CC1C2CC2(CC1=O)C(C)C,C10H16O,152.23,1,1,0,45.9,17.07,2.27,2.27,2.26,2.3,2.35,-2.15,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.493,No,No,1.618,1.934,No,Yes,0.48,1.13
Anabsinthin,44558930,Wormwood,Artemisia absinthium,PMID: 31965918,CC1C2CCC(C3C4C5CC6(C7(C4C(=C3C2OC1=O)C)C5C(O6)(CCC8C7OC(=O)C8C)C)C)(C)O,C30H40O6,496.64,0,6,1,133.61,82.06,3.52,2.65,4.04,4.04,3.59,-4.59,High,No,No,No,No,No,No,0,3,0.55,0,No,-0.725,No,No,2.233,1.563,No,No,0.287,1.015
Artabin,90471461,Wormwood,Artemisia absinthium,PMID: 31965918,CC1C2CCC(=CCC(C(=CC2OC1=O)C)O)C,C15H22O3,250.33,0,3,1,71.49,46.53,2.27,1.83,2.6,2.47,2.25,-2.54,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.542,No,No,1.855,1.769,No,No,0.747,1.556
Azulene,9231,Wormwood,Artemisia absinthium,PMID: 31965918,C1=CC=C2C=CC=C2C=C1,C10H8,128.17,0,0,0,43.06,0.0,2.17,3.2,2.79,3.91,3.04,-3.39,Low,Yes,Yes,No,No,No,No,0,2,0.55,0,No,0.507,No,No,1.66,2.271,No,Yes,0.347,1.425
Beta-pinene,14896,Wormwood,Artemisia absinthium,PMID: 31965918,CC1(C2CCC(=C)C1C2)C,C10H16,136.23,0,0,0,45.22,0.0,2.59,4.16,3.0,4.29,3.42,-3.31,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.371,No,No,1.673,2.28,No,No,0.628,1.012
Carvone,16724,Wormwood,Artemisia absinthium,PMID: 31965918,CC1=CCC(CC1=O)C(=C)C,C10H14O,150.22,1,1,0,47.32,17.07,2.27,2.71,2.49,2.1,2.44,-2.41,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.775,No,No,1.86,1.972,No,Yes,0.41,1.445
Caryophyllene oxide,1742210,Wormwood,Artemisia absinthium,PMID: 31965918,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,C15H24O,220.35,0,1,0,68.27,12.53,3.15,3.56,3.94,3.67,3.68,-3.45,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.148,No,No,1.548,1.224,No,Yes,1.079,0.955
Chamazulene,10719,Wormwood,Artemisia absinthium,PMID: 31965918,CCC1=CC2=C(C=CC2=C(C=C1)C)C,C14H16,184.28,1,0,0,62.77,0.0,3.01,4.43,3.97,5.01,4.24,-4.24,Low,Yes,Yes,No,No,Yes,No,1,0,0.55,0,No,0.051,No,No,1.454,1.425,No,Yes,1.438,0.728
Curcumene,92139,Wormwood,Artemisia absinthium,PMID: 31965918,CC1=CC=C(C=C1)C(C)CCC=C(C)C,C15H22,202.34,4,0,0,69.55,0.0,3.5,5.38,4.84,5.75,4.86,-4.52,Low,No,No,No,No,Yes,No,1,0,0.55,0,No,1.016,No,No,1.873,1.297,No,Yes,1.869,-0.622
Dicaffeoylquinic acids,6474310,Wormwood,Artemisia absinthium,PMID: 31965918,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O,C25H24O12,516.45,9,12,7,126.9,211.28,1.05,1.52,0.81,-0.35,0.74,-3.65,Low,No,No,No,No,No,No,3,1,0.11,1,No,0.393,No,No,2.643,4.374,No,No,0.285,5.538
isothujyl acetate,524251,Wormwood,Artemisia absinthium,PMID: 31965918,CC1C2CC2(CC1OC(=O)C)C(C)C,C12H20O2,196.29,3,2,0,56.59,26.3,2.59,3.13,2.62,2.76,2.72,-2.83,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.437,No,No,1.682,2.031,No,Yes,0.835,0.963
Ketopelenolide,12304831,Wormwood,Artemisia absinthium,PMID: 31965918,CC1CC2C(CCC(=CCC1=O)C)C(C(=O)O2)C,C15H22O3,250.33,0,3,0,71.0,43.37,2.52,2.46,2.89,2.47,2.6,-2.94,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.463,No,No,1.979,1.749,No,No,0.706,1.317
Luteolin,5280445,Wormwood,Artemisia absinthium,PMID: 31965918,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.86,2.53,2.28,-0.03,1.73,-3.71,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.455,2.409,No,No,0.326,3.169
Myrcene,31253,Wormwood,Artemisia absinthium,PMID: 31965918,CC(=CCCC(=C)C=C)C,C10H16,136.23,4,0,0,48.76,0.0,2.89,4.17,3.48,3.56,3.43,-3.05,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.617,No,No,1.643,2.406,No,No,0.894,0.736
Neryl 2- methylbutanoate,6429034,Wormwood,Artemisia absinthium,PMID: 31965918,CCC(C)C(=O)OCC=C(C)CCC=C(C)C,C15H26O2,238.37,8,2,0,74.56,26.3,3.99,5.44,4.27,3.74,4.31,-4.22,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.598,No,No,1.799,2.329,No,Yes,2.069,-0.109
Neryl butyrate,5352162,Wormwood,Artemisia absinthium,PMID: 31965918,CCCC(=O)OCC=C(C)CCC=C(C)C,C14H24O2,224.34,8,2,0,69.75,26.3,3.79,4.87,4.02,3.48,4.0,-3.77,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,0.647,No,No,1.805,2.367,No,Yes,1.937,-0.028
Nuciferol propionate,102211014,Wormwood,Artemisia absinthium,PMID: 31965918,CCC(=O)OCC(=CCCC(C)C1=CC=C(C=C1)C)C,C18H26O2,274.4,8,2,0,85.25,26.3,3.76,5.17,4.78,4.29,4.63,-4.49,High,Yes,No,Yes,No,No,No,1,0,0.55,0,No,0.998,No,No,1.922,2.383,No,Yes,2.788,-1.859
Phellandrene,7460,Wormwood,Artemisia absinthium,PMID: 31965918,CC1=CCC(C=C1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.64,3.21,3.16,3.27,2.97,-2.64,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.754,No,No,1.741,2.328,No,No,0.638,0.942
Prochamazulenogenin,5089295,Wormwood,Artemisia absinthium,PMID: 31965918,CC1C2CCC(C3=CCC(=C3C2OC1=O)C)(C)O,C15H20O3,248.32,0,3,1,69.41,46.53,2.33,0.98,2.36,2.47,2.12,-2.0,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.282,No,No,1.841,1.788,No,No,0.639,1.523
Quebrachitol,151108,Wormwood,Artemisia absinthium,PMID: 31965918,COC1C(C(C(C(C1O)O)O)O)O,C7H14O6,194.18,1,6,5,40.54,110.38,0.36,-3.17,-3.18,-2.81,-2.26,1.02,Low,No,No,No,No,No,No,0,1,0.55,0,No,2.189,No,No,1.581,3.681,Yes,No,0.285,5.62
Trans-Epoxyocimene,6429141,Wormwood,Artemisia absinthium,PMID: 31965918,CC(=CCC1C(O1)(C)C=C)C,C10H16O,152.23,3,1,0,48.24,12.53,2.81,2.75,2.69,2.2,2.7,-2.32,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.588,No,No,1.665,2.018,No,Yes,0.555,1.279
Trans-verbenol,89664,Wormwood,Artemisia absinthium,PMID: 31965918,CC1=CC(C2CC1C2(C)C)O,C10H16O,152.23,0,1,1,46.38,20.23,2.26,3.16,1.97,2.3,2.31,-2.77,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.547,No,No,1.769,1.82,No,Yes,0.271,1.687
