Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"5-hydroxy-7, 2′,4′,6′-tetramethoxyflavanone",42608026,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(=CCC1=C(C=C(C2=C1OC(CC2=O)C3=C(C=C(C=C3OC)OC)OC)O)OC)C,C24H28O7,428.47,7,7,1,117.21,83.45,4.21,4.91,4.32,1.61,4.01,-5.41,High,No,No,Yes,Yes,No,No,0,0,0.55,0,No,0.479,No,No,2.567,1.144,No,No,0.362,2.045
6alpha-epoxide,227037,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC4C5(C3(CCC(C5)O)C)O4)C,C27H46O2,402.65,5,2,1,123.1,32.76,4.89,7.96,6.6,5.56,6.25,-7.02,High,No,No,No,No,No,No,1,2,0.55,0,No,-0.468,No,Yes,1.883,2.273,No,No,0.495,-1.213
9-cis-neoxanthin,5282217,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(=CC=CC=C(C)C=CC=C(C)C=C=C1C(CC(CC1(C)O)O)(C)C)C=CC=C(C)C=CC23C(CC(CC2(O3)C)O)(C)C,C40H56O4,600.87,9,4,3,186.66,73.22,6.71,8.74,8.72,5.3,7.89,-8.48,Low,No,No,No,No,No,Yes,2,4,0.17,0,No,-0.902,No,No,2.35,2.077,No,No,0.312,-2.306
Albanin A,5481961,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(=CCC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=C(C=C(C=C3)O)O)C,C20H18O6,354.35,3,6,4,99.73,111.13,2.55,3.62,3.79,1.09,2.96,-4.57,High,No,Yes,No,Yes,Yes,No,0,0,0.55,0,No,0.546,No,Yes,2.603,2.194,No,No,0.317,1.318
All-trans-lutein,5281243,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CC(CC2(C)C)O)C)C)C,C40H56O2,568.87,10,2,2,186.76,40.46,7.15,11.01,10.4,6.96,9.21,-9.64,Low,No,No,No,No,No,No,2,4,0.17,0,No,-1.068,No,Yes,3.491,2.572,No,No,0.335,-2.213
All-trans-neoxanthin,5281247,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(=CC=CC=C(C)C=CC=C(C)C=C=C1C(CC(CC1(C)O)O)(C)C)C=CC=C(C)C=CC23C(CC(CC2(O3)C)O)(C)C,C40H56O4,600.87,9,4,3,186.66,73.22,6.71,8.74,8.72,5.3,7.89,-8.48,Low,No,No,No,No,No,Yes,2,4,0.17,0,No,-0.902,No,No,2.35,2.077,No,No,0.312,-2.306
Alpha-carotene,6419725,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CCCC2(C)C)C)C)C,C40H56,536.87,10,0,0,184.43,0.0,7.83,13.65,12.46,8.96,11.03,-11.11,Low,No,No,No,No,No,No,2,4,0.17,0,Yes,-0.387,No,Yes,2.065,0.633,No,No,0.327,-3.992
Alpha-zeacarotene,6441660,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC1=CCCC(C1C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)CCC=C(C)CCC=C(C)C)C)C)(C)C,C40H58,538.89,14,0,0,186.81,0.0,8.34,14.57,12.85,8.96,11.49,-11.44,Low,No,No,No,No,No,No,2,4,0.17,0,No,-0.501,No,Yes,2.129,0.675,No,No,0.3,-4.616
Apigenin,5280443,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.11,-3.94,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.328,No,No,2.45,2.298,No,No,0.38,2.432
Artocarpanone,15298902,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,COC1=CC(=C2C(=O)CC(OC2=C1)C3=C(C=C(C=C3)O)O)O,C16H14O6,302.28,2,6,3,78.06,96.22,2.01,2.49,2.19,0.41,1.84,-3.55,High,No,Yes,No,No,No,Yes,0,0,0.55,0,No,0.045,No,No,2.221,2.55,No,No,0.322,2.064
Artocarpesin,399491,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(=CCC1=C(C2=C(C=C1O)OC(=CC2=O)C3=C(C=C(C=C3)O)O)O)C,C20H18O6,354.35,3,6,4,99.73,111.13,2.89,4.59,3.79,1.09,3.22,-5.19,High,No,Yes,No,Yes,Yes,No,0,0,0.55,0,No,0.549,No,No,2.534,2.291,No,No,0.327,1.978
Artocarpetin,12308618,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,COC1=CC(=C2C(=C1)OC(=CC2=O)C3=C(C=C(C=C3)O)O)O,C16H12O6,300.26,2,6,3,80.48,100.13,2.31,2.99,2.59,0.22,2.13,-3.99,High,No,Yes,No,Yes,Yes,Yes,0,0,0.55,0,No,0.423,No,No,2.4,2.369,No,No,0.36,1.336
Artocarpetin A,390520,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(=CCC1=C(C=C(C2=C1OC(=CC2=O)C3=C(C=C(C=C3)O)O)O)OC)C,C21H20O6,368.38,4,6,3,104.2,100.13,3.27,4.56,4.09,1.31,3.5,-5.17,High,No,No,No,Yes,No,No,0,0,0.55,0,No,0.456,No,No,2.502,2.362,No,No,0.335,1.336
Artocarpin,5458461,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(C)C=CC1=C(C=C2C(=C1O)C(=O)C(=C(O2)C3=C(C=C(C=C3)O)O)CC=C(C)C)OC,C26H28O6,436.5,6,6,3,128.71,100.13,4.14,5.72,5.65,2.3,4.78,-6.12,High,No,No,Yes,No,No,No,0,1,0.55,0,No,0.199,No,Yes,2.252,1.557,Yes,No,0.29,-0.29
Beta-carotene,5280489,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,C40H56,536.87,10,0,0,184.43,0.0,7.79,13.54,12.61,8.96,11.11,-11.04,Low,No,No,No,No,No,No,2,4,0.17,0,Yes,-0.379,No,Yes,2.073,0.65,No,No,0.326,-4.028
Beta-carotene-5,10941542,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(=CCC1CCC(=C)C(C1(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=C)CCC(C2(C)C)CC=C(C)CO)C)C)CO,C50H72O2,705.11,16,2,2,233.88,40.46,8.94,15.02,13.43,8.45,12.04,-12.62,Low,No,No,No,No,No,No,2,4,0.17,0,No,-0.253,No,Yes,2.461,3.265,No,No,0.285,-5.341
Beta-sitosterol,222284,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Beta-zeacarotene,5280790,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)CCC=C(C)CCC=C(C)C)C)C,C40H58,538.89,14,0,0,186.81,0.0,8.42,14.47,13.0,8.96,11.6,-11.37,Low,No,No,No,No,No,No,2,4,0.17,0,No,-0.494,No,Yes,2.135,0.693,No,No,0.299,-4.652
Betulinic acid,64971,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,C30H48O3,456.7,2,3,2,136.91,57.53,3.79,8.21,7.09,5.82,6.13,-7.71,Low,No,No,No,Yes,No,No,1,3,0.85,0,No,0.144,No,No,2.256,2.206,Yes,No,0.285,-1.174
Brosimone,9979523,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(C)C=CC1=C(C2=C(C=C1O)OC3=C(C2=O)C(OC4=C3C=CC(=C4)O)C=C(C)C)O,C25H24O6,420.45,3,6,3,121.79,100.13,4.0,5.69,5.21,2.09,4.44,-6.22,High,No,No,No,Yes,No,No,0,0,0.55,0,No,-0.052,No,Yes,2.227,1.586,No,No,0.293,0.129
Crocetin,5281232,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(=CC=CC=C(C)C=CC=C(C)C(=O)O)C=CC=C(C)C(=O)O,C20H24O4,328.4,8,4,2,98.48,74.6,3.33,5.41,4.61,3.52,4.21,-4.76,High,No,No,Yes,Yes,No,No,0,0,0.85,0,No,-0.558,No,No,2.094,2.53,No,No,0.298,-0.581
Cudraflavone B,5319925,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(=CCC1=C(OC2=CC3=C(C=CC(O3)(C)C)C(=C2C1=O)O)C4=C(C=C(C=C4)O)O)C,C25H24O6,420.45,3,6,3,121.83,100.13,3.88,5.52,5.16,2.09,4.37,-6.11,High,No,No,Yes,Yes,No,No,0,0,0.55,0,No,0.165,No,Yes,2.476,1.885,No,No,0.337,-0.169
Cudraflavone C,5319924,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(=CCC1=C(C2=C(C=C1O)OC(=C(C2=O)CC=C(C)C)C3=C(C=C(C=C3)O)O)O)C,C25H26O6,422.47,5,6,4,123.45,111.13,3.84,5.55,5.3,2.09,4.46,-6.01,Low,No,No,No,No,No,No,0,0,0.55,0,No,0.472,No,Yes,2.5,2.225,No,No,0.298,0.721
Cycloartenol,92110,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(CCC=C(C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)O)C)C,C30H50O,426.72,4,1,1,135.14,20.23,5.17,9.78,8.17,6.92,7.51,-8.38,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.46,No,Yes,2.627,0.806,No,No,0.305,-1.928
Cycloartenone,348093,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(CCC=C(C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(=O)C5(C)C)C)C,C30H48O,424.7,4,1,0,134.18,17.07,4.97,9.46,8.38,6.82,7.55,-8.17,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.247,No,Yes,2.534,0.799,No,No,0.307,-2.16
Cycloartenyl acetate,518616,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(CCC=C(C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)OC(=O)C)C)C,C32H52O2,468.75,6,2,0,144.88,26.3,5.35,10.35,8.74,7.08,7.91,-8.87,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.368,No,Yes,2.574,2.309,No,No,0.299,-2.254
Cycloheterophyllin,5316250,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(=CCC1=C2C(=C(C3=C1OC4=C(C3=O)C(OC5=CC(=C(C=C54)O)O)C=C(C)C)O)C=CC(O2)(C)C)C,C30H30O7,502.56,3,7,3,145.12,109.36,3.92,6.77,6.24,2.48,5.13,-7.34,Low,No,No,No,Yes,No,No,1,3,0.55,1,No,0.222,No,Yes,2.51,1.576,No,No,0.287,0.216
Dihydromorin,5458714,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,C1=CC(=C(C=C1O)O)C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O,C15H12O7,304.25,1,7,5,74.76,127.45,1.17,0.95,0.86,-0.64,0.6,-2.66,High,No,No,No,No,No,No,0,0,0.55,0,No,0.206,No,No,2.154,2.886,No,No,0.306,5.861
Heterophylol,15227962,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(=CCC1=C(C=C(C2=C1CC3C(C2)C4=C(C=C(C=C4)O)OC3(C)C)OC)OC)C,C26H32O4,408.53,4,4,1,121.12,47.92,4.17,6.1,5.59,4.01,5.18,-6.25,High,Yes,No,No,No,Yes,Yes,0,0,0.55,0,No,0.005,No,Yes,2.291,1.417,No,No,0.385,-0.328
Isoartocarpin,44258300,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(=CCC1=C(C=C2C(=C1O)C(=O)C3=C(O2)C4=C(C=C(C=C4)O)OC3C=C(C)C)OC)C,C26H26O6,434.48,4,6,2,125.47,89.13,4.25,6.17,5.46,2.3,4.79,-6.53,High,No,No,Yes,Yes,No,No,0,0,0.55,0,No,-0.16,No,Yes,2.202,1.336,No,No,0.303,-0.386
Morin,5281670,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O7,302.24,1,7,5,78.03,131.36,1.47,1.54,1.99,-0.56,1.2,-3.16,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.537,No,No,2.413,2.448,No,No,0.308,4.684
Norartocarpetin,5481970,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,C1=CC(=C(C=C1O)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.76,2.66,2.28,-0.03,1.74,-3.79,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.432,No,No,2.313,2.233,No,No,0.422,3.849
Norartocarpin,5481958,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C(=C(O2)C3=C(C=C(C=C3)O)O)CC=C(C)C)C,C25H26O6,422.47,5,6,4,123.45,111.13,3.57,6.17,5.3,2.09,4.54,-6.4,Low,No,No,No,No,No,No,0,0,0.55,0,No,0.369,No,Yes,2.535,1.417,No,No,0.289,0.479
Oxyresveratrol,5281717,Jackfruit,Artocarpus heterophyllus,DOI: 10.1016/j.foodres.2011.02.035,C1=CC(=C(C=C1O)O)C=CC2=CC(=CC(=C2)O)O,C14H12O4,244.24,2,4,4,69.9,80.92,1.44,2.77,2.46,1.67,2.08,-3.46,High,No,Yes,No,Yes,No,Yes,0,0,0.55,0,No,0.249,No,No,2.354,1.308,No,No,0.609,2.491
