Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"2’,3’-dehydrosalannol",91886694,Neem,Azadirachta indica,DOI: 10.1016/0378-8741(91)90131-V,CC1=C2C(CC1C3=COC=C3)OC4C2(C(C5(C(CC(C6(C5C4OC6)C)O)OC(=O)C=C(C)C)C)CC(=O)OC)C,C32H42O8,554.67,7,8,1,147.07,104.43,4.16,3.61,4.72,2.54,3.9,-5.18,High,No,No,No,No,No,No,1,3,0.55,0,No,-0.661,No,No,2.78,1.51,No,No,0.299,0.699
6-desacetylnimbin,176996,Neem,Azadirachta indica,DOI: 10.1016/0378-8741(91)90131-V,CC1=C2C(CC1C3=COC=C3)OC4C2(C(C5(C(C4O)C(C=CC5=O)(C)C(=O)OC)C)CC(=O)OC)C,C28H34O8,498.56,6,8,1,129.07,112.27,3.61,1.71,3.35,1.69,2.76,-3.72,High,No,No,No,No,No,Yes,0,1,0.55,0,No,-0.733,No,No,2.843,1.833,No,No,0.326,1.119
6-o-acetylnimbandiol,52952216,Neem,Azadirachta indica,DOI: 10.1016/0378-8741(91)90131-V,CC1=C2C(CC1C3=COC=C3)OC4C2(C(C5(C(C4OC(=O)C)C(C=CC5=O)(C)O)C)CC(=O)OC)C,C28H34O8,498.56,6,8,1,129.37,112.27,3.47,1.44,3.49,1.69,2.71,-3.55,High,No,No,No,No,No,Yes,0,1,0.55,0,No,-0.633,No,No,2.762,1.309,No,No,0.321,1.443
Azadirachtanin,102146586,Neem,Azadirachta indica,DOI: 10.1016/0378-8741(91)90131-V,CC(=O)OC1CC(C23COC(C1(C2CC(C4(C3C(=O)C(C5(C4=CCC5C6=COC=C6)C)OC(=O)C)C)O)C)OC(=O)C)O,C32H40O11,600.65,7,11,2,148.84,158.8,2.77,1.88,2.83,1.36,2.29,-4.37,Low,No,No,No,No,No,Yes,2,3,0.17,0,No,-1.327,No,No,3.211,2.089,No,No,0.285,3.785
Azadirachtin,5281303,Neem,Azadirachta indica,DOI: 10.1016/0378-8741(91)90131-V,CC=C(C)C(=O)OC1CC(C2(COC3C2C14COC(C4C(C3O)(C)C56C7CC(C5(O6)C)C8(C=COC8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C,C35H44O16,720.71,10,16,3,165.92,215.34,3.9,1.09,-0.2,-0.47,1.08,-4.34,Low,No,No,No,No,No,No,2,3,0.17,0,No,-0.506,No,Yes,3.249,3.259,No,No,0.285,11.861
Azadirachtol,23256847,Neem,Azadirachta indica,DOI: 10.1016/0378-8741(91)90131-V,CC12C3CC(C1(O2)C4(C5C(OCC56C(CC(C7(C6C(C4O)OC7)C(=O)OC)O)O)C(=O)OC)C)OC8C3(C=CO8)O,C28H36O13,580.58,5,13,4,131.3,182.97,2.91,0.06,-1.61,-1.34,-0.08,-3.15,Low,No,No,No,No,No,No,2,4,0.17,0,No,-0.864,No,No,3.698,3.543,No,No,0.285,8.226
Azadiradione,12308714,Neem,Azadirachta indica,DOI: 10.1016/0378-8741(91)90131-V,CC(=O)OC1CC2C(C(=O)C=CC2(C3C1(C4=CC(=O)C(C4(CC3)C)C5=COC=C5)C)C)(C)C,C28H34O5,450.57,3,5,0,125.48,73.58,3.17,4.82,5.42,3.28,4.34,-5.58,High,No,No,No,No,No,No,0,0,0.55,0,No,-0.224,No,Yes,2.677,0.391,No,No,0.364,-0.253
Epoxyazadiradione,49863985,Neem,Azadirachta indica,DOI: 10.1016/0378-8741(91)90131-V,CC(=O)OC1CC2C(C(=O)C=CC2(C3C1(C45C(O4)C(=O)C(C5(CC3)C)C6=COC=C6)C)C)(C)C,C28H34O6,466.57,3,6,0,124.96,86.11,3.38,4.24,4.63,2.54,3.93,-5.31,High,No,No,No,No,No,No,0,0,0.55,0,No,-0.658,No,No,2.694,0.534,No,No,0.306,0.243
Gedunin,12004512,Neem,Azadirachta indica,DOI: 10.1016/0378-8741(91)90131-V,CC(=O)OC1CC2C(C(=O)C=CC2(C3C1(C45C(O4)C(=O)OC(C5(CC3)C)C6=COC=C6)C)C)(C)C,C28H34O7,482.57,3,7,0,126.04,95.34,3.19,4.22,4.24,2.56,3.73,-5.4,High,No,No,No,No,No,No,0,1,0.55,0,No,-0.736,No,No,2.998,0.195,No,No,0.291,0.456
Isoazadirolide,101425842,Neem,Azadirachta indica,DOI: 10.1016/0378-8741(91)90131-V,CC1=C2C(CC1C3=CC(=O)OC3O)OC4C2(C(C5(C(CC(C6(C5C4OC6)C)O)OC(=O)C=C(C)C)C)CC(=O)OC)C,C32H42O10,586.67,7,10,2,149.4,137.82,3.42,1.84,2.76,2.25,2.68,-4.17,Low,No,No,No,No,No,No,1,3,0.55,0,No,-1.074,No,No,3.364,2.078,Yes,No,0.285,3.046
