Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
alpha-Amyrenyl acetate,92842,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC(=O)C)C)C)C2C1C)C)C,C32H52O2,468.75,2,2,0,144.88,26.3,4.89,9.58,8.6,7.08,7.43,-8.65,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.485,No,Yes,2.25,2.039,No,No,0.359,-1.996
Aniline,6115,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,C1=CC=C(C=C1)N,C6H7N,93.13,0,0,1,30.85,26.02,1.2,0.9,1.28,1.45,1.22,-1.62,High,Yes,Yes,No,No,No,No,0,3,0.55,0,Yes,0.507,No,No,2.305,1.848,No,Yes,-0.394,2.047
Arginine,6322,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,C(CC(C(=O)O)N)CN=C(N)N,C6H14N4O2,174.2,5,4,4,44.54,127.72,0.04,-4.19,-1.55,-3.21,-2.08,2.05,Low,No,No,No,No,No,No,0,1,0.55,0,Yes,0.444,No,No,2.486,2.245,No,No,0.285,3.32
Citicoline,13804,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O,C14H26N4O11P2,488.32,10,12,4,102.47,235.34,-4.09,-3.93,-1.48,-6.78,-4.55,0.13,Low,No,No,No,No,No,No,1,2,0.11,0,No,0.595,No,No,1.905,2.377,Yes,No,0.285,4.635
Eicosanedioic acid,75502,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,C(CCCCCCCCCC(=O)O)CCCCCCCCC(=O)O,C20H38O4,342.51,19,4,2,101.8,74.6,3.97,7.53,6.18,4.11,5.56,-5.45,High,No,No,No,Yes,No,No,0,1,0.85,0,No,-0.899,No,No,1.933,3.344,No,Yes,0.289,-1.912
Histidine,6274,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,C1=C(NC=N1)CC(C(=O)O)N,C6H9N3O2,155.15,3,4,3,37.65,92.0,-0.03,-3.23,-0.64,-3.74,-1.54,1.09,High,No,No,No,No,No,No,0,3,0.55,0,No,0.778,No,No,2.37,1.806,No,No,0.285,3.701
Leucine,6106,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,CC(C)CC(C(=O)O)N,C6H13NO2,131.17,3,3,2,35.44,63.32,1.15,-1.52,0.44,-1.82,-0.38,0.5,High,No,No,No,No,No,No,0,2,0.55,0,No,1.13,No,No,2.026,2.925,No,No,0.186,2.169
"L-HISTIDINE, N-beta-ALANYL-",9369,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN,C9H14N4O3,226.23,7,5,4,55.07,121.1,0.21,-3.99,-1.13,-1.81,-1.39,1.5,High,No,No,No,No,No,No,0,1,0.55,0,No,0.596,No,No,2.008,2.489,Yes,No,0.285,4.093
l-Isoleucine,6306,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,CCC(C)C(C(=O)O)N,C6H13NO2,131.17,3,3,2,35.44,63.32,1.26,-1.72,0.44,-1.82,-0.4,0.63,High,No,No,No,No,No,No,0,2,0.55,0,No,1.137,No,No,2.009,2.838,No,No,0.15,2.421
Lysine,5962,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,C(CCN)CC(C(=O)O)N,C6H14N2O2,146.19,5,4,3,38.14,89.34,0.98,-3.05,-0.47,-2.67,-1.19,1.51,High,No,No,No,No,No,No,0,3,0.55,0,No,1.227,No,No,2.046,3.083,No,No,0.274,2.542
Methionine,6137,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,CSCCC(C(=O)O)N,C5H11NO2S,149.21,4,3,2,38.22,88.62,1.17,-1.87,0.15,-2.2,-0.58,0.68,High,No,No,No,No,No,No,0,2,0.55,0,No,1.129,No,No,2.009,2.603,No,No,0.152,2.321
Nicotinic acid,938,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,C1=CC(=CN=C1)C(=O)O,C6H5NO2,123.11,1,3,1,31.2,50.19,0.86,0.36,0.78,-1.13,0.32,-1.26,High,Yes,No,No,No,No,No,0,3,0.85,0,No,0.907,No,No,2.24,2.652,No,No,0.055,2.222
Oxalic Acid,971,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,C(=O)(C(=O)O)O,C2H2O4,90.03,1,4,2,15.27,74.6,-0.35,-0.25,-0.84,-1.51,-0.79,-0.17,High,No,No,No,No,No,No,0,4,0.85,0,No,1.403,No,No,1.68,2.96,No,No,0.281,2.403
Riboflavin,493570,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O,C17H20N4O6,376.36,5,8,5,96.99,161.56,0.97,-1.46,-1.68,-0.54,-0.32,-1.31,Low,No,No,No,No,No,No,0,1,0.55,0,Yes,0.712,No,No,2.17,3.864,Yes,No,0.285,4.528
Stigmasterol,5280794,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H48O,412.69,5,1,1,132.75,20.23,5.01,8.56,7.8,6.62,6.97,-7.46,Low,No,No,No,Yes,No,No,1,3,0.55,0,No,-0.664,No,Yes,2.54,0.872,No,No,0.433,-1.675
Taxiphyllin,107721,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,C1=CC(=CC=C1C(C#N)OC2C(C(C(C(O2)CO)O)O)O)O,C14H17NO7,311.29,4,8,5,71.53,143.4,0.4,-0.92,-1.55,-2.1,-1.06,-1.13,Low,No,No,No,No,No,No,0,1,0.55,0,No,1.53,No,No,2.063,4.118,Yes,No,0.285,4.478
Thiamine,1130,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,C12H17N4OS+,265.35,4,3,2,73.26,104.15,-1.6,1.02,0.62,0.05,0.53,-2.32,High,No,No,No,No,No,No,0,0,0.55,0,No,-0.251,No,No,2.672,0.802,Yes,No,0.232,2.699
Threonine,6288,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,CC(C(C(=O)O)N)O,C4H9NO3,119.12,2,4,3,26.98,83.55,0.61,-2.94,-1.22,-3.46,-1.67,1.41,High,No,No,No,No,No,No,0,4,0.55,0,No,1.162,No,No,1.968,2.932,No,No,0.17,3.399
Trigonelline,5570,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,C[N+]1=CC=CC(=C1)C(=O)[O-],C7H7NO2,137.14,1,2,0,35.05,44.01,-3.11,0.51,-1.13,0.33,-0.61,-1.39,High,No,No,No,No,No,No,0,4,0.55,0,No,0.743,No,No,1.878,0.454,No,No,-0.323,2.536
Tyrosine,6057,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,C1=CC(=CC=C1CC(C(=O)O)N)O,C9H11NO3,181.19,3,4,3,47.52,83.55,0.79,-2.26,0.35,-1.7,-0.49,0.32,High,No,No,No,No,No,No,0,0,0.55,0,No,0.963,No,No,2.197,2.036,No,No,0.275,2.504
Urease,713457,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,COC1=CC=C(C=C1)NC(=S)NCCC2=CNC3=CC=CC=C32,C18H19N3OS,325.43,7,1,3,98.79,81.17,3.04,2.91,3.51,2.25,3.27,-3.71,High,No,Yes,Yes,Yes,Yes,Yes,0,0,0.55,0,No,-0.116,No,Yes,2.426,1.891,Yes,No,0.858,1.503
Valine,6287,Bamboo,Bambusa arudinacea,DOI: doi.org/10.5667/tang.2013.0011,CC(C)C(C(=O)O)N,C5H11NO2,117.15,2,3,2,30.63,63.32,1.03,-2.26,0.05,-2.2,-0.78,0.99,High,No,No,No,No,No,No,0,3,0.55,0,No,1.137,No,No,2.019,2.901,No,No,0.184,2.422
