Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Berberine,2353,Barberry,Berberis vulgaris,PMID: 24600191,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,C20H18NO4+,336.36,2,4,0,94.87,40.8,0.0,3.62,3.1,2.19,2.53,-4.55,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.144,No,No,2.571,1.89,Yes,No,0.354,-0.277
cannabisin G,10438919,Barberry,Berberis vulgaris,PMID: 24600191,COC1=C(C=CC(=C1)C=C(C(=CC2=CC(=C(C=C2)O)OC)C(=O)NCCC3=CC=C(C=C3)O)C(=O)NCCC4=CC=C(C=C4)O)O,C36H36N2O8,624.68,15,8,6,175.85,157.58,3.33,5.41,4.49,2.22,4.2,-6.52,Low,No,No,Yes,Yes,No,No,2,3,0.17,0,No,0.408,No,Yes,2.54,3.761,Yes,No,0.285,-0.163
columbamine,72310,Barberry,Berberis vulgaris,PMID: 24600191,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)O)OC,C20H20NO4+,338.38,3,4,1,97.33,51.8,-0.07,3.42,3.08,1.78,2.33,-4.37,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.265,No,Yes,2.411,1.42,Yes,No,0.399,0.079
isocorydine,10143,Barberry,Berberis vulgaris,PMID: 24600191,CN1CCC2=CC(=C(C3=C2C1CC4=C3C(=C(C=C4)OC)O)OC)OC,C20H23NO4,341.4,3,5,1,100.47,51.16,3.48,2.57,2.46,1.98,2.8,-3.73,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,No,-0.092,No,Yes,2.66,0.733,Yes,No,0.985,0.622
lambertine,10217,Barberry,Berberis vulgaris,PMID: 24600191,COC1=C(C2=C(C=C1)C=C3C4=CC5=C(C=C4CCN3C2)OCO5)OC,C20H19NO4,337.37,2,4,0,98.18,40.16,3.5,3.54,2.66,2.3,3.1,-4.39,High,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0.55,0,No,0.113,No,No,2.304,1.712,Yes,No,0.806,0.447
lupeol,259846,Barberry,Berberis vulgaris,PMID: 24600191,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C,C30H50O,426.72,1,1,1,135.14,20.23,4.68,9.87,8.02,6.92,7.26,-8.64,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.502,No,Yes,2.563,0.89,No,No,0.316,-1.696
lyoniresinol,317840,Barberry,Berberis vulgaris,PMID: 24600191,COC1=CC(=CC(=C1O)OC)C2C(C(CC3=CC(=C(C(=C23)OC)O)OC)CO)CO,C22H28O8,420.45,7,8,4,110.31,117.84,2.92,1.99,2.04,0.56,2.04,-3.53,High,No,No,No,No,Yes,No,0,0,0.55,0,No,0.418,No,Yes,2.082,1.777,No,No,0.298,2.465
oleanolic acid,10494,Barberry,Berberis vulgaris,PMID: 24600191,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,C30H48O3,456.7,1,3,2,136.65,57.53,3.89,7.49,7.23,5.82,6.06,-7.32,Low,No,No,No,No,No,No,1,3,0.85,0,No,0.203,No,No,2.349,2.085,Yes,No,0.285,-0.823
oxyberberine,11066,Barberry,Berberis vulgaris,PMID: 24600191,COC1=C(C2=C(C=C1)C=C3C4=CC5=C(C=C4CCN3C2=O)OCO5)OC,C20H17NO5,351.35,2,5,0,96.81,58.92,3.28,2.94,2.97,2.38,3.04,-4.19,High,Yes,Yes,No,Yes,Yes,Yes,0,0,0.55,0,No,-0.234,No,No,2.394,2.226,Yes,No,0.414,0.165
oxycanthine,371257,Barberry,Berberis vulgaris,PMID: 24600191,CN1CCC2=CC(=C(C3=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=CC(=C(C=C7CCN6C)OC)O3)O)OC)OC,C37H40N2O6,608.72,3,8,1,181.6,72.86,4.69,6.34,5.45,3.55,5.11,-7.8,High,No,No,No,No,No,No,1,3,0.55,0,Yes,0.25,No,Yes,2.57,1.194,No,No,0.285,1.965
palmatine,19009,Barberry,Berberis vulgaris,PMID: 24600191,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC,C21H22NO4+,352.4,4,4,0,101.8,40.8,0.1,3.75,3.38,2.01,2.64,-4.58,High,Yes,No,No,No,Yes,Yes,0,0,0.55,0,Yes,0.231,No,Yes,2.551,1.536,Yes,No,0.388,-0.313
stigmasterol,5280794,Barberry,Berberis vulgaris,PMID: 24600191,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H48O,412.69,5,1,1,132.75,20.23,5.01,8.56,7.8,6.62,6.97,-7.46,Low,No,No,No,Yes,No,No,1,3,0.55,0,No,-0.664,No,Yes,2.54,0.872,No,No,0.433,-1.675
