Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
delta-Cadinene,441005,Kukurmutta,Blumea lacera,DOI: 10.1002/ffj.2730040208,CC1=CC2C(CCC(=C2CC1)C)C(C)C,C15H24,204.35,1,0,0,69.04,0.0,3.32,3.8,4.73,4.63,4.12,-3.43,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.213,No,No,1.552,1.448,No,Yes,1.61,0.093
"2,5-Dimethoxy-p-cymene",6427071,Kukurmutta,Blumea lacera,DOI: 10.1002/ffj.2730040208,CC1=CC(=C(C=C1OC)C(C)C)OC,C12H18O2,194.27,3,2,0,58.97,18.46,3.03,3.36,3.14,2.67,3.11,-3.28,High,Yes,Yes,No,No,Yes,No,0,0,0.55,0,No,0.931,No,No,1.846,2.248,No,Yes,1.384,0.387
2-Isopropyl-5-methylanisole,14104,Kukurmutta,Blumea lacera,DOI: 10.1002/ffj.2730040208,CC1=CC(=C(C=C1)C(C)C)OC,C11H16O,164.24,2,1,0,52.48,9.23,2.77,3.75,3.13,3.05,3.2,-3.46,High,Yes,Yes,No,No,Yes,No,0,0,0.55,0,No,0.832,No,No,1.854,2.206,No,Yes,0.913,0.822
8-Eudesmol,129819579,Kukurmutta,Blumea lacera,DOI: 10.1002/ffj.2730040208,CC1CCCC2(C1C(C(CC2)C(C)C)O)C,C15H28O,224.38,1,1,1,70.89,20.23,3.21,4.97,3.86,3.81,3.82,-4.3,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,-0.092,No,No,1.651,1.326,No,Yes,1.818,0.367
alpha-Bergamotene,6429302,Kukurmutta,Blumea lacera,DOI: 10.1002/ffj.2730040208,CC1=CCC2CC1C2(C)CCC=C(C)C,C15H24,204.35,3,0,0,68.78,0.0,3.41,6.45,4.73,4.63,4.7,-4.97,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.084,No,No,1.68,1.367,No,Yes,1.562,-0.103
beta-Bourbonene,62566,Kukurmutta,Blumea lacera,DOI: 10.1002/ffj.2730040208,CC(C)C1CCC2(C1C3C2CCC3=C)C,C15H24,204.35,1,0,0,67.14,0.0,3.34,4.71,4.27,5.65,4.4,-4.01,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,Yes,-0.446,No,No,1.601,1.431,No,No,1.344,-0.015
beta-CARYOPHYLLENE OXIDE,1742210,Kukurmutta,Blumea lacera,DOI: 10.1002/ffj.2730040208,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,C15H24O,220.35,0,1,0,68.27,12.53,3.15,3.56,3.94,3.67,3.68,-3.45,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.148,No,No,1.548,1.224,No,Yes,1.079,0.955
beta-Himachalene,11586487,Kukurmutta,Blumea lacera,DOI: 10.1002/ffj.2730040208,CC1=CC2C(=C(CCCC2(C)C)C)CC1,C15H24,204.35,0,0,0,68.78,0.0,3.26,3.94,4.87,4.63,4.2,-3.59,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.338,No,No,1.678,1.364,No,Yes,1.325,0.587
Caryophyllene,5281515,Kukurmutta,Blumea lacera,DOI: 10.1002/ffj.2730040208,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.351,No,No,1.617,1.416,No,Yes,1.401,0.504
Humulene,5281520,Kukurmutta,Blumea lacera,DOI: 10.1002/ffj.2730040208,CC1=CCC(C=CCC(=CCC1)C)(C)C,C15H24,204.35,0,0,0,70.42,0.0,3.27,4.55,5.04,4.53,4.26,-3.97,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.551,No,No,1.766,1.336,No,Yes,1.451,0.716
Precocene I,28619,Kukurmutta,Blumea lacera,DOI: 10.1002/ffj.2730040208,CC1(C=CC2=C(O1)C=C(C=C2)OC)C,C12H14O2,190.24,1,2,0,57.05,18.46,2.74,3.35,2.77,2.19,2.77,-3.38,High,Yes,Yes,No,No,Yes,No,0,0,0.55,0,No,0.77,No,No,1.838,2.086,No,Yes,1.165,0.773
