Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Benzyl beta-d-glucopyranoside,188977,Malabar silk-cotton tree ,Bombax ceiba,DOI: 10.1177/1934578x1300800508,C1=CC=C(C=C1)COC2C(C(C(C(O2)CO)O)O)O,C13H18O6,270.28,4,6,4,64.95,99.38,1.6,-0.7,-1.15,-0.95,-0.32,-1.04,High,No,No,No,No,No,No,0,1,0.55,0,No,1.579,No,No,1.849,3.689,No,No,0.285,3.534
beta-Phenylethanol beta-D-rutinoside,11166301,Malabar silk-cotton tree ,Bombax ceiba,DOI: 10.1177/1934578x1300800508,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OCCC3=CC=CC=C3)O)O)O)O)O)O,C20H30O10,430.45,7,10,6,100.98,158.3,1.98,-1.74,-2.1,-1.97,-1.06,-1.1,Low,No,No,No,No,No,No,1,1,0.55,0,No,0.323,No,No,1.955,3.193,No,No,0.285,4.735
Byzantionoside B,14135395,Malabar silk-cotton tree ,Bombax ceiba,DOI: 10.1177/1934578x1300800508,CC1=CC(=O)CC(C1CCC(C)OC2C(C(C(C(O2)CO)O)O)O)(C)C,C19H32O7,372.45,6,7,4,95.5,116.45,2.79,0.3,0.53,-0.17,0.91,-1.94,High,No,No,No,No,No,No,0,0,0.55,0,No,0.727,No,No,2.017,3.035,No,No,0.285,3.59
Chlorogenate,6476139,Malabar silk-cotton tree ,Bombax ceiba,DOI: 10.1177/1934578x1300800508,COC(=O)C1(CC(C(C(C1)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O)O,C17H20O9,368.34,6,9,5,87.82,153.75,0.87,-0.1,-0.67,-0.81,-0.15,-1.84,Low,No,No,No,No,No,No,0,1,0.55,1,No,-0.312,No,No,1.844,2.403,No,No,0.286,3.938
Chlorogenic Acid,1794427,Malabar silk-cotton tree ,Bombax ceiba,DOI: 10.1177/1934578x1300800508,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Esculetin,5281416,Malabar silk-cotton tree ,Bombax ceiba,DOI: 10.1177/1934578x1300800508,C1=CC(=O)OC2=CC(=C(C=C21)O)O,C9H6O4,178.14,0,4,2,46.53,70.67,1.25,1.22,1.2,0.45,1.12,-2.28,High,No,Yes,No,No,No,No,0,1,0.55,1,No,-0.262,No,No,2.337,1.504,No,No,0.39,2.341
Fraxetin,5273569,Malabar silk-cotton tree ,Bombax ceiba,DOI: 10.1177/1934578x1300800508,COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)O,C10H8O5,208.17,1,5,2,53.02,79.9,1.52,1.17,1.21,0.2,1.11,-2.3,High,No,No,No,No,No,No,0,0,0.55,1,No,0.2,No,No,1.849,1.964,No,No,0.37,2.253
Isomangiferin,5318597,Malabar silk-cotton tree ,Bombax ceiba,DOI: 10.1177/1934578x1300800508,C1=C2C(=CC(=C1O)O)OC3=C(C2=O)C(=CC(=C3C4C(C(C(C(O4)CO)O)O)O)O)O,C19H18O11,422.34,2,11,8,100.7,201.28,1.91,-0.37,-1.04,-2.66,-0.57,-2.44,Low,No,No,No,No,No,No,2,1,0.17,1,Yes,0.559,No,Yes,2.393,4.377,No,No,0.285,5.898
Isoquercetin,5280804,Malabar silk-cotton tree ,Bombax ceiba,DOI: 10.1177/1934578x1300800508,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O12,464.38,4,12,8,110.16,210.51,2.11,0.36,-0.54,-2.59,-0.25,-3.04,Low,No,No,No,No,No,No,2,1,0.17,1,No,0.569,No,Yes,2.541,4.417,No,No,0.285,8.061
Isovitexin,162350,Malabar silk-cotton tree ,Bombax ceiba,DOI: 10.1177/1934578x1300800508,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O10,432.38,3,10,7,106.61,181.05,1.94,0.21,-0.23,-2.02,0.05,-2.84,Low,No,No,No,No,No,No,1,0,0.55,0,No,0.649,No,No,2.558,5.37,No,No,0.285,5.18
