Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"1,1-Diethoxypropane",20858,Palmyra Palm,Borassus flabellifer,DOI: https://mcmed.us/downloads/143739611452.pdf,CCC(OCC)OCC,C7H16O2,132.2,5,2,0,37.93,18.46,2.44,1.72,1.8,1.36,1.73,-1.41,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.856,No,No,1.94,2.193,No,Yes,-0.051,1.844
"1,2-Propanediol, 2-acetate",110806,Palmyra Palm,Borassus flabellifer,DOI: https://mcmed.us/downloads/143739611452.pdf,CC(CO)OC(=O)C,C5H10O3,118.13,3,3,1,28.6,46.53,1.34,-0.14,-0.07,0.01,0.23,-0.29,High,No,No,No,No,No,No,0,3,0.55,0,No,1.252,No,No,2.002,2.563,No,No,-1.39,2.874
"1,3-Diaminopropane",428,Palmyra Palm,Borassus flabellifer,DOI: https://mcmed.us/downloads/143739611452.pdf,C(CN)CN,C3H10N2,74.12,2,2,2,21.95,52.04,0.89,-1.43,-0.71,-0.63,-0.55,0.73,High,No,No,No,No,No,No,0,4,0.55,0,No,1.32,No,No,1.994,0.882,No,No,-1.19,3.055
"1-Butanol, 2-amino-",22129,Palmyra Palm,Borassus flabellifer,DOI: https://mcmed.us/downloads/143739611452.pdf,CCC(CO)N,C4H11NO,89.14,2,2,2,25.21,46.25,1.21,-0.44,-0.28,-0.18,-0.03,0.02,High,No,No,No,No,No,No,0,3,0.55,0,No,1.364,No,No,1.929,1.08,No,No,-1.197,2.948
"2,4-Dihydroxy-2,5-dimethyl-3(2H)-furanone",538757,Palmyra Palm,Borassus flabellifer,DOI: https://mcmed.us/downloads/143739611452.pdf,CC1=C(C(=O)C(O1)(C)O)O,C6H8O4,144.13,0,4,2,32.42,66.76,1.24,-0.08,0.08,-1.36,0.03,-0.68,High,No,No,No,No,No,No,0,3,0.85,0,Yes,1.179,No,No,1.549,2.702,No,No,0.265,2.118
"2,6-Dimethoxyphenol",7041,Palmyra Palm,Borassus flabellifer,DOI: https://mcmed.us/downloads/143739611452.pdf,COC1=C(C(=CC=C1)OC)O,C8H10O3,154.16,2,3,1,41.45,38.69,1.85,1.15,1.41,0.87,1.32,-1.79,High,Yes,No,No,No,No,No,0,1,0.55,0,No,1.218,No,No,2.047,1.923,No,No,-0.129,2.101
2-Hydroxycyclopent-2-en-1-one,82674,Palmyra Palm,Borassus flabellifer,DOI: https://mcmed.us/downloads/143739611452.pdf,C1CC(=O)C(=C1)O,C5H6O2,98.1,0,2,1,25.33,37.3,1.12,0.39,0.79,-0.42,0.57,-0.69,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.225,No,No,1.937,2.453,No,Yes,-1.613,2.593
2-Methoxyhydroquinone,69988,Palmyra Palm,Borassus flabellifer,DOI: https://mcmed.us/downloads/143739611452.pdf,COC1=C(C=CC(=C1)O)O,C7H8O3,140.14,1,3,2,36.98,49.69,1.37,0.47,1.11,0.53,0.87,-1.38,High,Yes,No,No,No,No,Yes,0,3,0.55,0,No,-0.003,No,No,2.127,2.092,No,No,0.0,2.209
"3,4,5-Trimethoxyphenol",69505,Palmyra Palm,Borassus flabellifer,DOI: https://mcmed.us/downloads/143739611452.pdf,COC1=CC(=CC(=C1OC)OC)O,C9H12O4,184.19,3,4,1,47.94,47.92,1.95,1.57,1.42,0.6,1.38,-2.11,High,Yes,No,No,No,No,No,0,0,0.55,0,No,1.292,No,No,2.13,2.027,No,No,0.219,2.065
"3,4-Dimethoxyphenol",16251,Palmyra Palm,Borassus flabellifer,DOI: https://mcmed.us/downloads/143739611452.pdf,COC1=C(C=C(C=C1)O)OC,C8H10O3,154.16,2,3,1,41.45,38.69,1.69,1.4,1.41,0.87,1.34,-1.95,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.666,No,No,2.069,2.203,No,No,0.042,2.101
