Compound Name,PubChem Id,Common Name,Scientific Name_x,References,Scientific Name_y,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
3′-hydroxybrucein A,132570107,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C26H34O12,538.54,6,12,4,125.81,186.12,1.57,-0.68,-0.29,-0.76,0.08,-2.35,Low,No,No,No,No,No,No,2,2,0.17,0,No,-0.199,No,No,2.639,2.965,No,No,0.285,7.583
Bruceacanthinoside,190940,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C26H28N2O12,560.51,6,13,7,134.19,212.9,-0.07,-1.67,-2.56,-2.42,-1.78,-2.16,Low,No,No,No,No,No,No,3,3,0.17,0,No,0.286,No,Yes,2.492,4.963,No,No,0.285,9.401
Bruceajavanin A,10030889,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C34H48O7,568.74,6,7,0,155.86,91.43,4.56,5.83,5.95,4.22,5.23,-6.64,High,No,No,No,Yes,No,No,2,4,0.17,0,No,-0.796,No,No,2.73,0.121,No,No,0.288,0.479
Bruceajavanin B,121513841,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C33H48O6,540.73,5,6,0,150.85,74.36,4.76,5.8,6.03,4.11,5.27,-6.52,High,No,No,No,No,No,No,1,4,0.55,0,No,-0.727,No,No,2.452,0.113,No,No,0.293,0.117
Bruceantin,5281304,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C28H36O11,548.58,6,11,3,133.75,165.89,2.36,1.66,1.15,0.31,1.45,-3.89,Low,No,No,No,No,No,No,2,3,0.17,0,No,-0.73,No,No,2.618,3.113,No,No,0.285,5.028
Bruceantinol,5281305,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C30H38O13,606.61,8,13,3,144.68,192.19,2.65,0.81,0.84,-0.07,1.16,-3.58,Low,No,No,No,No,No,No,2,3,0.17,0,No,-0.533,No,No,2.788,2.916,No,No,0.285,7.765
Bruceene,101600137,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C20H26O8,394.42,0,8,5,94.47,136.68,1.65,-1.66,-1.36,-0.42,-0.45,-1.24,Low,No,No,No,No,No,No,0,1,0.55,0,No,0.213,No,No,2.354,3.362,No,No,0.285,5.059
Bruceine A,160006,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C26H34O11,522.54,6,11,3,124.61,165.89,2.32,0.72,0.6,-0.01,0.98,-3.14,Low,No,No,No,No,No,No,2,2,0.17,0,No,-0.621,No,No,2.587,3.172,No,No,0.285,5.936
Bruceine B,161496,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C23H28O11,480.46,4,11,3,110.18,165.89,1.86,-0.55,-0.43,-0.63,0.1,-2.21,Low,No,No,No,No,No,No,1,2,0.55,0,No,-0.165,No,No,2.645,3.355,No,No,0.285,6.485
Bruceine C,5315509,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C28H36O12,564.58,6,12,4,134.95,186.12,2.4,0.24,0.27,-0.44,0.7,-3.1,Low,No,No,No,No,No,No,2,3,0.17,0,No,-0.539,No,No,2.688,2.783,No,No,0.285,7.403
