Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Alpha-amyrin,73170,Pigeon pea,Cajanus cajan,DOI: 10.1016/j.tifs.2019.03.012,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C,C30H50O,426.72,0,1,1,135.14,20.23,4.77,9.01,8.02,6.92,7.05,-8.16,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.326,No,Yes,2.123,0.964,No,No,0.601,-2.308
Beta-sitosterol,222284,Pigeon pea,Cajanus cajan,DOI: 10.1016/j.tifs.2019.03.012,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.011,No,Yes,2.615,2.124,No,No,1.097,-0.579
cajanin,5281706,Pigeon pea,Cajanus cajan,PMID: 22247887,COC1=CC(=C2C(=C1)OC=C(C2=O)C3=C(C=C(C=C3)O)O)O,C16H12O6,300.26,2,6,3,80.48,100.13,2.07,2.64,2.59,0.22,2.01,-3.77,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.491,No,No,2.616,1.432,No,No,1.401,1.535
cajaninstilbene acid,9819225,Pigeon pea,Cajanus cajan,PMID: 22247887,CC(=CCC1=C(C=C(C(=C1O)C(=O)O)C=CC2=CC=CC=C2)OC)C,C21H22O4,338.4,6,4,2,101.01,66.76,2.05,5.81,4.56,3.73,4.19,-5.56,High,Yes,No,No,Yes,No,No,0,0,0.85,0,No,0.6,No,Yes,2.611,1.863,No,No,2.235,0.596
Genistein,5280961,Pigeon pea,Cajanus cajan,DOI: 10.1016/j.tifs.2019.03.012,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.91,2.67,2.58,0.52,2.04,-3.72,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.624,No,No,2.508,1.464,No,No,1.386,1.583
Genistin,5281377,Pigeon pea,Cajanus cajan,DOI: 10.1016/j.tifs.2019.03.012,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)CO)O)O)O)O,C21H20O10,432.38,4,10,6,106.11,170.05,2.11,0.86,0.05,-1.61,0.35,-3.18,Low,No,No,No,No,No,No,1,0,0.55,0,Yes,-0.087,No,Yes,2.29,1.483,No,No,0.508,2.132
hexadecanoic acid,985,Pigeon pea,Cajanus cajan,DOI: 10.1016/j.tifs.2019.03.012,CCCCCCCCCCCCCCCC(=O)O,C16H32O2,256.42,14,2,1,80.8,37.3,3.85,7.17,5.55,4.19,5.2,-5.02,High,Yes,Yes,No,Yes,No,No,1,0,0.85,0,No,1.572,No,No,2.281,2.887,No,Yes,1.967,-0.195
longistylin A,131752397,Pigeon pea,Cajanus cajan,DOI: 10.1016/j.tifs.2019.03.012,CC(=CCC1=C(C=C(C=C1OC)C=CC2=CC=CC=C2)O)C,C20H22O2,294.39,5,2,1,94.05,29.46,3.84,5.73,4.86,4.24,4.79,-5.35,High,Yes,Yes,Yes,Yes,Yes,Yes,1,0,0.55,0,No,0.815,No,Yes,2.397,2.15,No,No,2.502,0.501
longistylin C,6446720,Pigeon pea,Cajanus cajan,DOI: 10.1016/j.tifs.2019.03.012,CC(=CCC1=C(C=C(C=C1OC)O)C=CC2=CC=CC=C2)C,C20H22O2,294.39,5,2,1,94.05,29.46,3.55,5.73,4.86,4.24,4.73,-5.35,High,Yes,Yes,Yes,Yes,Yes,Yes,1,0,0.55,0,No,0.815,No,Yes,2.397,2.15,No,No,2.502,0.501
orientin,5281675,Pigeon pea,Cajanus cajan,PMID: 22247887,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O11,448.38,3,11,8,108.63,201.28,1.27,-0.15,-0.53,-2.51,-0.41,-2.7,Low,No,No,No,No,No,No,2,1,0.17,1,Yes,-0.108,No,Yes,2.177,1.434,No,No,0.417,2.287
