Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
alpha-Amyrenyl acetate,92842,Crown Flower ,Calotropis gigantea,DOI: 10.52711/2231-5691.2023.00006 ,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC(=O)C)C)C)C2C1C)C)C,C32H52O2,468.75,2,2,0,144.88,26.3,4.89,9.58,8.6,7.08,7.43,-8.65,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.485,No,Yes,2.25,2.039,No,No,0.359,-1.996
alpha-Amyrin,73170,Crown Flower ,Calotropis gigantea,DOI: 10.52711/2231-5691.2023.00006 ,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C,C30H50O,426.72,0,1,1,135.14,20.23,4.77,9.01,8.02,6.92,7.05,-8.16,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.571,No,Yes,2.467,0.856,No,No,0.384,-1.309
Benzoyllineolone,9982084,Crown Flower ,Calotropis gigantea,DOI: 10.52711/2231-5691.2023.00006 ,CC(=O)C1CCC2(C1(C(CC3C2(CC=C4C3(CCC(C4)O)C)O)OC(=O)C5=CC=CC=C5)C)O,C28H36O6,468.58,4,6,3,128.17,104.06,2.55,2.63,3.58,2.85,3.04,-4.27,High,No,No,No,No,No,Yes,0,0,0.55,0,No,-0.742,No,No,3.03,1.667,No,No,0.311,2.162
Beta-Amyrin,73145,Crown Flower ,Calotropis gigantea,DOI: 10.52711/2231-5691.2023.00006 ,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C,C30H50O,426.72,0,1,1,134.88,20.23,4.74,9.15,8.17,6.92,7.18,-8.25,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.56,No,Yes,2.478,0.873,No,No,0.383,-1.345
beta-Amyrin acetate,92156,Crown Flower ,Calotropis gigantea,DOI: 10.52711/2231-5691.2023.00006 ,CC(=O)OC1CCC2(C(C1(C)C)CCC3(C2CC=C4C3(CCC5(C4CC(CC5)(C)C)C)C)C)C,C32H52O2,468.75,2,2,0,144.62,26.3,5.19,9.73,8.74,7.08,7.63,-8.74,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.165,No,Yes,2.42,1.93,No,No,0.336,-3.64
Beta-Sitosterol,222284,Crown Flower ,Calotropis gigantea,DOI: 10.52711/2231-5691.2023.00006 ,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Calactin,441849,Crown Flower ,Calotropis gigantea,DOI: 10.52711/2231-5691.2023.00006 ,CC1CC(C2(C(O1)OC3CC4CCC5C(C4(CC3O2)C=O)CCC6(C5(CCC6C7=CC(=O)OC7)O)C)O)O,C29H40O9,532.62,2,9,3,134.03,131.75,2.93,0.93,2.0,1.49,1.84,-3.6,High,No,No,No,No,No,No,1,3,0.55,0,Yes,-1.234,No,No,2.595,1.963,No,No,0.285,2.628
Calcium oxalate,33005,Crown Flower ,Calotropis gigantea,DOI: 10.52711/2231-5691.2023.00006 ,C(=O)(C(=O)[O-])[O-].[Ca+2],C2CaO4,128.1,1,4,0,11.39,80.26,-23.79,-0.25,-3.51,-1.51,-6.01,-0.41,Low,No,No,No,No,No,No,0,4,0.55,0,No,1.147,No,No,1.994,0.882,No,No,0.211,2.608
Calotoxin,30101,Crown Flower ,Calotropis gigantea,DOI: 10.52711/2231-5691.2023.00006 ,CC1C(C(C2(C(O1)OC3CC4CCC5C(C4(CC3O2)C=O)CCC6(C5(CCC6C7=CC(=O)OC7)O)C)O)O)O,C29H40O10,548.62,2,10,4,135.19,151.98,2.98,-0.24,0.97,0.72,1.08,-2.96,Low,No,No,No,No,No,No,1,3,0.55,0,Yes,-1.321,No,No,2.642,2.108,No,No,0.285,3.745
Calotropagenin,14134976,Crown Flower ,Calotropis gigantea,DOI: 10.52711/2231-5691.2023.00006 ,CC12CCC3C(C1(CCC2C4=CC(=O)OC4)O)CCC5C3(CC(C(C5)O)O)C=O,C23H32O6,404.5,2,6,3,106.12,104.06,2.23,0.63,1.75,1.82,1.74,-2.61,High,No,No,No,No,No,No,0,0,0.55,0,Yes,-0.308,No,No,2.46,1.662,No,No,0.318,1.438
