Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
caffeic acid,689043,Tea Plant,Camellia sinensis,PMID: 35745040,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.145,No,No,2.383,2.092,No,No,0.293,2.246
Caffeine,2519,Tea Plant,Camellia sinensis,PMID: 35745040,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,C8H10N4O2,194.19,0,3,0,52.04,61.82,1.79,-0.07,-1.03,0.22,0.08,-1.48,High,No,No,No,No,No,No,0,1,0.55,0,No,0.001,No,No,2.802,0.701,Yes,No,0.285,2.34
catechins,1203,Tea Plant,Camellia sinensis,PMID: 35745040,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
chlorogenic acid,1794427,Tea Plant,Camellia sinensis,PMID: 35745040,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
cinnamic acid,444539,Tea Plant,Camellia sinensis,PMID: 35745040,C1=CC=C(C=C1)C=CC(=O)O,C9H8O2,148.16,2,2,1,43.11,37.3,1.55,2.13,1.68,1.9,1.79,-2.37,High,Yes,No,No,No,No,No,0,2,0.85,0,No,1.11,No,No,2.094,2.651,No,No,0.247,1.719
ellagic acid,5281855,Tea Plant,Camellia sinensis,PMID: 35745040,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,C14H6O8,302.19,0,8,4,75.31,141.34,0.79,1.1,1.31,0.14,1.0,-2.94,High,No,Yes,No,No,No,No,0,0,0.55,1,No,0.476,No,No,2.399,2.698,No,No,0.295,2.11
epicatechin gallate,107905,Tea Plant,Camellia sinensis,PMID: 35745040,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,C22H18O10,442.37,4,10,7,110.04,177.14,1.44,1.53,2.2,0.05,1.25,-3.7,Low,No,No,No,No,No,No,1,0,0.55,1,No,0.449,No,Yes,2.558,2.777,No,No,0.285,6.146
epigallocatechin,72277,Tea Plant,Camellia sinensis,PMID: 35745040,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,C15H14O7,306.27,1,7,6,76.36,130.61,0.98,0.0,0.93,-0.29,0.42,-2.08,High,No,No,No,No,No,No,1,0,0.55,1,No,0.506,No,No,2.492,2.927,No,No,0.286,4.235
epigallocatechin Gallate,65064,Tea Plant,Camellia sinensis,PMID: 35745040,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,C22H18O11,458.37,4,11,8,112.06,197.37,1.87,1.17,1.91,-0.44,1.01,-3.56,Low,No,No,No,No,No,No,2,0,0.17,1,No,0.441,No,Yes,2.522,3.065,No,No,0.285,7.713
gallic acid,370,Tea Plant,Camellia sinensis,PMID: 35745040,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,No,0.7,No,No,2.218,3.06,No,No,0.285,3.188
Hexanal,6184,Tea Plant,Camellia sinensis,PMID: 35745040,CCCCCC=O,C6H12O,100.16,4,1,0,31.16,17.07,1.77,1.78,1.77,1.39,1.66,-1.32,High,Yes,No,No,No,No,No,0,3,0.55,0,No,0.833,No,No,1.762,1.922,No,Yes,-0.444,1.507
Naphthalene,931,Tea Plant,Camellia sinensis,PMID: 35745040,C1=CC=C2C=CC=CC2=C1,C10H8,128.17,0,0,0,43.95,0.0,1.99,3.3,2.84,4.26,3.1,-3.45,Low,Yes,Yes,No,No,No,No,1,2,0.55,0,No,0.703,No,No,1.942,2.345,No,Yes,0.584,0.52
p-coumaric acid,637542,Tea Plant,Camellia sinensis,PMID: 35745040,C1=CC(=CC=C1C=CC(=O)O)O,C9H8O3,164.16,2,3,2,45.13,57.53,0.95,1.46,1.38,1.28,1.26,-2.02,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.111,No,No,2.155,2.534,No,No,0.319,1.607
Pentanal,8063,Tea Plant,Camellia sinensis,PMID: 35745040,CCCCC=O,C5H10O,86.13,3,1,0,26.35,17.07,1.52,1.09,1.38,1.01,1.23,-0.86,High,Yes,No,No,No,No,No,0,3,0.55,0,No,0.943,No,No,1.831,1.854,No,Yes,-0.71,1.782
quinic acid,6508,Tea Plant,Camellia sinensis,PMID: 35745040,C1C(C(C(CC1(C(=O)O)O)O)O)O,C7H12O6,192.17,1,6,5,40.11,118.22,-0.12,-2.37,-2.32,-2.14,-1.75,0.53,Low,No,No,No,No,No,No,0,1,0.56,0,No,1.626,No,No,1.128,3.529,No,No,0.285,4.869
Theobromine,5429,Tea Plant,Camellia sinensis,PMID: 35745040,CN1C=NC2=C1C(=O)NC(=O)N2C,C7H8N4O2,180.16,0,3,1,47.14,72.68,1.22,-0.78,-1.04,-0.12,-0.12,-0.98,High,No,No,No,No,No,No,0,1,0.55,0,Yes,0.042,No,No,2.385,0.972,Yes,No,0.285,2.844
Theophylline,2153,Tea Plant,Camellia sinensis,PMID: 35745040,CN1C2=C(C(=O)N(C1=O)C)NC=N2,C7H8N4O2,180.16,0,3,1,47.14,72.68,0.53,-0.02,-1.04,-0.52,-0.19,-1.46,High,No,No,No,No,No,No,0,1,0.55,0,No,-0.162,No,No,2.308,0.581,Yes,No,0.285,2.873
