Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
4-Carene,530422,Indian Hemp,Cannabis indica,DOI: 10.1080/0972060X.2017.1281766,CC1CC2C(C2(C)C)C=C1,C10H12O,148.2,3,1,0,47.04,9.23,2.47,3.37,2.42,2.67,2.78,-3.09,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,0.608,No,No,1.747,2.192,No,No,0.393,1.326
Alpha-Pinene,2723720,Indian Hemp,Cannabis indica,DOI: 10.1080/0972060X.2017.1281766,CC1=CCC2CC1C2(C)C,C10H20O,156.27,1,1,1,49.23,20.23,2.55,3.4,2.44,2.45,2.58,-2.88,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.48,No,No,1.77,2.262,No,No,0.45,1.159
Beta-Myrcene ,31253,Indian Hemp,Cannabis indica,DOI: 10.1080/0972060X.2017.1281766,CC(=CCCC(=C)C=C)C,C10H18O,154.25,4,1,1,50.44,20.23,2.7,2.97,2.67,2.59,2.66,-2.4,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.617,No,No,1.643,2.406,No,No,0.894,0.736
Beta-Ocimene,5281553,Indian Hemp,Cannabis indica,DOI: 10.1080/0972060X.2017.1281766,CC(=CCC=C(C)C=C)C,C10H18O,154.25,1,1,1,48.8,20.23,2.51,3.26,2.5,2.3,2.6,-2.78,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.636,No,No,1.636,2.427,No,No,0.792,0.784
Beta-Phellandrene,11142,Indian Hemp,Cannabis indica,DOI: 10.1080/0972060X.2017.1281766,CC(C)C1CCC(=C)C=C1,C10H16O,152.23,0,1,0,45.64,17.07,2.12,2.19,2.4,2.3,2.37,-2.16,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.693,No,No,1.709,2.353,No,Yes,0.649,0.966
Beta-Pinene,14896,Indian Hemp,Cannabis indica,DOI: 10.1080/0972060X.2017.1281766,CC1(C2CCC(=C)C1C2)C,C10H18O,154.25,0,1,0,47.12,9.23,2.58,2.74,2.74,2.45,2.67,-2.52,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.371,No,No,1.673,2.28,No,No,0.628,1.012
Bisabolene,403919,Indian Hemp,Cannabis indica,DOI: 10.1080/0972060X.2017.1281766,CC1=CCC(CC1)C(=C)CCC=C(C)C,C15H24,204.35,7,0,0,72.32,0.0,3.86,6.03,5.2,4.84,4.97,-4.44,Low,No,Yes,No,Yes,No,No,1,0,0.55,0,No,0.418,No,No,1.642,1.347,No,Yes,1.943,-0.065
Camphor ,2537,Indian Hemp,Cannabis indica,DOI: 10.1080/0972060X.2017.1281766,CC1(C2CCC1(C(=O)C2)C)C,C15H24,204.35,4,0,0,70.68,0.0,3.67,6.43,5.04,4.53,4.83,-4.89,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.473,No,No,1.653,1.981,No,Yes,0.233,1.458
Carvone,7439,Indian Hemp,Cannabis indica,DOI: 10.1080/0972060X.2017.1281766,CC1=CCC(CC1=O)C(=C)C,C15H24O,220.35,0,1,0,68.27,12.53,3.15,3.56,3.94,3.67,3.68,-3.45,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.775,No,No,1.86,1.972,No,Yes,0.41,1.445
Caryophyllene,5281515,Indian Hemp,Cannabis indica,DOI: 10.1080/0972060X.2017.1281766,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.351,No,No,1.617,1.416,No,Yes,1.401,0.504
