Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
cannabitriol,11551959,Hemp,Cannabis sativa,PMID: 31223216,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C(C(CC3)(C)O)O)(C)C)O,C21H30O4,346.46,4,4,3,101.06,69.92,3.57,3.12,3.96,2.66,3.54,-3.87,High,Yes,No,No,No,Yes,No,0,0,0.55,0,No,0.05,No,No,2.572,1.199,No,No,0.689,0.774
Cannflavin A,10071695,Hemp,Cannabis sativa,PMID: 31223216,CC(=CCCC(=CCC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC(=C(C=C3)O)OC)O)C)C,C26H28O6,436.5,7,6,3,127.76,100.13,4.8,6.88,5.82,2.3,5.15,-6.79,Low,No,No,No,No,No,No,0,1,0.55,0,No,0.144,No,Yes,2.353,1.659,No,No,0.32,0.611
catechin,9064,Hemp,Cannabis sativa,PMID: 31223216,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
chrysin,5281607,Hemp,Cannabis sativa,PMID: 31223216,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,C15H10O4,254.24,1,4,2,71.97,70.67,2.27,3.52,2.87,1.08,2.55,-4.19,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.016,No,No,2.289,0.955,No,No,0.535,1.746
Isovitexin,162350,Hemp,Cannabis sativa,PMID: 31223216,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O10,432.38,3,10,7,106.61,181.05,1.94,0.21,-0.23,-2.02,0.05,-2.84,Low,No,No,No,No,No,No,1,0,0.55,0,No,0.649,No,No,2.558,5.37,No,No,0.285,5.18
kaempferol,5280863,Hemp,Cannabis sativa,PMID: 31223216,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.531,No,No,2.449,2.505,No,No,0.312,2.885
lariciresinol,332427,Hemp,Cannabis sativa,PMID: 31223216,COC1=C(C=CC(=C1)CC2COC(C2CO)C3=CC(=C(C=C3)O)OC)O,C20H24O6,360.4,6,6,3,97.09,88.38,3.16,2.4,2.33,1.17,2.38,-3.53,High,No,No,No,No,Yes,No,0,0,0.55,0,No,-0.099,No,Yes,2.0,2.226,No,No,0.427,1.316
luteolin,5280445,Hemp,Cannabis sativa,PMID: 31223216,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.86,2.53,2.28,-0.03,1.73,-3.71,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.455,2.409,No,No,0.326,3.169
pyrimethamine,4993,Hemp,Cannabis sativa,PMID: 31223216,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,C12H13ClN4,248.71,2,2,2,71.06,77.82,2.15,2.69,2.54,1.64,2.29,-3.47,High,Yes,Yes,Yes,No,No,Yes,0,0,0.55,0,No,0.113,No,No,2.912,1.45,No,No,0.456,0.919
quercetin,5280343,Hemp,Cannabis sativa,PMID: 31223216,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.24,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.23,-3.16,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.471,2.612,No,No,0.288,3.721
secoisolariciresinol,65373,Hemp,Cannabis sativa,PMID: 31223216,COC1=C(C=CC(=C1)CC(CO)C(CC2=CC(=C(C=C2)O)OC)CO)O,C20H26O6,362.42,9,6,4,99.28,99.38,2.98,2.52,2.12,1.56,2.5,-3.42,High,No,No,No,No,Yes,No,0,0,0.55,0,No,0.499,No,Yes,1.995,3.204,No,No,0.363,0.674
vitexin,5280441,Hemp,Cannabis sativa,PMID: 31223216,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O,C21H20O10,432.38,3,10,7,106.61,181.05,1.38,0.21,-0.23,-2.02,-0.07,-2.84,Low,No,No,No,No,No,No,1,0,0.55,0,No,0.577,No,No,2.595,4.635,No,No,0.285,4.897
