Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(E)-icos-5-ene,5364600,Capsicum,Capsicum frutescens,DOI: 10.1016/j.jtusci.2015.06.011,CCCCCCCCCCCCCCC=CCCCC,C20H40,280.53,16,0,0,97.78,0.0,5.52,10.12,7.82,7.23,7.7,-6.9,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,-0.073,No,Yes,1.574,1.194,No,Yes,0.989,-2.245
"10-Heneicosene (c,t)",5364553,Capsicum,Capsicum frutescens,DOI: 10.1016/j.jtusci.2015.06.011,CCCCCCCCCCC=CCCCCCCCCC,C21H42,294.56,17,0,0,102.59,0.0,5.81,10.66,8.21,7.46,8.08,-7.26,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,-0.115,No,Yes,1.603,1.163,No,Yes,0.8,-2.486
1-Docosene,74138,Capsicum,Capsicum frutescens,DOI: 10.1016/j.jtusci.2015.06.011,CCCCCCCCCCCCCCCCCCCCC=C,C22H44,308.58,19,0,0,107.39,0.0,6.02,12.2,8.6,7.67,8.67,-8.19,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,-0.109,No,Yes,1.611,1.098,No,Yes,0.614,-2.775
1-Dodecene,8183,Capsicum,Capsicum frutescens,DOI: 10.1016/j.jtusci.2015.06.011,CCCCCCCCCCC=C,C12H24,168.32,9,0,0,59.32,0.0,3.64,6.78,4.7,5.25,4.96,-4.56,Low,No,Yes,No,No,No,No,1,0,0.55,0,No,0.317,No,No,1.525,1.431,No,Yes,1.903,-0.331
1-Hexadecene,12395,Capsicum,Capsicum frutescens,DOI: 10.1016/j.jtusci.2015.06.011,CCCCCCCCCCCCCCC=C,C16H32,224.43,13,0,0,78.55,0.0,4.61,8.95,6.26,6.29,6.46,-6.01,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,0.131,No,No,1.484,1.289,No,Yes,1.841,-1.33
3-Carene,26049,Capsicum,Capsicum frutescens,DOI: 10.1016/j.jtusci.2015.06.011,CC1=CCC2C(C1)C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.38,3.0,4.29,3.42,-3.44,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.674,No,No,1.804,2.258,No,No,0.411,1.23
"9,12-Octadecadienal",5283383,Capsicum,Capsicum frutescens,DOI: 10.1016/j.jtusci.2015.06.011,CCCCCC=CCC=CCCCCCCCC=O,C18H32O,264.45,14,1,0,87.89,17.07,4.4,6.43,6.0,4.59,5.58,-4.61,High,No,Yes,No,Yes,No,No,1,1,0.55,0,No,-0.136,No,Yes,1.498,1.123,No,Yes,1.584,-1.424
Docosane,12405,Capsicum,Capsicum frutescens,DOI: 10.1016/j.jtusci.2015.06.011,CCCCCCCCCCCCCCCCCCCCCC,C22H46,310.6,19,0,0,107.87,0.0,6.17,11.53,8.83,7.82,8.64,-7.78,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,-0.101,No,Yes,1.637,1.117,No,Yes,0.607,-2.854
Eicosane,8222,Capsicum,Capsicum frutescens,DOI: 10.1016/j.jtusci.2015.06.011,CCCCCCCCCCCCCCCCCCCC,C20H42,282.55,17,0,0,98.25,0.0,5.64,10.45,8.05,7.38,7.9,-7.05,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,-0.014,No,Yes,1.586,1.177,No,Yes,0.926,-2.372
Ethyl palmitate,12366,Capsicum,Capsicum frutescens,DOI: 10.1016/j.jtusci.2015.06.011,CCCCCCCCCCCCCCCC(=O)OCC,C18H36O2,284.48,16,2,0,89.92,26.3,4.65,7.88,6.03,4.67,5.9,-5.51,High,No,Yes,No,No,No,No,1,1,0.55,0,No,0.199,No,No,1.664,3.019,No,Yes,1.837,-1.538
Hexadecane,11006,Capsicum,Capsicum frutescens,DOI: 10.1016/j.jtusci.2015.06.011,CCCCCCCCCCCCCCCC,C16H34,226.44,13,0,0,79.03,0.0,4.67,8.28,6.49,6.44,6.42,-5.6,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,0.141,No,No,1.521,1.307,No,Yes,1.825,-1.409
Linoleic Acid,5280450,Capsicum,Capsicum frutescens,DOI: 10.1016/j.jtusci.2015.06.011,CCCCCC=CCC=CCCCCCCCC(=O)O,C18H32O2,280.45,14,2,1,89.46,37.3,4.14,6.98,5.88,4.47,5.45,-5.05,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.827,No,No,1.429,3.187,Yes,Yes,0.701,-1.31
Methyl linoleate,5284421,Capsicum,Capsicum frutescens,DOI: 10.1016/j.jtusci.2015.06.011,CCCCCC=CCC=CCCCCCCCC(=O)OC,C19H34O2,294.47,15,2,0,93.78,26.3,4.61,6.82,5.97,4.7,5.69,-4.97,High,No,Yes,No,Yes,No,No,1,1,0.55,0,No,-0.019,No,No,1.617,3.004,No,Yes,1.603,-1.6
Methyl palmitoleate,643801,Capsicum,Capsicum frutescens,DOI: 10.1016/j.jtusci.2015.06.011,CCCCCCC=CCCCCCCCC(=O)OC,C17H32O2,268.43,14,2,0,84.64,26.3,4.53,6.37,5.42,4.33,5.26,-4.59,High,Yes,Yes,No,No,No,No,1,0,0.55,0,No,0.125,No,No,1.608,2.926,No,Yes,2.005,-1.245
Neorustmicin B,6444104,Capsicum,Capsicum frutescens,DOI: 10.1016/j.jtusci.2015.06.011,CCC1C(C=C(CC(CC2(CC(CO2)(C(=O)C(C(=O)O1)C)O)OC)C)C)(C)O,C21H34O7,398.49,2,7,2,104.45,102.29,2.64,1.91,2.13,0.99,2.02,-3.38,High,No,No,No,No,No,No,0,0,0.55,0,No,0.687,No,No,2.391,1.844,No,No,0.285,1.975
Octadecane,11635,Capsicum,Capsicum frutescens,DOI: 10.1016/j.jtusci.2015.06.011,CCCCCCCCCCCCCCCCCC,C18H38,254.49,15,0,0,88.64,0.0,5.23,9.37,7.27,6.92,7.18,-6.33,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,0.066,No,Yes,1.544,1.241,No,Yes,1.37,-1.89
Octylbenzene,16607,Capsicum,Capsicum frutescens,DOI: 10.1016/j.jtusci.2015.06.011,CCCCCCCCC1=CC=CC=C1,C14H22,190.32,7,0,0,65.06,0.0,3.47,6.3,4.59,5.58,4.95,-4.84,Low,No,No,No,No,Yes,No,1,0,0.55,0,Yes,0.916,No,No,1.743,1.43,No,Yes,2.274,-0.476
Palmitic Acid,985,Capsicum,Capsicum frutescens,DOI: 10.1016/j.jtusci.2015.06.011,CCCCCCCCCCCCCCCC(=O)O,C16H32O2,256.42,14,2,1,80.8,37.3,3.85,7.17,5.55,4.19,5.2,-5.02,High,Yes,Yes,No,Yes,No,No,1,0,0.85,0,No,-0.708,No,No,1.44,3.181,No,Yes,0.84,-1.083
Tetracosane,12592,Capsicum,Capsicum frutescens,DOI: 10.1016/j.jtusci.2015.06.011,CCCCCCCCCCCCCCCCCCCCCCCC,C24H50,338.65,21,0,0,117.48,0.0,6.52,12.62,9.61,8.25,9.35,-8.5,Low,No,Yes,No,No,No,No,1,2,0.55,0,No,-0.185,No,Yes,1.69,1.057,No,Yes,0.424,-3.335
