Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
1-pentatriacontanol,558047,Karonda,Carissa carandas L.,PMID: 24877106,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,C35H72O,508.95,33,1,1,171.52,20.23,8.87,17.4,12.87,8.39,12.32,-11.78,Low,No,No,No,No,No,No,2,4,0.17,0,No,-0.118,No,Yes,2.042,0.56,No,Yes,0.285,-5.505
2-acetyl phenol,11092,Karonda,Carissa carandas L.,PMID: 24877106,CC(=O)C1=C(C=C(C=C1)OC)O,C9H10O3,166.17,2,3,1,45.15,46.53,2.06,1.98,1.6,0.83,1.63,-2.36,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,1.227,No,No,1.871,2.024,No,No,0.164,1.834
4-hydroxybenzoic acid,135,Karonda,Carissa carandas L.,PMID: 24877106,C1=CC(=CC=C1C(=O)O)O,C7H6O3,138.12,1,3,2,35.42,57.53,0.85,1.58,1.09,0.99,1.05,-2.07,High,Yes,No,No,No,No,No,0,3,0.85,0,No,0.846,No,No,2.255,2.483,No,No,0.268,1.812
Alpha-amyrin,73170,Karonda,Carissa carandas L.,PMID: 24877106,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C,C30H50O,426.72,0,1,1,135.14,20.23,4.77,9.01,8.02,6.92,7.05,-8.16,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.571,No,Yes,2.467,0.856,No,No,0.384,-1.309
Beta-amyrin,73145,Karonda,Carissa carandas L.,PMID: 24877106,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C,C30H50O,426.72,0,1,1,134.88,20.23,4.74,9.15,8.17,6.92,7.18,-8.25,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.56,No,Yes,2.478,0.873,No,No,0.383,-1.345
Beta-caryophyllene,5281515,Karonda,Carissa carandas L.,PMID: 24877106,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.351,No,No,1.617,1.416,No,Yes,1.401,0.504
Beta-sitosterol,222284,Karonda,Carissa carandas L.,PMID: 24877106,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Beta-sitosterol glycoside,5742590,Karonda,Carissa carandas L.,PMID: 24877106,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,C35H60O6,576.85,9,6,4,165.61,99.38,4.98,7.74,5.85,3.96,5.51,-7.7,Low,No,No,No,No,No,No,1,4,0.55,0,No,-0.887,No,No,2.571,3.293,No,No,0.285,-0.811
Betulinic acid,64971,Karonda,Carissa carandas L.,PMID: 24877106,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,C30H48O3,456.7,2,3,2,136.91,57.53,3.79,8.21,7.09,5.82,6.13,-7.71,Low,No,No,No,Yes,No,No,1,3,0.85,0,No,0.144,No,No,2.256,2.206,Yes,No,0.285,-1.174
Carinol,586373,Karonda,Carissa carandas L.,PMID: 24877106,COC1=C(C=CC(=C1)CC(CO)C(CC2=CC(=C(C=C2)O)OC)(CO)O)O,C20H26O7,378.42,9,7,5,100.48,119.61,2.22,1.46,1.23,0.76,1.65,-2.84,High,No,No,No,No,Yes,No,0,0,0.55,0,No,0.718,No,No,2.487,3.812,No,No,0.288,1.919
