Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Benzyl isothiocyanate,2346,Amita,Carrica papaya,PMID: 32367410,C1=CC=C(C=C1)CN=C=S,C8H7NS,149.21,2,1,0,45.38,44.45,2.19,3.16,2.14,3.28,2.91,-3.07,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.814,No,No,2.254,1.777,No,Yes,1.059,1.281
Carpaine,442630,Amita,Carrica papaya,PMID: 35424860,CC1C2CCC(N1)CCCCCCCC(=O)OC3CCC(CCCCCCCC(=O)O2)NC3C,C28H50N2O4,478.71,0,6,2,146.37,76.66,4.71,6.29,4.8,3.75,4.64,-6.77,High,No,No,No,No,No,No,0,2,0.55,0,No,-0.685,No,No,2.968,-1.167,No,No,0.285,1.127
Clitorin,11592917,Amita,Carrica papaya,PMID: 35424860,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)OC6C(C(C(C(O6)C)O)O)O)O)O)O)O)O,C33H40O19,740.66,8,19,11,170.58,308.12,3.13,-2.02,-2.54,-4.77,-1.87,-2.86,Low,No,No,No,No,No,No,3,4,0.17,0,No,0.45,No,Yes,2.476,4.169,No,No,0.285,11.279
Isoquercetin,5280804,Amita,Carrica papaya,PMID: 35424860,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O12,464.38,4,12,8,110.16,210.51,2.11,0.36,-0.54,-2.59,-0.25,-3.04,Low,No,No,No,No,No,No,2,1,0.17,1,No,0.569,No,Yes,2.541,4.417,No,No,0.285,8.061
Kaempferol,5280863,Amita,Carrica papaya,PMID: 32367410,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.531,No,No,2.449,2.505,No,No,0.312,2.885
kaempferol 3-O-neohesperidoside,5318761,Amita,Carrica papaya,PMID: 35424860,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)CO)O)O)O)O)O,C27H30O15,594.52,6,15,9,139.36,249.2,0.78,-0.31,-1.39,-3.43,-1.2,-3.22,Low,No,No,No,No,No,No,3,4,0.17,0,No,0.471,No,Yes,2.488,4.246,No,No,0.285,5.176
Loliolide,100332,Amita,Carrica papaya,PMID: 35424860,CC1(CC(CC2(C1=CC(=O)O2)C)O)C,C11H16O3,196.24,0,3,1,52.51,46.53,1.88,1.0,1.41,1.49,1.53,-1.69,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.783,No,No,1.94,2.412,No,No,0.037,2.224
Lycopene,446925,Amita,Carrica papaya,PMID: 32367410,CC(=CCCC(=CC=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C)C)C)C)C,C40H56,536.87,16,0,0,188.23,0.0,8.53,15.56,12.94,9.21,11.9,-11.92,Low,No,No,No,No,No,No,2,4,0.17,0,No,-0.613,No,Yes,2.174,0.751,No,No,0.289,-4.868
Methyl gallate,7428,Amita,Carrica papaya,PMID: 35424860,COC(=O)C1=CC(=C(C(=C1)O)O)O,C8H8O5,184.15,2,5,3,43.79,86.99,0.97,0.86,0.59,0.18,0.57,-1.73,High,No,No,No,No,No,No,0,0,0.55,1,Yes,-0.296,No,No,1.898,2.432,No,No,0.195,2.871
Nicotiflorin,5318767,Amita,Carrica papaya,PMID: 35424860,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O,C27H30O15,594.52,6,15,9,139.36,249.2,2.79,0.02,-1.39,-3.43,-0.73,-3.42,Low,No,No,No,No,No,No,3,4,0.17,0,No,0.481,No,Yes,2.513,3.569,No,No,0.285,6.252
p-coumaric acid,637542,Amita,Carrica papaya,PMID: 32367410,C1=CC(=CC=C1C=CC(=O)O)O,C9H8O3,164.16,2,3,2,45.13,57.53,0.95,1.46,1.38,1.28,1.26,-2.02,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.111,No,No,2.155,2.534,No,No,0.319,1.607
Protocatechuic acid,72,Amita,Carrica papaya,PMID: 32367410,C1=CC(=C(C=C1C(=O)O)O)O,C7H6O4,154.12,1,4,3,37.45,77.76,0.66,1.15,0.8,0.4,0.65,-1.86,High,No,No,No,No,No,Yes,0,3,0.56,1,No,0.814,No,No,2.423,2.021,No,No,0.273,2.451
Quercetin,5280343,Amita,Carrica papaya,PMID: 32367410,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.24,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.23,-3.16,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.471,2.612,No,No,0.288,3.721
Rutin,5280805,Amita,Carrica papaya,PMID: 35424860,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,C27H30O16,610.52,6,16,10,141.38,269.43,1.58,-0.33,-1.69,-3.89,-1.29,-3.3,Low,No,No,No,No,No,No,3,4,0.17,1,No,0.452,No,Yes,2.491,3.673,No,No,0.285,7.677
Staurosporine,44259,Amita,Carrica papaya,PMID: 35424860,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,C28H26N4O3,466.53,2,4,2,139.39,69.45,3.29,3.24,3.39,2.6,3.11,-5.06,High,Yes,No,Yes,No,Yes,Yes,0,1,0.55,0,Yes,0.271,No,Yes,2.464,0.822,Yes,No,0.285,-0.087
