Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
alatinone,3220,Khorpat,Casia alata,PMID: 38543166,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,C15H10O5,270.24,0,5,3,70.78,94.83,1.8,2.72,1.89,0.36,1.87,-3.67,High,No,Yes,No,No,No,Yes,0,0,0.55,1,No,0.158,No,No,2.116,2.074,No,No,0.536,2.057
aloeemodin,10207,Khorpat,Casia alata,PMID: 38543166,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO,C15H10O5,270.24,1,5,3,69.92,94.83,1.96,1.82,1.21,0.1,1.5,-3.04,High,No,Yes,No,No,No,Yes,0,0,0.55,1,Yes,-0.089,No,No,2.329,1.878,No,No,0.563,2.337
campesterol,173183,Khorpat,Casia alata,PMID: 38543166,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C28H48O,400.68,5,1,1,128.42,20.23,4.92,8.8,7.63,6.54,6.9,-7.54,Low,No,No,No,No,No,No,1,2,0.55,0,No,-0.458,No,Yes,2.08,0.892,No,No,0.631,-1.94
glycosides,637579,Khorpat,Casia alata,PMID: 38543166,CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O,C29H44O12,584.65,4,12,8,140.66,206.6,2.73,-1.7,-1.51,-1.11,-0.51,-2.13,Low,No,No,No,No,No,No,3,4,0.17,0,No,-0.64,No,No,2.641,3.44,No,No,0.285,7.897
kaempferol,5280863,Khorpat,Casia alata,PMID: 38543166,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.531,No,No,2.449,2.505,No,No,0.312,2.885
linoleic acid,5280450,Khorpat,Casia alata,PMID: 38543166,CCCCCC=CCC=CCCCCCCCC(=O)O,C18H32O2,280.45,14,2,1,89.46,37.3,4.14,6.98,5.88,4.47,5.45,-5.05,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.827,No,No,1.429,3.187,Yes,Yes,0.701,-1.31
oleic acid,445639,Khorpat,Casia alata,PMID: 38543166,CCCCCCCCC=CCCCCCCCC(=O)O,C18H34O2,282.46,15,2,1,89.94,37.3,4.27,7.64,6.11,4.57,5.71,-5.41,High,No,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.81,No,No,1.417,3.259,No,Yes,0.676,-1.438
palmitic acid,985,Khorpat,Casia alata,PMID: 38543166,CCCCCCCCCCCCCCCC(=O)O,C16H32O2,256.42,14,2,1,80.8,37.3,3.85,7.17,5.55,4.19,5.2,-5.02,High,Yes,Yes,No,Yes,No,No,1,0,0.85,0,No,-0.708,No,No,1.44,3.181,No,Yes,0.84,-1.083
rhein,10168,Khorpat,Casia alata,PMID: 38543166,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)C(=O)O,C15H8O6,284.22,1,6,3,70.75,111.9,1.28,2.23,1.57,0.29,1.47,-3.36,High,No,No,No,No,No,No,0,0,0.56,1,No,0.716,No,No,2.533,2.208,No,No,0.285,2.547
sitosterol,222284,Khorpat,Casia alata,PMID: 38543166,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
stigmasterol,5280794,Khorpat,Casia alata,PMID: 38543166,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H48O,412.69,5,1,1,132.75,20.23,5.01,8.56,7.8,6.62,6.97,-7.46,Low,No,No,No,Yes,No,No,1,3,0.55,0,No,-0.664,No,Yes,2.54,0.872,No,No,0.433,-1.675
