Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
2-Methoxy-4-vinylphenol ,332,Channa,Cassia angastifolia,DOI: 10.5897/JPP2015.0367,COC1=C(C=CC(=C1)C=C)O,C9H10O2,150.17,2,2,1,45.05,29.46,2.14,2.81,1.93,1.71,2.14,-2.81,High,Yes,Yes,No,No,No,No,0,1,0.55,0,Yes,1.067,No,No,2.076,2.019,No,Yes,0.071,1.957
5-Hydroxymethylfurfural,237332,Channa,Cassia angastifolia,DOI: 10.5897/JPP2015.0367,C1=C(OC(=C1)C=O)CO,C6H6O3,126.11,2,3,1,30.22,50.44,0.91,-0.58,0.43,-1.06,0.19,-0.54,High,No,No,No,No,No,No,0,3,0.55,0,No,0.77,No,No,2.283,2.488,No,No,-0.767,2.836
Anethole,637563,Channa,Cassia angastifolia,DOI: 10.5897/JPP2015.0367,CC=CC1=CC=C(C=C1)OC,C10H12O,148.2,2,1,0,47.83,9.23,2.55,3.3,2.62,2.67,2.79,-3.11,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,0.824,No,No,1.798,2.217,No,Yes,0.807,0.869
Beta-curcumene,6428461,Channa,Cassia angastifolia,DOI: 10.5897/JPP2015.0367,CC1=CCC(=CC1)C(C)CCC=C(C)C,C15H24,204.35,4,0,0,70.68,0.0,3.7,6.47,5.04,4.53,4.85,-4.92,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.418,No,No,1.642,1.347,No,Yes,1.943,-0.065
Campesterol ,173183,Channa,Cassia angastifolia,DOI: 10.5897/JPP2015.0367,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C28H48O,400.68,5,1,1,128.42,20.23,4.92,8.8,7.63,6.54,6.9,-7.54,Low,No,No,No,No,No,No,1,2,0.55,0,No,-0.458,No,Yes,2.08,0.892,No,No,0.631,-1.94
Caryophyllene,5281515,Channa,Cassia angastifolia,DOI: 10.5897/JPP2015.0367,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.351,No,No,1.617,1.416,No,Yes,1.401,0.504
Diisooctyl phthalate,33934,Channa,Cassia angastifolia,DOI: 10.5897/JPP2015.0367,CC(C)CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC(C)C,C24H38O4,390.56,16,4,0,116.3,52.6,5.42,8.41,6.43,5.24,6.5,-6.66,High,No,No,No,No,No,No,1,1,0.55,0,No,1.112,No,Yes,1.249,2.695,No,No,0.664,-3.429
E-9-Tetradecenoic acid ,5312402,Channa,Cassia angastifolia,DOI: 10.5897/JPP2015.0367,CCCCC=CCCCCCCCC(=O)O,C14H26O2,226.36,11,2,1,70.71,37.3,3.39,5.5,4.55,3.58,4.24,-3.98,High,Yes,Yes,No,Yes,No,No,0,0,0.85,0,No,-0.547,No,No,1.482,2.962,No,Yes,0.987,-0.474
Estragole,8815,Channa,Cassia angastifolia,DOI: 10.5897/JPP2015.0367,COC1=CC=C(C=C1)CC=C,C10H12O,148.2,3,1,0,47.04,9.23,2.47,3.37,2.42,2.67,2.78,-3.09,High,Yes,Yes,No,No,No,No,0,1,0.55,0,Yes,1.057,No,No,1.899,1.976,No,Yes,0.417,1.398
Phytol,5280435,Channa,Cassia angastifolia,DOI: 10.5897/JPP2015.0367,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C,C20H40O,296.53,13,1,1,98.94,20.23,4.71,8.19,6.36,5.25,6.22,-5.98,Low,No,No,No,Yes,No,No,1,1,0.55,0,No,0.05,No,Yes,1.607,1.043,No,Yes,1.884,-1.504
