Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
 3-Eicosene,5365051,Bonmadelua,Cassia sophera L.,"Kharat et al., 2013",CCCCCCCCCCCCCCCCC=CCC,C20H40,280.53,16,0,0,97.78,0.0,5.58,10.12,7.82,7.23,7.71,-6.9,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,-0.073,No,Yes,1.574,1.194,No,Yes,0.989,-2.245
"1, 2, 4-Butanetriol Triacetate",12731064,Bonmadelua,Cassia sophera L.,"Kharat et al., 2013",CC(=O)OCCC(COC(=O)C)OC(=O)C,C10H16O6,232.23,9,6,0,54.04,78.9,2.02,0.32,0.43,0.63,0.89,-0.89,High,No,No,No,No,No,No,0,0,0.55,0,No,0.768,No,No,2.426,0.938,No,No,-0.61,2.872
"1, 2-Benzenedicarboxylic acid",1017,Bonmadelua,Cassia sophera L.,"Kharat et al., 2013",C1=CC=C(C(=C1)C(=O)O)C(=O)O,C8H6O4,166.13,2,4,2,40.36,74.6,0.6,0.73,1.08,1.2,0.84,-1.57,High,No,No,No,No,No,No,0,1,0.85,0,No,0.582,No,No,1.449,2.165,No,No,0.281,2.378
10-Heneicosene,5364553,Bonmadelua,Cassia sophera L.,"Kharat et al., 2013",CCCCCCCCCCC=CCCCCCCCCC,C21H42,294.56,17,0,0,102.59,0.0,5.81,10.66,8.21,7.46,8.08,-7.26,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,-0.115,No,Yes,1.603,1.163,No,Yes,0.8,-2.486
2-Heptyn-1-ol,535111,Bonmadelua,Cassia sophera L.,DOI: 10.1016/j.arabjc.2013.07.045,CCCCC#CCO,C7H12O,112.17,2,1,1,35.09,20.23,2.12,1.68,1.25,1.74,1.64,-1.46,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.923,No,No,1.574,1.647,No,Yes,-0.447,1.852
4-Methylhexanol,98346,Bonmadelua,Cassia sophera L.,DOI: 10.1016/j.arabjc.2013.07.045,CCC(C)CCCO,C7H16O,116.2,4,1,1,36.92,20.23,2.2,2.13,1.81,1.89,1.91,-1.64,High,Yes,No,No,No,No,No,0,2,0.55,0,No,1.028,No,No,1.821,1.83,No,Yes,-0.447,1.635
7-Hexadecene,520743,Bonmadelua,Cassia sophera L.,"Kharat et al., 2013",CCCCCCCCC=CCCCCCC,C16H32,224.43,12,0,0,78.55,0.0,4.66,7.95,6.26,6.29,6.24,-5.45,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,0.087,No,No,1.492,1.324,No,Yes,1.885,-1.281
Anthracene,8418,Bonmadelua,Cassia sophera L.,DOI: 10.1016/j.arabjc.2013.07.045,C1=CC=C2C=C3C=CC=CC3=CC2=C1,C14H10,178.23,0,0,0,61.45,0.0,2.41,4.44,3.99,5.17,4.02,-4.48,Low,Yes,Yes,Yes,No,No,No,1,0,0.55,0,Yes,0.535,No,No,1.756,1.304,No,Yes,1.36,-0.273
anthraquinone ,6780,Bonmadelua,Cassia sophera L.,"Kharat et al., 2013",C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,C14H8O2,208.21,0,2,0,59.75,34.14,1.94,3.39,2.46,1.86,2.64,-3.82,High,Yes,Yes,Yes,No,No,No,0,0,0.55,1,Yes,0.291,No,No,1.979,2.219,No,Yes,1.29,1.032
ascorbic acid,54670067,Bonmadelua,Cassia sophera L.,"Kharat et al., 2013",C(C(C1C(=C(C(=O)O1)O)O)O)O,C6H8O6,176.12,2,6,4,35.12,107.22,0.39,-1.64,-1.41,-2.6,-1.28,0.23,High,No,No,No,No,No,No,0,2,0.56,0,No,1.598,No,No,1.063,3.186,No,No,0.285,4.386
Azulene,9231,Bonmadelua,Cassia sophera L.,DOI: 10.1016/j.arabjc.2013.07.045,C1=CC=C2C=CC=C2C=C1,C10H8,128.17,0,0,0,43.06,0.0,2.17,3.2,2.79,3.91,3.04,-3.39,Low,Yes,Yes,No,No,No,No,0,2,0.55,0,No,0.507,No,No,1.66,2.271,No,Yes,0.347,1.425
Benzoylnitromethane,94833,Bonmadelua,Cassia sophera L.,DOI: 10.1016/j.arabjc.2013.07.045,C1=CC=C(C=C1)C(=O)C[N+](=O)[O-],C8H7NO3,165.15,3,3,0,44.74,62.89,0.8,1.6,1.15,0.32,0.75,-2.04,High,Yes,Yes,No,No,No,No,0,1,0.55,0,Yes,0.877,No,No,2.131,1.462,No,Yes,0.483,1.104
Beta-sitosterol,222284,Bonmadelua,Cassia sophera L.,"Kharat et al., 2013",CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Butanedioic Acid,1110,Bonmadelua,Cassia sophera L.,"Kharat et al., 2013",C(CC(=O)O)C(=O)O,C4H6O4,118.09,3,4,2,24.89,74.6,0.32,-0.59,-0.06,-0.54,-0.3,0.0,High,No,No,No,No,No,No,0,3,0.85,0,No,0.641,No,No,1.618,3.052,No,No,-0.065,2.829
Butylcyclopentane,16269,Bonmadelua,Cassia sophera L.,DOI: 10.1016/j.arabjc.2013.07.045,CCCCC1CCCC1,C9H18,126.24,3,0,0,43.26,0.0,2.82,4.59,3.37,4.13,3.61,-3.32,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.416,No,No,1.61,2.476,No,No,0.592,0.638
Cysteine,5862,Bonmadelua,Cassia sophera L.,DOI: 10.1016/j.arabjc.2013.07.045,C(C(C(=O)O)N)S,C3H7NO2S,121.16,2,3,2,28.94,102.12,0.37,-2.49,-0.67,-3.06,-1.31,1.11,High,No,No,No,No,No,No,0,4,0.55,0,No,1.133,No,No,1.982,2.6,No,No,0.149,2.992
Decanoic acid,2969,Bonmadelua,Cassia sophera L.,DOI: 10.1016/j.arabjc.2013.07.045,CCCCCCCCCC(=O)O,C10H20O2,172.26,8,2,1,51.96,37.3,2.5,4.09,3.21,2.58,3.0,-2.96,High,Yes,No,No,No,No,No,0,0,0.85,0,No,-0.059,No,No,1.533,2.75,No,Yes,0.701,0.48
d-glucose,5793,Bonmadelua,Cassia sophera L.,DOI: 10.1016/j.arabjc.2013.07.045,C(C1C(C(C(C(O1)O)O)O)O)O,C6H12O6,180.16,1,6,5,35.74,110.38,0.24,-3.24,-3.22,-2.75,-2.26,1.15,Low,No,No,No,No,No,No,0,2,0.55,0,No,1.896,No,No,1.214,3.897,No,No,0.285,5.083
Dicyclohexyl ketone,8403,Bonmadelua,Cassia sophera L.,DOI: 10.1016/j.arabjc.2013.07.045,C1CCC(CC1)C(=O)C2CCCCC2,C13H22O,194.31,2,1,0,60.58,17.07,2.88,4.11,3.72,3.15,3.5,-3.5,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.164,No,No,1.578,1.482,No,Yes,1.443,0.264
Diethyl phthalate,6781,Bonmadelua,Cassia sophera L.,DOI: 10.1016/j.arabjc.2013.07.045,CCOC(=O)C1=CC=CC=C1C(=O)OCC,C12H14O4,222.24,6,4,0,58.61,52.6,2.26,2.42,2.04,2.39,2.3,-2.62,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,1.37,No,No,2.09,2.648,No,No,0.656,1.441
dihydroascorbic acid,13304188,Bonmadelua,Cassia sophera L.,"Kharat et al., 2013",C(C(C1C(C(C(=O)O1)O)O)O)O,C6H10O6,178.14,2,6,4,34.77,107.22,0.11,-2.03,-3.01,-2.49,-1.79,0.47,Low,No,No,No,No,No,No,0,2,0.55,0,No,1.663,No,No,0.804,3.29,No,No,0.285,4.766
