Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"2,3-Dihydroxybenzoic acid",19,Madagascar Periwinkle,Catharanthus roseus,DOI: 10.1007/s11101-006-9039-8,C1=CC(=C(C(=C1)O)O)C(=O)O,C7H6O4,154.12,1,4,3,37.45,77.76,1.09,1.2,0.8,0.4,0.75,-1.89,High,No,No,No,No,No,Yes,0,3,0.56,1,No,0.787,No,No,2.267,1.832,No,No,0.285,2.734
Benzoic Acid,243,Madagascar Periwinkle,Catharanthus roseus,DOI: 10.1007/s11101-006-9039-8,C1=CC=C(C=C1)C(=O)O,C7H6O2,122.12,1,2,1,33.4,37.3,1.11,1.87,1.38,1.6,1.44,-2.2,High,Yes,No,No,No,No,No,0,3,0.85,0,No,0.612,No,No,2.17,2.637,No,No,0.087,1.838
Chlorogenic Acid,1794427,Madagascar Periwinkle,Catharanthus roseus,DOI: 10.1007/s11101-006-9039-8,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Cinnamic Acid,444539,Madagascar Periwinkle,Catharanthus roseus,DOI: 10.1007/s11101-006-9039-8,C1=CC=C(C=C1)C=CC(=O)O,C9H8O2,148.16,2,2,1,43.11,37.3,1.55,2.13,1.68,1.9,1.79,-2.37,High,Yes,No,No,No,No,No,0,2,0.85,0,No,1.11,No,No,2.094,2.651,No,No,0.247,1.719
Ferulic acid,445858,Madagascar Periwinkle,Catharanthus roseus,DOI: 10.1007/s11101-006-9039-8,COC1=C(C=CC(=C1)C=CC(=O)O)O,C10H10O4,194.18,3,4,2,51.63,66.76,1.62,1.51,1.39,1.0,1.36,-2.11,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.082,No,No,2.282,2.065,No,No,0.271,1.825
Gallic Acid,370,Madagascar Periwinkle,Catharanthus roseus,DOI: 10.1007/s11101-006-9039-8,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,No,0.7,No,No,2.218,3.06,No,No,0.285,3.188
Hirsutidin,441694,Madagascar Periwinkle,Catharanthus roseus,DOI: 10.1007/s11101-006-9039-8,COC1=CC(=C2C=C(C(=[O+]C2=C1)C3=CC(=C(C(=C3)OC)O)OC)O)O,C18H17O7+,345.32,4,7,3,91.6,101.52,-0.96,1.39,3.52,0.52,1.16,-3.07,High,No,Yes,No,No,No,No,0,0,0.55,0,No,0.657,No,No,2.32,1.68,No,No,0.341,1.626
Hydroxytyrosol,82755,Madagascar Periwinkle,Catharanthus roseus,DOI: 10.1007/s11101-006-9039-8,C1=CC(=C(C=C1CCO)O)O,C8H10O3,154.16,2,3,3,41.42,60.69,1.28,-0.72,0.63,0.6,0.56,-0.61,High,No,No,No,No,No,No,0,1,0.55,1,Yes,1.148,No,No,1.858,1.911,No,No,-0.128,2.748
Kaempferol,5280863,Madagascar Periwinkle,Catharanthus roseus,DOI: 10.1007/s11101-006-9039-8,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.531,No,No,2.449,2.505,No,No,0.312,2.885
Malvidin,159287,Madagascar Periwinkle,Catharanthus roseus,DOI: 10.1007/s11101-006-9039-8,COC1=CC(=CC(=C1O)OC)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O,C17H15O7+,331.3,3,7,4,87.13,112.52,-1.96,2.24,3.22,0.28,0.92,-3.6,High,No,Yes,No,No,No,No,0,0,0.55,0,No,0.554,No,No,2.346,2.412,No,No,0.327,1.224
