Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"1,3-Dicaffeoylquinic acid",6474640,Gotu Kola,Centella asiatica,PMID: 31736679,C1C(C(C(CC1(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O)O,C25H24O12,516.45,9,12,7,126.9,211.28,1.11,1.52,0.81,-0.35,0.75,-3.65,Low,No,No,No,No,No,No,3,1,0.11,1,No,0.367,No,No,2.567,3.459,No,No,0.285,4.412
"1,5-Dicaffeoylquinic acid",5281769,Gotu Kola,Centella asiatica,PMID: 31736679,C1C(C(C(CC1(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O)O,C25H24O12,516.45,9,12,7,126.9,211.28,1.11,1.52,0.81,-0.35,0.75,-3.65,Low,No,No,No,No,No,No,3,1,0.11,1,No,0.367,No,No,2.567,3.459,No,No,0.285,4.412
4-Allylphenol,68148,Gotu Kola,Centella asiatica,PMID: 31736679,C=CCC1=CC=C(C=C1)O,C9H10O,134.18,2,1,1,42.57,20.23,1.85,2.85,2.12,2.37,2.33,-2.78,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,0.585,No,No,2.176,2.057,No,Yes,0.18,1.289
Arjunolic acid,73641,Gotu Kola,Centella asiatica,PMID: 31736679,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1)C)C(=O)O)C,C30H48O5,488.7,2,5,4,138.98,97.99,3.23,5.84,5.18,4.14,4.55,-6.42,High,No,No,No,No,No,No,0,3,0.56,0,No,0.081,No,No,2.594,0.553,No,No,0.285,1.07
Asiatic Acid,119034,Gotu Kola,Centella asiatica,PMID: 31736679,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1C)C)C(=O)O,C30H48O5,488.7,2,5,4,139.24,97.99,3.2,5.7,5.03,4.14,4.41,-6.33,High,No,No,No,No,No,No,0,3,0.56,0,No,0.078,No,No,2.592,0.575,No,No,0.285,1.106
Beta-Sitosterol,222284,Gotu Kola,Centella asiatica,PMID: 31736679,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Bicyclogermacrene,13894537,Gotu Kola,Centella asiatica,PMID: 31736679,CC1=CCCC(=CC2C(C2(C)C)CC1)C,C15H24,204.35,0,0,0,68.78,0.0,3.34,4.14,4.73,4.63,4.15,-3.72,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.334,No,No,1.646,1.386,No,Yes,1.338,0.595
Campesterol,173183,Gotu Kola,Centella asiatica,PMID: 31736679,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C28H48O,400.68,5,1,1,128.42,20.23,4.92,8.8,7.63,6.54,6.9,-7.54,Low,No,No,No,No,No,No,1,2,0.55,0,No,-0.458,No,Yes,2.08,0.892,No,No,0.631,-1.94
Caryophyllene,5281515,Gotu Kola,Centella asiatica,PMID: 31736679,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.351,No,No,1.617,1.416,No,Yes,1.401,0.504
Centellasapogenol A,73196815,Gotu Kola,Centella asiatica,PMID: 31736679,CC1(CCC2(CCC3(C(=C2C1)CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C)C(=O)O)C,C30H48O5,488.7,2,5,4,138.98,97.99,1.86,5.57,5.32,4.14,4.33,-6.25,High,No,No,No,No,No,No,0,3,0.56,0,No,0.037,No,No,2.45,0.573,No,No,0.285,0.428
chebuloside II,23844056,Gotu Kola,Centella asiatica,PMID: 31736679,CC1(CCC2(CCC3(C(=CCC4C3(CC(C5C4(CC(C(C5(C)CO)O)O)C)O)C)C2C1)C)C(=O)OC6C(C(C(C(O6)CO)O)O)O)C,C36H58O11,666.84,5,11,8,172.11,197.37,3.54,2.69,1.41,0.94,2.0,-5.34,Low,No,No,No,No,No,No,3,3,0.17,0,No,-1.703,No,Yes,3.026,3.874,No,No,0.285,4.38
Chlorogenic Acid,1794427,Gotu Kola,Centella asiatica,PMID: 31736679,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Cianidanol,9064,Gotu Kola,Centella asiatica,PMID: 31736679,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
Corosolic acid,6918774,Gotu Kola,Centella asiatica,PMID: 31736679,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1C)C)C(=O)O,C30H48O4,472.7,1,4,3,138.08,77.76,3.39,6.37,6.06,4.97,5.07,-6.72,High,No,No,No,No,No,No,1,3,0.56,0,No,0.124,No,No,2.513,1.858,Yes,No,0.285,0.276
Cryptochlorogenic acid,9798666,Gotu Kola,Centella asiatica,PMID: 31736679,C1C(C(C(CC1(C(=O)O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,1.23,-0.42,-0.75,-1.05,-0.32,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.002,No,No,2.073,3.463,No,No,0.285,5.803
Epicatechin,72276,Gotu Kola,Centella asiatica,PMID: 31736679,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
epi-Maslinic acid,25564831,Gotu Kola,Centella asiatica,PMID: 31736679,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1)C)C(=O)O)C,C30H48O4,472.7,1,4,3,137.82,77.76,3.55,6.51,6.2,4.97,5.24,-6.81,High,No,No,No,No,No,No,1,3,0.56,0,No,0.127,No,No,2.516,1.889,Yes,No,0.285,0.24
Eugenol acetate,7136,Gotu Kola,Centella asiatica,PMID: 31736679,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,C12H14O3,206.24,5,3,0,58.54,35.53,2.73,2.3,2.35,2.43,2.55,-2.53,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,1.102,No,No,2.198,2.008,No,Yes,1.003,1.419
Germacrene B,5281519,Gotu Kola,Centella asiatica,PMID: 31736679,CC1=CCCC(=CCC(=C(C)C)CC1)C,C15H24,204.35,0,0,0,70.68,0.0,3.27,5.77,5.18,4.53,4.6,-4.74,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.494,No,No,1.73,1.416,No,Yes,1.478,0.511
Humulene,5281520,Gotu Kola,Centella asiatica,PMID: 31736679,CC1=CCC(C=CCC(=CCC1)C)(C)C,C15H24,204.35,0,0,0,70.42,0.0,3.27,4.55,5.04,4.53,4.26,-3.97,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.551,No,No,1.766,1.336,No,Yes,1.451,0.716
Kaempferol,5280863,Gotu Kola,Centella asiatica,PMID: 31736679,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.531,No,No,2.449,2.505,No,No,0.312,2.885
Madecassic Acid,73412,Gotu Kola,Centella asiatica,PMID: 31736679,CC1CCC2(CCC3(C(=CCC4C3(CC(C5C4(CC(C(C5(C)CO)O)O)C)O)C)C2C1C)C)C(=O)O,C30H48O6,504.7,2,6,5,140.4,118.22,3.2,4.36,4.0,3.33,3.59,-5.58,High,No,No,No,No,No,No,1,3,0.56,0,No,0.085,No,No,2.619,2.672,No,No,0.285,2.123
