Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"3,4-Dihydroxybenzoicacid",72,Chickpea,Cicer arietinum L,DOI: 10.1002/fsn3.3056,C1=CC(=C(C=C1C(=O)O)O)O,C7H6O4,154.12,1,4,3,37.45,77.76,0.66,1.15,0.8,0.4,0.65,-1.86,High,No,No,No,No,No,Yes,0,3,0.56,1,No,1.478,No,No,1.953,3.005,No,No,-0.117,2.574
Acacetin,5280442,Chickpea,Cicer arietinum L,DOI: 10.1002/fsn3.3056,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,C16H12O5,284.26,2,5,2,78.46,79.9,2.56,3.35,2.88,0.77,2.52,-4.14,High,No,Yes,No,Yes,Yes,Yes,0,0,0.55,0,Yes,0.575,No,Yes,2.587,1.467,No,No,1.605,1.429
Apigenin,5280443,Chickpea,Cicer arietinum L,DOI: 10.1002/fsn3.3056,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.11,-3.94,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.624,No,No,2.508,1.464,No,No,1.386,1.583
Artemisinin,68827,Chickpea,Cicer arietinum L,DOI: 10.1002/fsn3.3056,CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C,C15H22O5,282.33,0,5,0,70.38,53.99,2.75,2.9,2.39,2.62,2.5,-3.42,High,Yes,Yes,No,No,No,No,0,0,0.55,0,Yes,0.299,No,Yes,2.724,1.5,No,No,0.938,1.482
Astragalin,5282102,Chickpea,Cicer arietinum L,DOI: 10.1002/fsn3.3056,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,C21H20O11,448.38,4,11,7,108.13,190.28,0.53,0.72,-0.24,-2.1,-0.25,-3.18,Low,No,No,No,No,No,No,2,0,0.17,0,Yes,-0.087,No,Yes,2.208,1.449,No,No,0.436,2.239
Baicalein,5281605,Chickpea,Cicer arietinum L,DOI: 10.1002/fsn3.3056,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,2.43,3.16,2.58,0.52,2.24,-4.03,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,Yes,0.624,No,No,2.508,1.464,No,No,1.386,1.583
Baicalin,64982,Chickpea,Cicer arietinum L,DOI: 10.1002/fsn3.3056,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,C21H18O11,446.36,4,11,6,106.72,187.12,1.59,1.11,0.14,-1.63,0.22,-3.41,Low,No,No,No,No,No,No,2,0,0.11,1,No,-0.108,No,Yes,2.287,1.419,No,No,0.449,2.163
Biochanin A,5280373,Chickpea,Cicer arietinum L,DOI: 10.1002/fsn3.3056,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,C16H12O5,284.26,2,5,2,78.46,79.9,2.55,2.99,2.88,0.77,2.44,-3.92,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.575,No,Yes,2.587,1.467,No,No,1.605,1.429
Chrysin,5281607,Chickpea,Cicer arietinum L,DOI: 10.1002/fsn3.3056,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,C15H10O4,254.24,1,4,2,71.97,70.67,2.27,3.52,2.87,1.08,2.55,-4.19,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.713,No,No,2.46,1.896,No,No,1.537,1.476
Cianidanol,9064,Chickpea,Cicer arietinum L,DOI: 10.1002/fsn3.3056,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,Yes,0.547,No,No,2.39,1.501,No,No,1.147,1.796
Daidzin,107971,Chickpea,Cicer arietinum L,DOI: 10.1002/fsn3.3056,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O)O,C21H20O9,416.38,4,9,5,104.09,149.82,1.77,0.67,0.34,-1.11,0.5,-2.97,Low,No,No,No,No,No,No,0,0,0.55,0,Yes,-0.074,No,Yes,2.352,1.517,Yes,No,0.604,2.025
Dihydromyricetin,161557,Chickpea,Cicer arietinum L,DOI: 10.1002/fsn3.3056,C1=C(C=C(C(=C1O)O)O)C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O,C15H12O8,320.25,1,8,6,76.78,147.68,0.9,0.59,0.57,-1.16,0.22,-2.52,Low,No,No,No,No,No,No,1,0,0.55,1,Yes,0.419,No,No,2.377,1.446,No,No,0.84,2.047
Diosmin,5281613,Chickpea,Cicer arietinum L,DOI: 10.1002/fsn3.3056,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,C28H32O15,608.54,7,15,8,143.82,238.2,3.05,0.14,-1.09,-3.23,-0.44,-3.51,Low,No,No,No,No,No,No,3,4,0.17,0,No,-0.271,No,Yes,1.831,1.414,No,No,0.294,2.304
