Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"1,3-Dicaffeoylquinic acid",6474640,Chicory,Cichorium intybus,PMID: 24379887,C1C(C(C(CC1(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O)O,C25H24O12,516.45,9,12,7,126.9,211.28,1.11,1.52,0.81,-0.35,0.75,-3.65,Low,No,No,No,No,No,No,3,1,0.11,1,No,0.367,No,No,2.567,3.459,No,No,0.285,4.412
"1,4-Dicaffeoylquinic acid",12358846,Chicory,Cichorium intybus,PMID: 24379887,C1C(C(C(CC1(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O,C25H24O12,516.45,9,12,7,126.9,211.28,1.91,1.52,0.81,-0.35,0.91,-3.65,Low,No,No,No,No,No,No,3,1,0.11,1,No,0.438,No,No,2.543,3.889,No,No,0.285,3.354
"11beta,13-Dihydrolactucopicrin",14565842,Chicory,Cichorium intybus,PMID: 24379887,CC1C2C(CC(=C3C(C2OC1=O)C(=CC3=O)CO)C)OC(=O)CC4=CC=C(C=C4)O,C23H24O7,412.43,5,7,2,106.98,110.13,1.91,1.21,1.86,1.69,1.85,-2.98,High,No,No,No,No,No,Yes,0,0,0.55,0,No,-0.518,No,No,2.168,1.867,Yes,No,0.337,1.096
"3,4beta-Dihydro-15-dehydrolactucopicrin",5316703,Chicory,Cichorium intybus,PMID: 24379887,CC1=C2C(C(CC2=O)C=O)C3C(C(C1)OC(=O)CC4=CC=C(C=C4)O)C(=C)C(=O)O3,C23H22O7,410.42,5,7,1,106.02,106.97,1.48,1.34,2.07,1.61,1.94,-3.05,High,No,No,No,No,No,No,0,0,0.55,0,No,-0.626,No,No,1.932,2.058,No,No,0.368,0.777
"3,4-Dicaffeoylquinic acid",5281780,Chicory,Cichorium intybus,PMID: 24379887,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O,C25H24O12,516.45,9,12,7,126.9,211.28,1.25,1.52,0.81,-0.35,0.78,-3.65,Low,No,No,No,No,No,No,3,1,0.11,1,No,0.393,No,No,2.626,4.131,No,No,0.285,4.942
"3,5-Dicaffeoylquinic acid",6474310,Chicory,Cichorium intybus,PMID: 24379887,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O,C25H24O12,516.45,9,12,7,126.9,211.28,1.05,1.52,0.81,-0.35,0.74,-3.65,Low,No,No,No,No,No,No,3,1,0.11,1,No,0.393,No,No,2.643,4.374,No,No,0.285,5.538
"4,5-Dicaffeoylquinic acid",6474309,Chicory,Cichorium intybus,PMID: 24379887,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O,C25H24O12,516.45,9,12,7,126.9,211.28,1.25,1.52,0.81,-0.35,0.78,-3.65,Low,No,No,No,No,No,No,3,1,0.11,1,No,0.393,No,No,2.626,4.131,No,No,0.285,4.942
4-Caffeoylquinic acid,9798666,Chicory,Cichorium intybus,PMID: 24379887,C1C(C(C(CC1(C(=O)O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,1.23,-0.42,-0.75,-1.05,-0.32,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.002,No,No,2.073,3.463,No,No,0.285,5.803
4-O-Feruloylquinic acid,10177048,Chicory,Cichorium intybus,PMID: 24379887,COC1=C(C=CC(=C1)C=CC(=O)OC2C(CC(CC2O)(C(=O)O)O)O)O,C17H20O9,368.34,6,9,5,87.97,153.75,1.52,-0.1,-0.45,-0.81,0.02,-1.84,Low,No,No,No,No,No,No,0,1,0.11,0,No,1.272,No,No,2.115,4.496,No,No,0.285,4.963
5-Caffeoylquinic acid,5280633,Chicory,Cichorium intybus,PMID: 24379887,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
