Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
3-O-alpha-L-rhamnopyranosylkaempferol,5316673,Veldt Grape,Cissus quadrangularis L.,DOI: 10.1177/1934578X0700200806,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)O,C21H20O10,432.38,3,10,6,106.97,170.05,1.84,1.22,0.78,-1.34,0.6,-3.47,Low,No,No,No,No,No,No,1,0,0.55,0,No,0.544,No,Yes,2.61,2.799,No,No,0.285,3.726
alpha-Carotene,6419725,Veldt Grape,Cissus quadrangularis L.,DOI: 10.1177/1934578X0700200806,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CCCC2(C)C)C)C)C,C40H56,536.87,10,0,0,184.43,0.0,7.83,13.65,12.46,8.96,11.03,-11.11,Low,No,No,No,No,No,No,2,4,0.17,0,Yes,-0.387,No,Yes,2.065,0.633,No,No,0.327,-3.992
Beta-Sitosterol,222284,Veldt Grape,Cissus quadrangularis L.,DOI: 10.1177/1934578X0700200806,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
delta-Amyrin,12358447,Veldt Grape,Cissus quadrangularis L.,DOI: 10.1177/1934578X0700200806,CC1(CCC2(CCC3(C(=C2C1)CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C)C)C,C30H50O,426.72,0,1,1,134.88,20.23,4.75,8.86,8.31,6.92,7.23,-8.07,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.575,No,Yes,2.351,0.866,No,No,0.368,-1.506
delta-Amyrin acetate,13915602,Veldt Grape,Cissus quadrangularis L.,DOI: 10.1177/1934578X0700200806,CC(=O)OC1CCC2(C3CCC4=C5CC(CCC5(CCC4(C3(CCC2C1(C)C)C)C)C)(C)C)C,C32H52O2,468.75,2,2,0,144.62,26.3,5.08,9.43,8.88,7.08,7.66,-8.56,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.255,No,Yes,2.554,1.887,No,No,0.323,-3.631
Delta-amyrone,14079470,Veldt Grape,Cissus quadrangularis L.,DOI: 10.1177/1934578X0700200806,CC1(CCC2(CCC3(C(=C2C1)CCC4C3(CCC5C4(CCC(=O)C5(C)C)C)C)C)C)C,C30H48O,424.7,0,1,0,133.92,17.07,4.43,8.54,8.52,6.82,7.24,-7.85,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.354,No,Yes,2.239,0.843,No,No,0.374,-1.744
Friedelin,91472,Veldt Grape,Cissus quadrangularis L.,DOI: 10.1177/1934578X0700200806,CC1C(=O)CCC2C1(CCC3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C)C)C)C)C)C,C30H50O,426.72,0,1,0,134.39,17.07,4.52,9.8,8.46,6.92,7.44,-8.66,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.213,No,Yes,2.64,0.909,No,No,0.3,-2.384
Kaempferol,5280863,Veldt Grape,Cissus quadrangularis L.,DOI: 10.1177/1934578X0700200806,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.531,No,No,2.449,2.505,No,No,0.312,2.885
Pallidol,484757,Veldt Grape,Cissus quadrangularis L.,DOI: 10.1177/1934578X0700200806,C1=CC(=CC=C1C2C3C(C(C4=C3C=C(C=C4O)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)O,C28H22O6,454.47,2,6,6,127.52,121.38,2.22,4.57,5.08,2.93,3.68,-5.93,Low,No,No,No,No,No,No,1,0,0.55,0,No,0.436,No,Yes,2.509,3.263,No,No,0.285,2.489
Palmitic Acid,985,Veldt Grape,Cissus quadrangularis L.,DOI: 10.1177/1934578X0700200806,CCCCCCCCCCCCCCCC(=O)O,C16H32O2,256.42,14,2,1,80.8,37.3,3.85,7.17,5.55,4.19,5.2,-5.02,High,Yes,Yes,No,Yes,No,No,1,0,0.85,0,No,-0.708,No,No,1.44,3.181,No,Yes,0.84,-1.083
