Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Alpha-terpineol,17100,West Indian lime,Citrus aurantifolia L.,PMID: 37238855,CC1=CCC(CC1)C(C)(C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.51,3.39,2.5,2.3,2.58,-2.87,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.886,No,No,1.923,1.945,No,Yes,0.008,1.8
Apigenin,5280443,West Indian lime,Citrus aurantifolia L.,PMID: 37238855,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.11,-3.94,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.328,No,No,2.45,2.298,No,No,0.38,2.432
Beta-pinene,14896,West Indian lime,Citrus aurantifolia L.,PMID: 37238855,CC1(C2CCC(=C)C1C2)C,C10H16,136.23,0,0,0,45.22,0.0,2.59,4.16,3.0,4.29,3.42,-3.31,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.371,No,No,1.673,2.28,No,No,0.628,1.012
citral,638011,West Indian lime,Citrus aurantifolia L.,PMID: 37238855,CC(=CCCC(=CC=O)C)C,C10H16O,152.23,4,1,0,49.44,17.07,2.47,3.03,2.88,2.49,2.71,-2.43,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.543,No,No,1.815,2.133,No,Yes,1.036,0.945
citronellol,8842,West Indian lime,Citrus aurantifolia L.,PMID: 37238855,CC(CCC=C(C)C)CCO,C10H20O,156.27,5,1,1,50.87,20.23,2.72,3.91,2.75,2.7,2.92,-2.94,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.7,No,No,1.669,2.025,No,Yes,0.699,1.093
farnesene,5281516,West Indian lime,Citrus aurantifolia L.,PMID: 37238855,CC(=CCCC(=CCC=C(C)C=C)C)C,C15H24,204.35,6,0,0,72.32,0.0,3.89,6.12,5.2,4.84,4.96,-4.57,Low,No,Yes,No,Yes,No,No,1,0,0.55,0,No,0.179,No,No,1.467,1.367,No,Yes,2.07,-0.327
ferulic acid,445858,West Indian lime,Citrus aurantifolia L.,PMID: 37238855,COC1=C(C=CC(=C1)C=CC(=O)O)O,C10H10O4,194.18,3,4,2,51.63,66.76,1.62,1.51,1.39,1.0,1.36,-2.11,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.082,No,No,2.282,2.065,No,No,0.271,1.825
Gallic Acid,370,West Indian lime,Citrus aurantifolia L.,PMID: 37238855,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,No,0.7,No,No,2.218,3.06,No,No,0.285,3.188
geraniol,637566,West Indian lime,Citrus aurantifolia L.,PMID: 37238855,CC(=CCCC(=CCO)C)C,C10H18O,154.25,4,1,1,50.4,20.23,2.75,3.56,2.67,2.59,2.78,-2.78,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.65,No,No,1.636,2.03,No,Yes,0.595,1.213
geranyl acetate,1549026,West Indian lime,Citrus aurantifolia L.,PMID: 37238855,CC(=CCCC(=CCOC(=O)C)C)C,C12H20O2,196.29,6,2,0,60.13,26.3,2.83,4.04,3.24,2.95,3.21,-3.21,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.474,No,No,1.683,2.272,No,Yes,1.186,0.604
