Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Atractyligenin,11045436,Coffee,Coffea arabica,PMID: 33689321,CC12CC(CC(C1CCC34C2CCC(C3)C(=C)C4O)C(=O)O)O,C19H28O4,320.42,1,4,3,88.09,77.76,2.2,2.24,2.59,2.68,2.35,-3.17,High,Yes,No,No,No,No,No,0,0,0.56,0,No,-0.083,No,No,1.978,1.888,Yes,No,0.282,0.881
caffeic acid,689043,Coffee,Coffea arabica,PMID: 33689321,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.145,No,No,2.383,2.092,No,No,0.293,2.246
Caffeine,2519,Coffee,Coffea arabica,PMID: 33689321,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,C8H10N4O2,194.19,0,3,0,52.04,61.82,1.79,-0.07,-1.03,0.22,0.08,-1.48,High,No,No,No,No,No,No,0,1,0.55,0,No,0.001,No,No,2.802,0.701,Yes,No,0.285,2.34
Chlorogenic acid,1794427,Coffee,Coffea arabica,PMID: 33689321,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Choline,305,Coffee,Coffea arabica,PMID: 33689321,C[N+](C)(C)CCO,C5H14NO+,104.17,2,1,1,29.69,20.23,-2.14,-0.4,-0.32,-3.46,-1.86,-0.1,Low,No,No,No,No,No,No,0,2,0.55,0,No,0.952,No,No,1.939,0.885,No,Yes,-0.449,2.842
Ferulic acid,445858,Coffee,Coffea arabica,PMID: 33689321,COC1=C(C=CC(=C1)C=CC(=O)O)O,C10H10O4,194.18,3,4,2,51.63,66.76,1.62,1.51,1.39,1.0,1.36,-2.11,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.082,No,No,2.282,2.065,No,No,0.271,1.825
Gallic acid,370,Coffee,Coffea arabica,PMID: 33689321,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,No,0.7,No,No,2.218,3.06,No,No,0.285,3.188
Glycerophosphocholine,657272,Coffee,Coffea arabica,PMID: 33689321,C[N+](C)(C)CCOP(=O)([O-])OCC(CO)O,C8H20NO6P,257.22,8,6,2,55.73,108.86,-2.84,-2.27,-0.38,-5.09,-2.86,0.52,High,No,No,No,No,No,No,0,0,0.55,0,Yes,0.981,No,No,2.476,2.294,No,No,-0.15,3.261
Pantothenic acid,6613,Coffee,Coffea arabica,PMID: 33689321,CC(C)(CO)C(C(=O)NCCC(=O)O)O,C9H17NO5,219.23,7,5,4,52.21,106.86,0.79,-1.08,-1.04,-0.8,-0.51,-0.06,High,No,No,No,No,No,No,0,1,0.56,0,No,0.981,No,No,1.28,2.448,No,No,0.281,3.468
Protocatechualdehyde,8768,Coffee,Coffea arabica,PMID: 33689321,C1=CC(=C(C=C1C=O)O)O,C7H6O3,138.12,1,3,2,35.88,57.53,0.79,1.09,0.91,0.18,0.8,-1.76,High,Yes,No,No,No,No,Yes,0,3,0.55,1,No,1.025,No,No,1.863,1.977,No,No,0.167,2.423
Protocatechuic acid,72,Coffee,Coffea arabica,PMID: 33689321,C1=CC(=C(C=C1C(=O)O)O)O,C7H6O4,154.12,1,4,3,37.45,77.76,0.66,1.15,0.8,0.4,0.65,-1.86,High,No,No,No,No,No,Yes,0,3,0.56,1,No,0.814,No,No,2.423,2.021,No,No,0.273,2.451
Trigonellin,5570,Coffee,Coffea arabica,PMID: 33689321,C[N+]1=CC=CC(=C1)C(=O)[O-],C7H7NO2,137.14,1,2,0,35.05,44.01,-3.11,0.51,-1.13,0.33,-0.61,-1.39,High,No,No,No,No,No,No,0,4,0.55,0,No,0.743,No,No,1.878,0.454,No,No,-0.323,2.536
Vanillic acid,8468,Coffee,Coffea arabica,PMID: 33689321,COC1=C(C=CC(=C1)C(=O)O)O,C8H8O4,168.15,2,4,2,41.92,66.76,1.4,1.43,1.1,0.74,1.08,-2.02,High,No,No,No,No,No,No,0,0,0.85,0,No,0.719,No,No,2.454,2.032,No,No,0.265,1.926
Xanthine,1188,Coffee,Coffea arabica,PMID: 33689321,C1=NC2=C(N1)C(=O)NC(=O)N2,C5H4N4O2,152.11,0,3,3,37.34,94.4,0.07,-0.73,-1.06,-1.25,-0.3,-0.93,High,No,No,No,No,No,No,0,4,0.55,0,Yes,-0.004,No,No,2.089,1.507,No,No,0.285,3.497
