Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"(6S,9R)-roseoside",9930064,Jute,Corchorus olitorius,PMID: 36540263,CC1=CC(=O)CC(C1(C=CC(C)OC2C(C(C(C(O2)CO)O)O)O)O)(C)C,C19H30O8,386.44,5,8,5,96.23,136.68,2.28,-1.05,-0.58,-1.06,0.01,-1.24,Low,No,No,No,No,No,No,0,1,0.55,0,No,0.166,No,No,1.745,1.474,No,No,0.196,3.058
"1,2-Benzenedicarboxylic acid",1017,Jute,Corchorus olitorius,PMID: 36540263,C1=CC=C(C(=C1)C(=O)O)C(=O)O,C8H6O4,166.13,2,4,2,40.36,74.6,0.6,0.73,1.08,1.2,0.84,-1.57,High,No,No,No,No,No,No,0,1,0.85,0,Yes,1.617,No,No,2.035,2.913,No,No,-0.18,1.849
2-Hexanone,11583,Jute,Corchorus olitorius,PMID: 36540263,CCCCC(=O)C,C6H12O,100.16,3,1,0,31.16,17.07,1.9,1.38,1.77,1.39,1.57,-1.13,High,Yes,No,No,No,No,No,0,3,0.55,0,No,2.083,No,No,1.715,2.796,No,Yes,-0.726,1.444
2-Methylanthraquinone,6773,Jute,Corchorus olitorius,PMID: 36540263,CC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O,C15H10O2,222.24,0,2,0,64.72,34.14,2.2,3.94,2.77,2.12,3.01,-4.22,High,Yes,Yes,Yes,No,No,No,0,0,0.55,1,No,0.882,No,No,2.151,2.01,No,Yes,1.573,1.458
"3,4-Di-O-caffeoylquinic acid",5281780,Jute,Corchorus olitorius,PMID: 36540263,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O,C25H24O12,516.45,9,12,7,126.9,211.28,1.25,1.52,0.81,-0.35,0.78,-3.65,Low,No,No,No,No,No,No,3,1,0.11,1,No,-0.007,No,Yes,2.161,1.342,No,No,0.403,1.738
"4,7-Dihydroxycoumarin",54679630,Jute,Corchorus olitorius,PMID: 36540263,C1=CC2=C(C=C1O)OC(=O)C=C2O,C9H6O4,178.14,0,4,2,46.53,70.67,1.07,0.92,1.2,0.45,1.02,-2.09,High,No,Yes,No,No,No,No,0,1,0.55,0,Yes,1.327,No,No,2.147,2.782,No,No,0.479,1.954
Alpha-Phellandrene,7460,Jute,Corchorus olitorius,PMID: 36540263,CC1=CCC(C=C1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.64,3.21,3.16,3.27,2.97,-2.64,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,1.73,No,No,1.796,2.723,No,No,0.478,1.138
Alpha-Pinene,6654,Jute,Corchorus olitorius,PMID: 36540263,CC1=CCC2CC1C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,1.34,No,No,1.987,2.661,No,No,0.722,1.238
Alpha-Terpinene,7462,Jute,Corchorus olitorius,PMID: 36540263,CC1=CC=C(CC1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.7,4.25,3.31,3.27,3.3,-3.3,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,1.732,No,No,1.822,2.754,No,No,0.494,1.101
Apigenin,5280443,Jute,Corchorus olitorius,PMID: 36540263,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.11,-3.94,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.624,No,No,2.508,1.464,No,No,1.386,1.583
Apigenin 7-O-glucoside,5280704,Jute,Corchorus olitorius,PMID: 36540263,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O10,432.38,4,10,6,106.11,170.05,2.17,1.81,0.05,-1.61,0.55,-3.78,Low,No,No,No,No,No,No,1,0,0.55,0,Yes,-0.087,No,Yes,2.29,1.483,No,No,0.508,2.132
Astragalin,5282102,Jute,Corchorus olitorius,PMID: 36540263,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,C21H20O11,448.38,4,11,7,108.13,190.28,0.53,0.72,-0.24,-2.1,-0.25,-3.18,Low,No,No,No,No,No,No,2,0,0.17,0,Yes,-0.087,No,Yes,2.208,1.449,No,No,0.436,2.239
Benzaldehyde,240,Jute,Corchorus olitorius,PMID: 36540263,C1=CC=C(C=C1)C=O,C7H6O,106.12,1,1,0,31.83,17.07,1.36,1.48,1.5,1.45,1.57,-1.92,High,Yes,Yes,No,No,No,No,0,3,0.55,0,No,1.849,No,No,1.747,2.746,No,No,-0.491,1.692
Beta-Amyrin,73145,Jute,Corchorus olitorius,PMID: 36540263,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C,C30H50O,426.72,0,1,1,134.88,20.23,4.74,9.15,8.17,6.92,7.18,-8.25,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.205,No,Yes,2.593,1.897,No,No,0.702,-0.313
Beta-Cedrene,11106485,Jute,Corchorus olitorius,PMID: 36540263,CC1CCC2C13CCC(=C)C(C3)C2(C)C,C15H24,204.35,0,0,0,66.88,0.0,3.18,4.85,4.42,5.65,4.46,-4.16,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,1.036,No,No,2.079,2.516,No,No,1.538,0.819
Beta-Myrcene,31253,Jute,Corchorus olitorius,PMID: 36540263,CC(=CCCC(=C)C=C)C,C10H16,136.23,4,0,0,48.76,0.0,2.89,4.17,3.48,3.56,3.43,-3.05,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,1.934,No,No,1.764,2.875,No,No,0.414,0.905
Beta-Sitosterol,222284,Jute,Corchorus olitorius,PMID: 36540263,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.011,No,Yes,2.615,2.124,No,No,1.097,-0.579
