Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"1,4-Dicaffeoylquinic acid",12358846,Cucumber,Cucumis sativus L.,PMID: 35631468,C1C(C(C(CC1(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O,C25H24O12,516.45,9,12,7,126.9,211.28,1.91,1.52,0.81,-0.35,0.91,-3.65,Low,No,No,No,No,No,No,3,1,0.11,1,No,0.438,No,No,2.543,3.889,No,No,0.285,3.354
Apigenin,5280443,Cucumber,Cucumis sativus L.,PMID: 35631468,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.11,-3.94,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.328,No,No,2.45,2.298,No,No,0.38,2.432
Beta-Sitosterol,222284,Cucumber,Cucumis sativus L.,PMID: 35631468,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Campesterol,173183,Cucumber,Cucumis sativus L.,PMID: 35631468,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C28H48O,400.68,5,1,1,128.42,20.23,4.92,8.8,7.63,6.54,6.9,-7.54,Low,No,No,No,No,No,No,1,2,0.55,0,No,-0.458,No,Yes,2.08,0.892,No,No,0.631,-1.94
Ellagic acid,5281855,Cucumber,Cucumis sativus L.,PMID: 35631468,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,C14H6O8,302.19,0,8,4,75.31,141.34,0.79,1.1,1.31,0.14,1.0,-2.94,High,No,Yes,No,No,No,No,0,0,0.55,1,No,0.476,No,No,2.399,2.698,No,No,0.295,2.11
Epicatechin,72276,Cucumber,Cucumis sativus L.,PMID: 35631468,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
Ferulic acid,445858,Cucumber,Cucumis sativus L.,PMID: 35631468,COC1=C(C=CC(=C1)C=CC(=O)O)O,C10H10O4,194.18,3,4,2,51.63,66.76,1.62,1.51,1.39,1.0,1.36,-2.11,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.082,No,No,2.282,2.065,No,No,0.271,1.825
Hesperidin,10621,Cucumber,Cucumis sativus L.,PMID: 35631468,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,C28H34O15,610.56,7,15,8,141.41,234.29,2.6,-0.14,-1.48,-3.04,-0.72,-3.28,Low,No,No,No,No,No,No,3,4,0.17,0,No,0.525,No,Yes,2.506,3.167,No,No,0.285,7.131
Kaempferol,5280863,Cucumber,Cucumis sativus L.,PMID: 35631468,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.531,No,No,2.449,2.505,No,No,0.312,2.885
Kaempferol-3-O-glucoside,5282102,Cucumber,Cucumis sativus L.,PMID: 35631468,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,C21H20O11,448.38,4,11,7,108.13,190.28,0.53,0.72,-0.24,-2.1,-0.25,-3.18,Low,No,No,No,No,No,No,2,0,0.17,0,No,0.582,No,No,2.546,4.53,No,No,0.285,6.735
Luteolin,5280445,Cucumber,Cucumis sativus L.,PMID: 35631468,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.86,2.53,2.28,-0.03,1.73,-3.71,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.455,2.409,No,No,0.326,3.169
Luteolin 7-O-glucoside,5280637,Cucumber,Cucumis sativus L.,PMID: 35631468,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O,C21H20O11,448.38,4,11,7,108.13,190.28,1.83,1.46,-0.24,-2.1,0.16,-3.65,Low,No,No,No,No,No,No,2,0,0.17,1,No,0.584,No,No,2.547,4.279,No,No,0.285,6.342
Narcissin,5481663,Cucumber,Cucumis sativus L.,PMID: 35631468,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O,C28H32O16,624.54,7,16,9,145.85,258.43,2.62,-0.01,-1.38,-3.69,-0.8,-3.51,Low,No,No,No,No,No,No,3,4,0.17,0,No,0.485,No,Yes,2.507,3.424,No,No,0.285,7.187
Naringenin,439246,Cucumber,Cucumis sativus L.,PMID: 35631468,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,C15H12O5,272.25,1,5,3,71.57,86.99,1.75,2.52,2.19,0.71,1.84,-3.49,High,No,Yes,No,No,No,Yes,0,0,0.55,0,No,-0.176,No,No,1.791,1.944,No,No,0.369,2.136
Orientin,5281675,Cucumber,Cucumis sativus L.,PMID: 35631468,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O11,448.38,3,11,8,108.63,201.28,1.27,-0.15,-0.53,-2.51,-0.41,-2.7,Low,No,No,No,No,No,No,2,1,0.17,1,No,0.567,No,No,2.572,4.386,No,No,0.285,6.125
p-coumaric acid,637542,Cucumber,Cucumis sativus L.,PMID: 35631468,C1=CC(=CC=C1C=CC(=O)O)O,C9H8O3,164.16,2,3,2,45.13,57.53,0.95,1.46,1.38,1.28,1.26,-2.02,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.111,No,No,2.155,2.534,No,No,0.319,1.607
Quercetin,5280343,Cucumber,Cucumis sativus L.,PMID: 35631468,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.24,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.23,-3.16,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.471,2.612,No,No,0.288,3.721
Scopoletin,5280460,Cucumber,Cucumis sativus L.,PMID: 35631468,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,C10H8O4,192.17,1,4,1,51.0,59.67,1.86,1.53,1.51,0.76,1.52,-2.46,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,0.614,No,No,1.95,1.378,No,No,0.516,1.614
Stigmasterol,5280794,Cucumber,Cucumis sativus L.,PMID: 35631468,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H48O,412.69,5,1,1,132.75,20.23,5.01,8.56,7.8,6.62,6.97,-7.46,Low,No,No,No,Yes,No,No,1,3,0.55,0,No,-0.664,No,Yes,2.54,0.872,No,No,0.433,-1.675
Umbelliferone,5281426,Cucumber,Cucumis sativus L.,PMID: 35631468,C1=CC(=CC2=C1C=CC(=O)O2)O,C9H6O3,162.14,0,3,1,44.51,50.44,1.44,1.58,1.5,1.04,1.51,-2.46,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,0.689,No,No,2.047,1.751,Yes,No,0.546,1.714
