Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
alpha-PHELLANDRENE,7460,Turmeric,Curcuma longa,PMID: 31965918,CC1=CCC(C=C1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.64,3.21,3.16,3.27,2.97,-2.64,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.754,No,No,1.741,2.328,No,No,0.638,0.942
alpha-PINENE,6654,Turmeric,Curcuma longa,PMID: 31965918,CC1=CCC2CC1C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.48,No,No,1.77,2.262,No,No,0.45,1.159
Ascorbic Acid,54670067,Turmeric,Curcuma longa,PMID: 31965918,C(C(C1C(=C(C(=O)O1)O)O)O)O,C6H8O6,176.12,2,6,4,35.12,107.22,0.39,-1.64,-1.41,-2.6,-1.28,0.23,High,No,No,No,No,No,No,0,2,0.56,0,No,1.598,No,No,1.063,3.186,No,No,0.285,4.386
b-Atlantone,13967857,Turmeric,Curcuma longa,PMID: 31965918,CC1=CCC(CC1)C(=C)CC(=O)C=C(C)C,C15H22O,218.33,4,1,0,70.88,17.07,3.2,5.27,4.21,3.37,4.02,-4.25,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.527,No,No,1.78,1.135,No,Yes,1.705,0.392
beta-Bisabolene,10104370,Turmeric,Curcuma longa,PMID: 31965918,CC1=CCC(CC1)C(=C)CCC=C(C)C,C15H24,204.35,4,0,0,70.68,0.0,3.67,6.43,5.04,4.53,4.83,-4.89,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.418,No,No,1.642,1.347,No,Yes,1.943,-0.065
Beta-Phellandrene,11142,Turmeric,Curcuma longa,PMID: 31965918,CC(C)C1CCC(=C)C=C1,C10H16,136.23,1,0,0,47.12,0.0,2.65,3.44,3.16,3.27,3.07,-2.79,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.693,No,No,1.709,2.353,No,Yes,0.649,0.966
beta-Pinene,14896,Turmeric,Curcuma longa,PMID: 31965918,CC1(C2CCC(=C)C1C2)C,C10H16,136.23,0,0,0,45.22,0.0,2.59,4.16,3.0,4.29,3.42,-3.31,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.371,No,No,1.673,2.28,No,No,0.628,1.012
Bisdemethoxycurcumin,5315472,Turmeric,Curcuma longa,PMID: 31965918,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O,C19H16O4,308.33,6,4,2,89.82,74.6,1.75,3.26,3.13,2.13,2.83,-3.8,High,Yes,Yes,No,Yes,No,Yes,0,0,0.55,0,No,-0.081,No,Yes,2.09,1.616,No,No,0.968,0.069
Borneol,64685,Turmeric,Curcuma longa,PMID: 31965918,CC1(C2CCC1(C(C2)O)C)C,C10H18O,154.25,0,1,1,46.6,20.23,2.29,2.72,2.19,2.45,2.38,-2.51,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.577,No,No,1.707,1.877,No,Yes,0.175,1.727
Curcumin,969516,Turmeric,Curcuma longa,PMID: 31965918,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,C21H20O6,368.38,8,6,2,102.8,93.06,3.27,3.2,3.15,1.47,3.03,-3.94,High,No,No,No,Yes,No,Yes,0,0,0.55,0,No,0.081,No,No,1.833,2.228,No,No,0.494,-0.081
