Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
alpha pinene,6654,Lemon grass,Cymbopogon citratus,PMID: 22171285,CC1=CCC2CC1C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.48,No,No,1.77,2.262,No,No,0.45,1.159
beta pinene,14896,Lemon grass,Cymbopogon citratus,PMID: 22171285,CC1(C2CCC(=C)C1C2)C,C10H16,136.23,0,0,0,45.22,0.0,2.59,4.16,3.0,4.29,3.42,-3.31,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.371,No,No,1.673,2.28,No,No,0.628,1.012
Beta-caryophyllene,5281515,Lemon grass,Cymbopogon citratus,PMID: 22171285,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.351,No,No,1.617,1.416,No,Yes,1.401,0.504
Borneol,64685,Lemon grass,Cymbopogon citratus,PMID: 22171285,CC1(C2CCC1(C(C2)O)C)C,C10H18O,154.25,0,1,1,46.6,20.23,2.29,2.72,2.19,2.45,2.38,-2.51,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.577,No,No,1.707,1.877,No,Yes,0.175,1.727
Citral ,638011,Lemon grass,Cymbopogon citratus,PMID: 22171285,CC(=CCCC(=CC=O)C)C,C10H16O,152.23,4,1,0,49.44,17.07,2.47,3.03,2.88,2.49,2.71,-2.43,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.543,No,No,1.815,2.133,No,Yes,1.036,0.945
Citronella,7794,Lemon grass,Cymbopogon citratus,PMID: 22171285,CC(CCC=C(C)C)CC=O,C10H18O,154.25,5,1,0,49.91,17.07,2.49,3.83,2.96,2.59,2.94,-2.88,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.59,No,No,1.634,2.128,No,Yes,0.804,0.825
Geraniol,637566,Lemon grass,Cymbopogon citratus,PMID: 22171285,CC(=CCCC(=CCO)C)C,C10H18O,154.25,4,1,1,50.4,20.23,2.75,3.56,2.67,2.59,2.78,-2.78,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.65,No,No,1.636,2.03,No,Yes,0.595,1.213
Geranyl acetate,1549026,Lemon grass,Cymbopogon citratus,PMID: 22171285,CC(=CCCC(=CCOC(=O)C)C)C,C12H20O2,196.29,6,2,0,60.13,26.3,2.83,4.04,3.24,2.95,3.21,-3.21,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.474,No,No,1.683,2.272,No,Yes,1.186,0.604
Limonene,22311,Lemon grass,Cymbopogon citratus,PMID: 22171285,CC1=CCC(CC1)C(=C)C,C10H16,136.23,1,0,0,47.12,0.0,2.72,4.57,3.31,3.27,3.37,-3.5,Low,Yes,No,No,Yes,No,No,0,1,0.55,0,No,0.777,No,No,1.88,2.336,No,Yes,0.579,1.203
Linalool,6549,Lemon grass,Cymbopogon citratus,PMID: 22171285,CC(=CCCC(C)(C=C)O)C,C10H18O,154.25,4,1,1,50.44,20.23,2.7,2.97,2.67,2.59,2.66,-2.4,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.774,No,No,1.704,2.024,No,Yes,0.515,1.277
Methylheptenone,9862,Lemon grass,Cymbopogon citratus,PMID: 22171285,CC(=CCCC(=O)C)C,C8H14O,126.2,3,1,0,40.3,17.07,2.23,1.88,2.32,1.97,2.07,-1.61,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.766,No,No,1.735,2.024,No,Yes,0.053,1.4
Neral,643779,Lemon grass,Cymbopogon citratus,PMID: 22171285,CC(=CCCC(=CC=O)C)C,C10H16O,152.23,4,1,0,49.44,17.07,2.47,3.03,2.88,2.49,2.71,-2.43,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.543,No,No,1.815,2.133,No,Yes,1.036,0.945
Nerol,643820,Lemon grass,Cymbopogon citratus,PMID: 22171285,CC(=CCCC(=CCO)C)C,C10H18O,154.25,4,1,1,50.4,20.23,2.75,3.56,2.67,2.59,2.78,-2.78,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.65,No,No,1.636,2.03,No,Yes,0.595,1.213
Terpinol,6651,Lemon grass,Cymbopogon citratus,PMID: 22171285,CC1(CCC(CC1)C(C)(C)O)O,C10H20O2,172.26,1,2,2,50.47,40.46,2.22,1.19,1.7,1.52,1.66,-1.59,High,Yes,No,No,No,No,No,0,0,0.55,0,No,1.106,No,No,1.731,2.479,No,Yes,-0.839,2.249
Terpinolene,11463,Lemon grass,Cymbopogon citratus,PMID: 22171285,CC1=CCC(=C(C)C)CC1,C10H16,136.23,0,0,0,47.12,0.0,2.71,4.47,3.45,3.27,3.4,-3.5,Low,Yes,No,No,Yes,No,No,0,1,0.55,0,No,0.752,No,No,1.859,2.438,No,Yes,0.52,1.215
