Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"1,3-benzenediol",5054,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,C1=CC(=CC(=C1)O)O,C6H6O2,110.11,0,2,2,30.49,40.46,0.96,0.8,1.1,0.79,0.92,-1.58,High,Yes,No,No,No,No,Yes,0,3,0.55,0,No,-0.017,No,No,2.14,2.313,No,Yes,0.105,2.194
10-Undecyn-1-ol,76015,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,C#CCCCCCCCCCO,C11H20O,168.28,8,1,1,54.31,20.23,3.04,3.81,2.81,2.99,3.19,-2.76,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.373,No,No,1.436,1.944,No,Yes,1.649,0.622
13-tetradece-11-yn-1-ol,543337,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,C=CC#CCCCCCCCCCCO,C14H24O,208.34,9,1,1,68.26,20.23,3.71,5.01,3.76,3.7,4.12,-3.69,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,0.023,No,No,1.395,1.213,No,Yes,2.309,0.004
"21-Diazopregn-4-ene-3,20-dione",104633,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,CC12CCC3C(C1CCC2C(=O)C=[N+]=[N-])CCC4=CC(=O)CCC34C,C21H28N2O2,340.46,2,4,0,97.66,71.53,3.03,3.9,4.0,2.85,3.34,-4.28,High,Yes,No,No,Yes,No,No,0,0,0.55,1,No,-0.558,No,Yes,2.717,1.63,No,No,0.353,0.025
2H-pyran-2-one,5281565,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,COC1=CC(=O)OC(C1)C=CC2=CC=CC=C2,C14H14O3,230.26,3,3,0,65.16,35.53,2.64,2.54,2.44,1.95,2.47,-2.93,High,Yes,Yes,Yes,No,No,No,0,0,0.85,0,No,0.712,No,No,2.089,1.701,No,No,1.323,-0.327
2-Methoxy-4-vinylphenol,332,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,COC1=C(C=CC(=C1)C=C)O,C9H10O2,150.17,2,2,1,45.05,29.46,2.14,2.81,1.93,1.71,2.14,-2.81,High,Yes,Yes,No,No,No,No,0,1,0.55,0,Yes,1.067,No,No,2.076,2.019,No,Yes,0.071,1.957
2-propenamide,6579,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,C=CC(=O)N,C3H5NO,71.08,1,1,1,18.97,43.09,0.68,-0.67,-0.34,-0.48,-0.26,0.21,High,No,No,No,No,No,No,0,3,0.55,0,No,1.295,No,No,1.993,1.213,No,No,-1.588,2.837
"3-Methyl-1,2-cyclopentanediol",33945,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,CC1CCC(C1O)O,C6H12O2,116.16,0,2,2,31.17,40.46,1.51,0.27,0.14,0.21,0.5,-0.73,High,No,No,No,No,No,No,0,2,0.55,0,No,1.588,No,No,1.681,2.624,No,Yes,-1.611,2.766
4-Oxopentanoic acid,11579,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,CC(=O)CCC(=O)O,C5H8O3,116.12,3,3,1,28.12,54.37,0.88,-0.49,0.44,-0.09,0.19,-0.05,High,No,No,No,No,No,No,0,3,0.85,0,No,1.082,No,No,1.663,2.726,No,No,-0.197,2.523
6-Deoxy-dmannose,12302962,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,CC1C(C(C(C(O1)O)O)O)O,C6H12O5,164.16,0,5,4,34.57,90.15,0.66,-2.09,-2.19,-1.94,-1.46,0.46,High,No,No,No,No,No,No,0,2,0.55,0,No,1.798,No,No,0.976,3.269,No,No,0.283,4.112
Apigenin,5280443,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.11,-3.94,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.328,No,No,2.45,2.298,No,No,0.38,2.432
