Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"1,8-Cineole",2758,Nut Grass,Cyperus rotundus L.,PMID: 19701133,CC1(C2CCC(O1)(CC2)C)C,C10H18O,154.25,0,1,0,47.12,9.23,2.58,2.74,2.74,2.45,2.67,-2.52,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.553,No,No,2.01,2.029,No,Yes,0.171,1.735
"2,4-Decadienal",5283349,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CCCCCC=CC=CC=O,C10H16O,152.23,6,1,0,49.44,17.07,2.67,3.25,2.88,2.49,2.85,-2.44,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.415,No,No,1.677,2.149,No,Yes,1.372,0.62
alpha-Calacorene,12302243,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC1=CCC(C2=C1C=CC(=C2)C)C(C)C,C15H20,200.32,1,0,0,68.39,0.0,3.12,4.41,4.54,5.36,4.38,-4.09,Low,No,No,No,No,Yes,No,1,0,0.55,0,No,0.556,No,No,1.91,1.436,No,Yes,2.22,-0.304
alpha-Cyperone,6452086,Nut Grass,Cyperus rotundus L.,PMID: 19701133,CC1=C2CC(CCC2(CCC1=O)C)C(=C)C,C15H22O,218.33,1,1,0,68.98,17.07,2.93,3.8,4.05,3.46,3.69,-3.52,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,-0.009,No,No,1.587,1.268,No,Yes,1.601,0.5
Alpha-Farnesene,5281516,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC(=CCCC(=CCC=C(C)C=C)C)C,C15H24,204.35,6,0,0,72.32,0.0,3.89,6.12,5.2,4.84,4.96,-4.57,Low,No,Yes,No,Yes,No,No,1,0,0.55,0,No,0.179,No,No,1.467,1.367,No,Yes,2.07,-0.327
alpha-Fenchol,439711,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC1(C2CCC(C2)(C1O)C)C,C10H18O,154.25,0,1,1,46.6,20.23,2.42,3.17,2.19,2.45,2.5,-2.79,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.5,No,No,1.662,1.89,No,Yes,0.303,1.634
alpha-Guaiene,5317844,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC1CCC(CC2=C1CCC2C)C(=C)C,C15H24,204.35,1,0,0,69.04,0.0,3.35,4.58,4.73,4.63,4.29,-3.93,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.397,No,No,1.679,1.365,No,Yes,1.476,0.366
alpha-Ylangene,442409,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC1=CCC2C3C1C2(CCC3C(C)C)C,C15H24,204.35,1,0,0,67.14,0.0,3.4,4.47,4.27,5.65,4.3,-3.86,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.302,No,No,1.644,1.356,No,No,1.122,0.128
Ammiol,621572,Nut Grass,Cyperus rotundus L.,PMID: 19701133,COC1=C2C(=O)C=C(OC2=C(C3=C1C=CO3)OC)CO,C14H12O6,276.24,3,6,1,71.37,82.04,2.47,1.01,1.9,-0.48,1.53,-2.47,High,No,Yes,No,No,No,Yes,0,0,0.55,0,Yes,0.085,No,No,2.407,0.742,No,No,0.429,1.325
Aristolone,165536,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC1CCCC2=CC(=O)C3C(C12C)C3(C)C,C15H22O,218.33,0,1,0,67.08,17.07,2.8,3.59,3.59,3.56,3.42,-3.46,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.078,No,No,1.681,1.246,No,Yes,1.276,0.498
Aromadendrene,91354,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC1CCC2C1C3C(C3(C)C)CCC2=C,C15H24,204.35,0,0,0,67.14,0.0,3.26,4.71,4.27,5.65,4.34,-4.07,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.146,No,No,1.526,1.332,No,No,1.431,0.429
beta-Calacorene,529621,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC1=CC2=C(C=C1)C(=C)CCC2C(C)C,C15H20,200.32,1,0,0,68.39,0.0,3.11,4.65,4.54,5.36,4.48,-4.24,Low,No,No,No,No,Yes,No,1,0,0.55,0,No,0.362,No,No,2.146,1.379,No,Yes,1.431,-0.734
beta-CARYOPHYLLENE OXIDE,1742210,Nut Grass,Cyperus rotundus L.,PMID: 19701133,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,C15H24O,220.35,0,1,0,68.27,12.53,3.15,3.56,3.94,3.67,3.68,-3.45,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.148,No,No,1.548,1.224,No,Yes,1.079,0.955
Beta-Elemene,6918391,Nut Grass,Cyperus rotundus L.,PMID: 19701133,CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C,C15H24,204.35,3,0,0,70.42,0.0,3.37,6.11,4.75,4.53,4.65,-4.76,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.058,No,No,1.535,1.309,No,Yes,1.901,0.118
beta-Gurjunene,6450812,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC1CCC2C(C2(C)C)C3C1CCC3=C,C15H24,204.35,0,0,0,67.14,0.0,3.24,4.71,4.27,5.65,4.33,-4.07,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.001,No,No,1.538,1.405,No,No,1.425,0.225
beta-Selinene,442393,Nut Grass,Cyperus rotundus L.,PMID: 19701133,CC(=C)C1CCC2(CCCC(=C)C2C1)C,C15H24,204.35,1,0,0,68.78,0.0,3.28,5.44,4.73,4.63,4.5,-4.47,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,Yes,-0.03,No,No,1.581,1.511,No,Yes,1.736,-0.078
Caffeic Acid,689043,Nut Grass,Cyperus rotundus L.,PMID: 19701133,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.145,No,No,2.383,2.092,No,No,0.293,2.246
Carvone,7439,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC1=CCC(CC1=O)C(=C)C,C10H14O,150.22,1,1,0,47.32,17.07,2.27,2.71,2.49,2.1,2.44,-2.41,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.775,No,No,1.86,1.972,No,Yes,0.41,1.445
Caryophyllene,5281515,Nut Grass,Cyperus rotundus L.,PMID: 19701133,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.351,No,No,1.617,1.416,No,Yes,1.401,0.504
Chlorogenic Acid,1794427,Nut Grass,Cyperus rotundus L.,PMID: 19023813,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Cinnamaldehyde,637511,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,C1=CC=C(C=C1)C=CC=O,C9H8O,132.16,2,1,0,41.54,17.07,1.65,1.9,1.79,2.01,1.97,-2.17,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.876,No,No,1.88,1.944,No,Yes,0.665,1.605
cis-Verbenol,164888,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC1=CC(C2CC1C2(C)C)O,C10H16O,152.23,0,1,1,46.38,20.23,2.26,3.16,1.97,2.3,2.31,-2.77,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.547,No,No,1.769,1.82,No,Yes,0.271,1.687
Copaene,19725,Nut Grass,Cyperus rotundus L.,PMID: 19701133,CC1=CCC2C3C1C2(CCC3C(C)C)C,C15H24,204.35,1,0,0,67.14,0.0,3.4,4.47,4.27,5.65,4.3,-3.86,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.302,No,No,1.644,1.356,No,No,1.122,0.128
