Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(R)-4-Methoxydalbergione,442809,Shisham,Dalbergia sissoo,DOI: 10.9790/3013-0702015971,COC1=CC(=O)C(=CC1=O)C(C=C)C2=CC=CC=C2,C16H14O3,254.28,4,3,0,72.62,43.37,2.41,2.75,2.56,1.49,2.54,-3.12,High,Yes,Yes,Yes,Yes,No,No,0,0,0.85,1,No,0.737,No,No,1.971,1.634,No,No,0.954,0.782
2-Oxobutanoic acid,58,Shisham,Dalbergia sissoo,DOI: 10.9790/3013-0702015971,CCC(=O)C(=O)O,C4H6O3,102.09,2,3,1,23.31,54.37,0.46,0.14,0.05,-0.5,0.0,-0.43,High,No,No,No,No,No,No,0,3,0.85,0,No,1.534,No,No,1.63,2.816,No,No,0.142,2.165
2-propanamine,6363,Shisham,Dalbergia sissoo,DOI: 10.9790/3013-0702015971,CC(C)N,C3H9N,59.11,0,1,1,19.24,26.02,1.38,0.09,0.35,0.29,0.35,-0.26,High,No,No,No,No,No,No,0,3,0.55,0,No,1.27,No,No,2.383,1.553,No,No,-0.891,2.343
Acetaldehyde,177,Shisham,Dalbergia sissoo,DOI: 10.9790/3013-0702015971,CC=O,C2H4O,44.05,0,1,0,11.93,17.07,0.8,-0.27,0.21,-0.37,0.07,0.06,Low,No,No,No,No,No,No,0,3,0.55,0,No,1.244,No,No,2.035,1.598,No,No,-1.272,2.656
alpha-L-Rhamnose,439710,Shisham,Dalbergia sissoo,DOI: 10.9790/3013-0702015971,CC1C(C(C(C(O1)O)O)O)O,C6H12O5,164.16,0,5,4,34.57,90.15,0.66,-2.09,-2.19,-1.94,-1.46,0.46,High,No,No,No,No,No,No,0,2,0.55,0,No,1.798,No,No,0.976,3.269,No,No,0.283,4.112
"Benzenemethanol, 2-2-aminopropoxy",93285,Shisham,Dalbergia sissoo,DOI: 10.9790/3013-0702015971,CC1=C(C(=CC=C1)CO)OCC(C)N,C11H17NO2,195.26,4,3,2,56.35,55.48,2.0,0.9,1.06,1.24,1.41,-1.67,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.492,No,No,2.404,1.735,No,No,-0.112,1.692
Beta-Amyrin,73145,Shisham,Dalbergia sissoo,DOI: 10.9790/3013-0702015971,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C,C30H50O,426.72,0,1,1,134.88,20.23,4.74,9.15,8.17,6.92,7.18,-8.25,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.56,No,Yes,2.478,0.873,No,No,0.383,-1.345
beta-D-GALACTOPYRANOSE,439353,Shisham,Dalbergia sissoo,DOI: 10.9790/3013-0702015971,C(C1C(C(C(C(O1)O)O)O)O)O,C6H12O6,180.16,1,6,5,35.74,110.38,0.24,-3.24,-3.22,-2.75,-2.26,1.15,Low,No,No,No,No,No,No,0,2,0.55,0,No,1.896,No,No,1.214,3.897,No,No,0.285,5.083
Beta-Sitosterol,222284,Shisham,Dalbergia sissoo,DOI: 10.9790/3013-0702015971,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Biochanin A,5280373,Shisham,Dalbergia sissoo,DOI: 10.9790/3013-0702015971,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,C16H12O5,284.26,2,5,2,78.46,79.9,2.55,2.99,2.88,0.77,2.44,-3.92,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.4,No,No,1.851,1.142,No,No,0.515,0.681
