Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
12-Deoxywithastramonolide,44576309,Dhatura,Datura metel L.,PMID: 18806950,CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3C5C(O5)C6(C4(C(=O)C=CC6)C)O)C)CO,C28H38O6,470.6,3,6,2,127.49,96.36,3.1,3.97,3.35,2.75,3.42,-5.06,High,No,No,No,Yes,No,No,0,1,0.55,0,No,-0.758,No,No,2.838,1.223,No,No,0.294,0.878
Baimantuoluoline K,102236868,Dhatura,Datura metel L.,PMID: 18806950,CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3C(C=C5C4(C(CC(C5)O)O)C)O)C)CO,C28H42O6,474.63,3,6,4,130.6,107.22,3.32,3.61,3.13,2.84,3.18,-4.86,High,No,No,No,No,No,No,0,2,0.55,0,No,-0.925,No,No,2.22,2.256,Yes,No,0.294,0.552
"3,5-Dihydroxy-6,7-megastigmadien-9-one",10220146,Dhatura,Datura metel L.,PMID: 18806950,CC(=O)C=C=C1C(CC(CC1(C)O)O)(C)C,C13H20O3,224.3,1,3,2,63.02,57.53,1.23,-0.03,1.59,1.14,1.22,-1.15,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.747,No,No,1.719,2.459,No,No,0.268,2.299
Daturafoliside A,102139042,Dhatura,Datura metel L.,PMID: 18806950,CC1=C(CC(OC1=O)C(C)C2CCC3C2(CCC4C3C(C=C5C4(C(CC(C5)OC6C(C(C(C(O6)CO)O)O)O)O)C)O)C)CO,C34H52O11,636.77,6,11,7,162.99,186.37,2.87,1.47,0.95,0.49,1.34,-4.32,Low,No,No,No,No,No,No,3,3,0.17,0,No,-1.984,No,Yes,2.87,2.892,No,No,0.285,4.45
Daturafoliside B,102139043,Dhatura,Datura metel L.,PMID: 18806950,CC1=C(CC(OC1=O)C(C)C2CCC3C2(CCC4C3C(C=C5C4(C(CC(C5)OC6C(C(C(C(O6)CO)O)O)O)O)C)OC)C)CO,C35H54O11,650.8,7,11,6,167.72,175.37,4.06,2.0,1.61,0.67,1.97,-4.67,Low,No,No,No,No,No,No,3,3,0.17,0,No,-1.973,No,Yes,2.87,3.045,No,No,0.285,3.971
Daturafoliside C,102139044,Dhatura,Datura metel L.,PMID: 18806950,CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3C(C=C5C4(C(CC(C5)OC6C(C(C(C(O6)CO)O)O)O)O)C)O)C)CO,C34H52O11,636.77,6,11,7,162.99,186.37,3.48,2.02,0.95,0.49,1.57,-4.66,Low,No,No,No,No,No,No,3,3,0.17,0,No,-1.804,No,Yes,2.827,3.179,No,No,0.285,3.331
Daturafoliside D,102139045,Dhatura,Datura metel L.,PMID: 18806950,CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3C(C=C5C4(C(CC(C5)OC6C(C(C(C(O6)CO)O)O)O)O)C)O)C)COC7C(C(C(C(O7)CO)O)O)O,C40H62O16,798.91,9,16,10,195.37,265.52,3.25,-0.13,-1.22,-1.77,-0.2,-4.12,Low,No,No,No,No,No,No,3,4,0.17,0,No,-2.092,No,Yes,2.835,4.404,No,No,0.285,5.827
Daturafoliside E,102139046,Dhatura,Datura metel L.,PMID: 18806950,CCCCOC1C=C2CC(CC(C2(C3C1C4CCC(C4(CC3)C)C(C)C5CC(=C(C(=O)O5)CO)C)C)O)OC6C(C(C(C(O6)CO)O)O)O,C38H60O11,692.88,10,11,6,182.14,175.37,4.71,3.81,2.78,1.2,3.05,-5.88,Low,No,No,No,No,No,No,3,3,0.17,0,No,-1.594,No,Yes,2.653,2.404,No,No,0.285,3.486
Daturafoliside F,102139047,Dhatura,Datura metel L.,PMID: 18806950,CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3C(C=C5C4(C(=O)CC(C5)O)C)O)C)COC6C(C(C(C(O6)CO)O)O)O,C34H50O11,634.75,6,11,6,162.03,183.21,3.29,1.17,1.16,0.4,1.51,-4.12,Low,No,No,No,No,No,No,3,3,0.17,0,No,-1.766,No,Yes,2.827,3.085,No,No,0.285,3.074
Daturafoliside G,102139048,Dhatura,Datura metel L.,PMID: 18806950,CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3C(C=C5C4(C(=O)CC(C5)OC)C)O)C)COC6C(C(C(C(O6)CO)O)O)O,C35H52O11,648.78,7,11,5,166.76,172.21,3.4,1.71,1.81,0.58,1.92,-4.48,Low,No,No,No,No,No,No,2,3,0.17,0,No,-1.759,No,Yes,2.806,2.888,No,No,0.285,2.594
