Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"2,7-Dihydroxy-4,6-dimethoxyphenanthrene",44572330,Chupri alu,Dioscorea alata L.,PMID: 36985850,COC1=C2C(=CC(=C1)O)C=CC3=CC(=C(C=C32)OC)O,C16H14O4,270.28,2,4,2,78.48,58.92,2.46,3.65,3.42,2.1,2.94,-4.2,High,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0.55,0,Yes,-0.133,No,Yes,2.518,1.255,No,No,0.361,0.018
Allantoin,204,Chupri alu,Dioscorea alata L.,PMID: 36985850,C1(C(=O)NC(=O)N1)NC(=O)N,C4H6N4O3,158.12,2,3,4,39.55,113.32,-0.28,-2.17,-2.94,-1.85,-1.85,0.68,Low,No,No,No,No,No,No,0,4,0.55,0,No,1.575,No,No,2.037,2.553,No,No,0.268,4.307
Caryatin,5489501,Chupri alu,Dioscorea alata L.,PMID: 36985850,COC1=CC(=CC2=C1C(=O)C(=C(O2)C3=CC(=C(C=C3)O)O)OC)O,C17H14O7,330.29,3,7,3,86.97,109.36,1.99,2.27,2.59,-0.07,1.88,-3.61,High,No,Yes,No,Yes,Yes,Yes,0,0,0.55,1,No,0.52,No,No,2.347,2.077,No,No,0.329,1.794
Catechins,1203,Chupri alu,Dioscorea alata L.,PMID: 36985850,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
Dioscin,119245,Chupri alu,Dioscorea alata L.,PMID: 36985850,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1,C45H72O16,869.04,7,16,8,216.42,235.68,3.93,1.34,1.24,-0.73,0.98,-5.61,Low,No,No,No,No,No,No,3,3,0.17,0,No,-2.949,No,Yes,3.059,2.668,No,No,0.285,9.37
Epicatechin,72276,Chupri alu,Dioscorea alata L.,PMID: 36985850,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
Gallic acid,370,Chupri alu,Dioscorea alata L.,PMID: 36985850,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,No,0.7,No,No,2.218,3.06,No,No,0.285,3.188
Gracillin,159861,Chupri alu,Dioscorea alata L.,PMID: 36985850,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)O)OC8C(C(C(C(O8)CO)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1,C45H72O17,885.04,8,17,9,217.58,255.91,4.35,1.39,0.21,-1.46,0.6,-5.67,Low,No,No,No,No,No,No,3,3,0.17,0,No,-3.011,No,Yes,2.989,2.472,No,No,0.285,10.67
Protodioscin,441891,Chupri alu,Dioscorea alata L.,PMID: 36985850,CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)C)O)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC1(CCC(C)COC9C(C(C(C(O9)CO)O)O)O)O,C51H84O22,1049.2,14,22,13,252.16,346.06,4.48,-1.25,-1.98,-3.68,-1.09,-4.63,Low,No,No,No,No,No,No,3,4,0.17,0,No,-1.238,No,Yes,2.722,4.85,No,No,0.285,11.419
Protogracillin,441892,Chupri alu,Dioscorea alata L.,PMID: 36985850,CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)O)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC1(CCC(C)COC9C(C(C(C(O9)CO)O)O)O)O,C51H84O23,1065.2,15,23,14,253.32,366.29,4.0,-1.2,-3.01,-4.39,-1.64,-4.7,Low,No,No,No,No,No,No,3,4,0.17,0,No,-0.998,No,Yes,2.694,4.848,No,No,0.285,12.719
