Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Apigenin 8-C-glucoside,5280441,Branched Wood Fern,Dryopteris ramosa,PMID: 36387559,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O,C21H20O10,432.38,3,10,7,106.61,181.05,1.38,0.21,-0.23,-2.02,-0.07,-2.84,Low,No,No,No,No,No,No,1,0,0.55,0,No,0.577,No,No,2.595,4.635,No,No,0.285,4.897
Caffeic acid,689043,Branched Wood Fern,Dryopteris ramosa,PMID: 36387559,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.145,No,No,2.383,2.092,No,No,0.293,2.246
Dalbinol,44593485,Branched Wood Fern,Dryopteris ramosa,PMID: 36387559,COC1=C(C=C2C(=C1)C3(C(CO2)OC4=C(C3=O)C=CC5=C4CC(O5)C(=C)CO)O)OC,C23H22O8,426.42,4,8,2,108.36,103.68,3.16,2.12,1.67,0.35,2.12,-3.84,High,No,No,No,Yes,Yes,Yes,0,0,0.55,0,No,0.07,No,No,2.772,2.784,No,No,0.293,1.852
Eriodictyol,440735,Branched Wood Fern,Dryopteris ramosa,PMID: 36387559,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,C15H12O6,288.25,1,6,4,73.59,107.22,1.62,2.02,1.89,0.16,1.45,-3.26,High,No,No,No,No,No,Yes,0,0,0.55,1,No,0.014,No,No,2.03,2.475,No,No,0.332,2.972
Kaempferol,5280863,Branched Wood Fern,Dryopteris ramosa,PMID: 36387559,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.531,No,No,2.449,2.505,No,No,0.312,2.885
Loliolid,100332,Branched Wood Fern,Dryopteris ramosa,PMID: 36387559,CC1(CC(CC2(C1=CC(=O)O2)C)O)C,C11H16O3,196.24,0,3,1,52.51,46.53,1.88,1.0,1.41,1.49,1.53,-1.69,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.783,No,No,1.94,2.412,No,No,0.037,2.224
Luteolin 6-C-glucoside,114776,Branched Wood Fern,Dryopteris ramosa,PMID: 36387559,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O)O,C21H20O11,448.38,3,11,8,108.63,201.28,2.12,-0.15,-0.53,-2.51,-0.24,-2.7,Low,No,No,No,No,No,No,2,1,0.17,1,No,0.592,No,No,2.55,5.208,No,No,0.285,6.015
Naringenin,439246,Branched Wood Fern,Dryopteris ramosa,PMID: 36387559,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,C15H12O5,272.25,1,5,3,71.57,86.99,1.75,2.52,2.19,0.71,1.84,-3.49,High,No,Yes,No,No,No,Yes,0,0,0.55,0,No,-0.176,No,No,1.791,1.944,No,No,0.369,2.136
Paniculatin,169419,Branched Wood Fern,Dryopteris ramosa,PMID: 36387559,C1=CC(=CC=C1C2=COC3=C(C(=C(C(=C3C2=O)O)C4C(C(C(C(O4)CO)O)O)O)O)C5C(C(C(C(O5)CO)O)O)O)O,C27H30O15,594.52,5,15,11,139.23,271.2,1.07,-2.26,-3.04,-4.51,-2.11,-2.05,Low,No,No,No,No,No,No,3,4,0.17,0,No,0.434,No,Yes,2.485,5.664,No,No,0.285,11.118
Protocatechuic acid ,72,Branched Wood Fern,Dryopteris ramosa,PMID: 36387559,C1=CC(=C(C=C1C(=O)O)O)O,C7H6O4,154.12,1,4,3,37.45,77.76,0.66,1.15,0.8,0.4,0.65,-1.86,High,No,No,No,No,No,Yes,0,3,0.56,1,No,0.814,No,No,2.423,2.021,No,No,0.273,2.451
Quercetin,5280343,Branched Wood Fern,Dryopteris ramosa,PMID: 36387559,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.24,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.23,-3.16,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.471,2.612,No,No,0.288,3.721
