Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(-)-Kaurene,10901750,Bhringraj,Eclipta prostrata L.,PMID: 19413125,CC1(CCCC2(C1CCC34C2CCC(C3)C(=C)C4)C)C,C20H32,272.47,0,0,0,88.54,0.0,3.74,6.91,5.98,6.84,5.78,-5.88,Low,No,Yes,Yes,Yes,No,No,1,1,0.55,0,No,-0.647,No,Yes,2.144,1.347,No,No,0.528,-0.95
(+)-Cyclosativene,519960,Bhringraj,Eclipta prostrata L.,PMID: 19413125,CC(C)C1CCC2(C3C1C4C2(C4C3)C)C,C15H24,204.35,1,0,0,65.24,0.0,3.24,4.87,3.96,5.8,4.32,-4.11,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.32,No,No,1.689,1.366,No,No,0.681,0.159
2-(4-Methylphenyl)propan-2-ol,14529,Bhringraj,Eclipta prostrata L.,PMID: 19413125,CC1=CC=C(C=C1)C(C)(C)O,C10H14O,150.22,1,1,1,47.03,20.23,2.17,1.99,2.11,2.49,2.25,-2.36,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,0.884,No,No,2.015,1.928,Yes,Yes,0.245,1.513
"4-Terpineol, (+/-)-",11230,Bhringraj,Eclipta prostrata L.,PMID: 19413125,CC1=CCC(CC1)(C(C)C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.51,3.26,2.5,2.3,2.6,-2.78,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.857,No,No,1.811,2.02,No,Yes,0.189,1.545
7-epi-Silphiperfol-5-ene,74819460,Bhringraj,Eclipta prostrata L.,PMID: 19413125,CC1CCC23C1CCC2(C=C(C3C)C)C,C15H24,204.35,0,0,0,66.88,0.0,3.27,4.84,4.42,5.65,4.42,-4.16,Low,No,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.225,No,No,1.581,1.372,No,No,1.45,0.246
alpha-Eudesmol,92762,Bhringraj,Eclipta prostrata L.,PMID: 19413125,CC1=CCCC2(C1CC(CC2)C(C)(C)O)C,C15H26O,222.37,1,1,1,70.46,20.23,3.18,3.5,3.92,3.67,3.52,-3.36,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.131,No,No,1.68,1.231,No,Yes,1.522,0.819
Alpha-Farnesene,5281516,Bhringraj,Eclipta prostrata L.,PMID: 19413125,CC(=CCCC(=CCC=C(C)C=C)C)C,C15H24,204.35,6,0,0,72.32,0.0,3.89,6.12,5.2,4.84,4.96,-4.57,Low,No,Yes,No,Yes,No,No,1,0,0.55,0,No,0.179,No,No,1.467,1.367,No,Yes,2.07,-0.327
alpha-Muurolene,12306047,Bhringraj,Eclipta prostrata L.,PMID: 19413125,CC1=CC2C(CC1)C(=CCC2C(C)C)C,C15H24,204.35,1,0,0,69.04,0.0,3.38,4.08,4.58,4.63,4.08,-3.61,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.129,No,No,1.53,1.382,No,Yes,1.622,0.365
alpha-PHELLANDRENE,7460,Bhringraj,Eclipta prostrata L.,PMID: 19413125,CC1=CCC(C=C1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.64,3.21,3.16,3.27,2.97,-2.64,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.754,No,No,1.741,2.328,No,No,0.638,0.942
alpha-Santalene,94164,Bhringraj,Eclipta prostrata L.,PMID: 19413125,CC(=CCCC1(C2CC3C1(C3C2)C)C)C,C15H24,204.35,3,0,0,66.88,0.0,3.43,5.21,4.42,5.65,4.59,-4.19,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.288,No,No,1.567,1.358,No,No,1.193,0.226
