Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
caffeic acid,689043,Finger millet,Eleusine coracana,PMID: 24876635,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.431,No,No,1.91,3.07,No,No,0.181,2.082
Ferulic acid,445858,Finger millet,Eleusine coracana,PMID: 24876635,COC1=C(C=CC(=C1)C=CC(=O)O)O,C10H10O4,194.18,3,4,2,51.63,66.76,1.62,1.51,1.39,1.0,1.36,-2.11,High,Yes,No,No,No,No,No,0,0,0.85,0,Yes,1.502,No,No,2.105,2.753,No,No,0.548,1.649
Gallic acid,370,Finger millet,Eleusine coracana,PMID: 24876635,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,Yes,1.591,No,No,2.014,1.562,No,No,-0.343,2.074
Gentisic acid,3469,Finger millet,Eleusine coracana,DOI: 10.1016/j.fbio.2017.06.008,C1=CC(=C(C=C1O)C(=O)O)O,C7H6O4,154.12,1,4,3,37.45,77.76,0.49,1.74,0.8,0.4,0.74,-2.23,High,No,No,No,No,No,Yes,0,3,0.56,0,Yes,1.666,No,No,1.979,2.957,No,No,-0.451,1.967
p- coumaric acid,637542,Finger millet,Eleusine coracana,PMID: 24876635,C1=CC(=CC=C1C=CC(=O)O)O,C9H8O3,164.16,2,3,2,45.13,57.53,0.95,1.46,1.38,1.28,1.26,-2.02,High,Yes,No,No,No,No,No,0,0,0.85,0,Yes,1.624,No,No,1.965,2.882,No,No,0.005,1.696
p-hydroxybenzoic acid,135,Finger millet,Eleusine coracana,PMID: 24876635,C1=CC(=CC=C1C(=O)O)O,C7H6O3,138.12,1,3,2,35.42,57.53,0.85,1.58,1.09,0.99,1.05,-2.07,High,Yes,No,No,No,No,No,0,3,0.85,0,No,1.736,No,No,1.928,2.925,No,No,-0.512,1.86
Proanthocyanidins,107876,Finger millet,Eleusine coracana,PMID: 24876635,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC4(C(C(C5=C(C=C(C=C5O4)O)O)O)O)C6=CC(=C(C=C6)O)O,C30H26O13,594.52,4,13,10,147.52,229.99,2.17,1.95,1.98,-0.6,1.23,-4.9,Low,No,No,No,No,No,No,3,2,0.17,1,No,-0.781,No,Yes,2.398,1.148,No,No,0.294,1.514
protocatechuic acid,72,Finger millet,Eleusine coracana,PMID: 24876635,C1=CC(=C(C=C1C(=O)O)O)O,C7H6O4,154.12,1,4,3,37.45,77.76,0.66,1.15,0.8,0.4,0.65,-1.86,High,No,No,No,No,No,Yes,0,3,0.56,1,Yes,1.666,No,No,1.979,2.957,No,No,-0.451,1.967
Quercetin,5280343,Finger millet,Eleusine coracana,PMID: 24876635,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.24,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.23,-3.16,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,Yes,0.464,No,No,2.536,1.396,No,No,1.03,1.796
Salicylic acid,338,Finger millet,Eleusine coracana,DOI: 10.1016/j.fbio.2017.06.008,C1=CC=C(C(=C1)C(=O)O)O,C7H6O3,138.12,1,3,2,35.42,57.53,1.13,2.26,1.09,0.99,1.24,-2.5,High,Yes,No,No,No,No,No,0,3,0.85,0,No,1.736,No,No,1.928,2.925,No,No,-0.512,1.86
sinapic acid,637775,Finger millet,Eleusine coracana,PMID: 24876635,COC1=CC(=CC(=C1O)OC)C=CC(=O)O,C11H12O5,224.21,4,5,2,58.12,75.99,1.63,1.46,1.4,0.73,1.31,-2.16,High,No,No,No,No,No,No,0,0,0.56,0,Yes,1.38,No,No,2.235,1.555,No,No,1.011,1.601
syringic acid,10742,Finger millet,Eleusine coracana,PMID: 24876635,COC1=CC(=CC(=C1O)OC)C(=O)O,C9H10O5,198.17,3,5,2,48.41,75.99,1.54,1.04,1.11,0.49,0.99,-1.84,High,No,No,No,No,No,No,0,0,0.56,0,Yes,1.493,No,No,2.191,1.566,No,No,0.54,1.766
vanillic acid,8468,Finger millet,Eleusine coracana,PMID: 24876635,COC1=C(C=CC(=C1)C(=O)O)O,C8H8O4,168.15,2,4,2,41.92,66.76,1.4,1.43,1.1,0.74,1.08,-2.02,High,No,No,No,No,No,No,0,0,0.85,0,Yes,1.616,No,No,2.063,2.796,No,No,0.026,1.813
