Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(E)-beta-Ocimene,5281553,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CC(=CCC=C(C)C=C)C,C10H16,136.23,3,0,0,48.76,0.0,2.8,4.26,3.48,3.56,3.4,-3.17,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.636,No,No,1.636,2.427,No,No,0.792,0.784
(E)-Caryophyllene,5281515,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.351,No,No,1.617,1.416,No,Yes,1.401,0.504
1-Octen-3-ol,18827,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CCCCCC(C=C)O,C8H16O,128.21,5,1,1,41.26,20.23,2.33,2.55,2.11,2.07,2.21,-1.91,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.849,No,No,1.722,1.915,No,Yes,-0.017,1.413
alpha-Humulene,5281520,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CC1=CCC(C=CCC(=CCC1)C)(C)C,C15H24,204.35,0,0,0,70.42,0.0,3.27,4.55,5.04,4.53,4.26,-3.97,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.551,No,No,1.766,1.336,No,Yes,1.451,0.716
alpha-Pinene,6654,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CC1=CCC2CC1C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.48,No,No,1.77,2.262,No,No,0.45,1.159
Baicalein 7-O-diglucoside,10077207,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)COC5C(C(C(C(O5)CO)O)O)O)O)O)O)O)O,C27H30O15,594.52,7,15,9,138.49,249.2,1.9,-0.33,-2.13,-3.69,-1.2,-3.14,Low,No,No,No,No,No,No,3,4,0.17,1,No,0.371,No,Yes,2.488,5.125,No,No,0.285,10.29
Baicalein 7-O-glucoside,5320313,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O10,432.38,4,10,6,106.11,170.05,2.54,0.86,0.05,-1.61,0.44,-3.18,Low,No,No,No,No,No,No,1,0,0.55,1,No,0.529,No,No,2.597,4.493,No,No,0.285,5.46
beta-Carotene,5280489,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,C40H56,536.87,10,0,0,184.43,0.0,7.79,13.54,12.61,8.96,11.11,-11.04,Low,No,No,No,No,No,No,2,4,0.17,0,Yes,-0.379,No,Yes,2.073,0.65,No,No,0.326,-4.028
Camphor,2537,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CC1(C2CCC1(C(=O)C2)C)C,C10H16O,152.23,0,1,0,45.64,17.07,2.12,2.19,2.4,2.3,2.37,-2.16,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.473,No,No,1.653,1.981,No,Yes,0.233,1.458
"cis-1,2-Dihydroperillaldehyde",527108,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CC(=C)C1CCC(CC1)C=O,C10H16O,152.23,2,1,0,47.8,17.07,2.24,2.79,2.57,2.2,2.49,-2.41,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.524,No,No,1.596,2.084,No,Yes,0.505,0.987
Enhydrin,5281441,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CC1C(O1)(C)C(=O)OC2C3C(C4C(O4)(CCC=C(C2OC(=O)C)C(=O)OC)C)OC(=O)C3=C,C23H28O10,464.46,7,10,0,110.66,130.26,3.13,1.37,1.16,0.86,1.79,-3.12,High,No,No,No,No,No,No,0,0,0.55,0,No,0.051,No,No,4.451,1.711,No,No,0.285,4.219
Fluctuadin,101915963,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CC(=C)C(=O)OC1C2C(C3C(O3)(CCC=C(C1OC(=O)C)C(=O)OC)C)OC(=O)C2=C,C22H26O9,434.44,7,9,0,106.37,117.73,2.97,2.02,1.55,1.34,2.06,-3.34,High,No,No,No,No,No,No,0,0,0.55,0,No,0.183,No,No,4.112,1.705,No,No,0.28,3.602
Fluctuanin,134692058,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CC=C(C)C(=O)OC1C2C(C3C(O3)(CCC=C(C1OC(=O)C)C(=O)OC)C)OC(=O)C2=C,C23H28O9,448.46,7,9,0,111.17,117.73,2.55,2.25,1.94,1.55,2.18,-3.58,High,No,No,No,No,No,No,0,0,0.55,0,Yes,0.131,No,No,4.075,1.759,No,No,0.281,3.375
Gibberellin A13,10883375,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CC1(C(CCC2(C1C(C34C2CCC(C3)C(=C)C4)C(=O)O)C(=O)O)O)C(=O)O,C20H26O7,378.42,3,7,4,95.02,132.13,1.1,1.78,2.0,1.9,1.59,-3.11,High,No,No,No,No,No,No,0,0,0.56,0,No,0.438,No,No,2.476,2.874,No,No,0.285,2.257
Gibberellin A9,5281984,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CC12CCCC3(C1C(C45C3CCC(C4)C(=C)C5)C(=O)O)OC2=O,C19H24O4,316.39,1,4,1,84.98,63.6,2.37,2.65,3.17,3.39,2.94,-3.41,High,Yes,No,No,No,No,No,0,0,0.85,0,No,-0.072,No,No,2.065,1.717,No,No,0.285,0.522
Kauran-16-ol,623309,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CC1(CCCC2(C1CCC34C2CCC(C3)C(C4)(C)O)C)C,C20H34O,290.48,0,1,1,90.22,20.23,3.54,5.94,5.17,5.0,4.86,-5.38,High,Yes,Yes,No,Yes,No,No,1,0,0.55,0,No,-0.917,No,Yes,2.101,1.165,No,Yes,0.799,-0.221
Limonene,22311,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CC1=CCC(CC1)C(=C)C,C10H16,136.23,1,0,0,47.12,0.0,2.72,4.57,3.31,3.27,3.37,-3.5,Low,Yes,No,No,Yes,No,No,0,1,0.55,0,No,0.777,No,No,1.88,2.336,No,Yes,0.579,1.203
Linalool,6549,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CC(=CCCC(C)(C=C)O)C,C10H18O,154.25,4,1,1,50.44,20.23,2.7,2.97,2.67,2.59,2.66,-2.4,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.774,No,No,1.704,2.024,No,Yes,0.515,1.277
Longiverbenone,530428,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CC1=CC(=O)C2C3C1C2(CCCC3(C)C)C,C15H22O,218.33,0,1,0,67.08,17.07,2.83,3.55,3.59,3.56,3.42,-3.43,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.185,No,No,1.838,1.165,No,Yes,0.785,0.999
Myrcene,31253,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CC(=CCCC(=C)C=C)C,C10H16,136.23,4,0,0,48.76,0.0,2.89,4.17,3.48,3.56,3.43,-3.05,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.617,No,No,1.643,2.406,No,No,0.894,0.736
Myricyl alcohol,68972,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,C30H62O,438.81,28,1,1,147.49,20.23,7.67,14.7,10.92,7.46,10.52,-9.97,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.363,No,Yes,1.914,0.709,No,Yes,0.29,-4.301
Perillaldehyde,16441,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CC(=C)C1CCC(=CC1)C=O,C10H14O,150.22,2,1,0,47.32,17.07,2.16,3.13,2.49,2.1,2.5,-2.61,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.735,No,No,2.057,2.009,No,Yes,0.602,1.415
"Stigmasta-5,22,25-trien-3beta-ol",91179916,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(=C)C,C29H46O,410.67,5,1,1,132.28,20.23,4.85,8.66,7.72,6.53,6.93,-7.51,Low,No,No,No,Yes,No,No,1,3,0.55,0,No,-0.678,No,Yes,2.324,0.808,No,No,0.548,-1.565
Stigmasterol,5280794,Helencha,Enhydra fluctuanas Lour.,DOI: 10.2174/1389201021666200922161529,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H48O,412.69,5,1,1,132.75,20.23,5.01,8.56,7.8,6.62,6.97,-7.46,Low,No,No,No,Yes,No,No,1,3,0.55,0,No,-0.664,No,Yes,2.54,0.872,No,No,0.433,-1.675
