Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(E) beta ocimene,5281553,Kuppameni,Enhydra fluctuans Lour.,PMID: 32962612,CC(=CCC=C(C)C=C)C,C10H16,136.23,3,0,0,48.76,0.0,2.8,4.26,3.48,3.56,3.4,-3.17,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.636,No,No,1.636,2.427,No,No,0.792,0.784
1-octen-3-ol,18827,Kuppameni,Enhydra fluctuans Lour.,PMID: 32962612,CCCCCC(C=C)O,C8H16O,128.21,5,1,1,41.26,20.23,2.33,2.55,2.11,2.07,2.21,-1.91,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.849,No,No,1.722,1.915,No,Yes,-0.017,1.413
Alpha pinene,6654,Kuppameni,Enhydra fluctuans Lour.,PMID: 32962612,CC1=CCC2CC1C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.48,No,No,1.77,2.262,No,No,0.45,1.159
Alpha-humulene,5281520,Kuppameni,Enhydra fluctuans Lour.,PMID: 32962612,CC1=CCC(C=CCC(=CCC1)C)(C)C,C15H24,204.35,0,0,0,70.42,0.0,3.27,4.55,5.04,4.53,4.26,-3.97,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.551,No,No,1.766,1.336,No,Yes,1.451,0.716
Camphor,2537,Kuppameni,Enhydra fluctuans Lour.,PMID: 32962612,CC1(C2CCC1(C(=O)C2)C)C,C10H16O,152.23,0,1,0,45.64,17.07,2.12,2.19,2.4,2.3,2.37,-2.16,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.473,No,No,1.653,1.981,No,Yes,0.233,1.458
Caryophyllene,5281515,Kuppameni,Enhydra fluctuans Lour.,PMID: 32962612,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.351,No,No,1.617,1.416,No,Yes,1.401,0.504
Limonene,22311,Kuppameni,Enhydra fluctuans Lour.,PMID: 32962612,CC1=CCC(CC1)C(=C)C,C10H16,136.23,1,0,0,47.12,0.0,2.72,4.57,3.31,3.27,3.37,-3.5,Low,Yes,No,No,Yes,No,No,0,1,0.55,0,No,0.777,No,No,1.88,2.336,No,Yes,0.579,1.203
Linalool,6549,Kuppameni,Enhydra fluctuans Lour.,PMID: 32962612,CC(=CCCC(C)(C=C)O)C,C10H18O,154.25,4,1,1,50.44,20.23,2.7,2.97,2.67,2.59,2.66,-2.4,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.774,No,No,1.704,2.024,No,Yes,0.515,1.277
Longiverbenone,530428,Kuppameni,Enhydra fluctuans Lour.,PMID: 32962612,CC1=CC(=O)C2C3C1C2(CCCC3(C)C)C,C15H22O,218.33,0,1,0,67.08,17.07,2.83,3.55,3.59,3.56,3.42,-3.43,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.185,No,No,1.838,1.165,No,Yes,0.785,0.999
Myrcene,31253,Kuppameni,Enhydra fluctuans Lour.,PMID: 32962612,CC(=CCCC(=C)C=C)C,C10H16,136.23,4,0,0,48.76,0.0,2.89,4.17,3.48,3.56,3.43,-3.05,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.617,No,No,1.643,2.406,No,No,0.894,0.736
