Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"1-(2-Methoxy-1-methylethoxy)-2-propanol, TMS derivative",91709807,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,CC(COC)OCC(C)O[Si](C)(C)C,C10H24O3Si,220.38,7,3,0,61.31,27.69,3.38,2.07,2.28,1.03,1.88,-2.05,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.578,No,No,2.324,1.681,No,Yes,0.691,1.611
"1,2,5,6-Hexanetetrol, tetrakis-O-(trimethylsilyl)-",552914,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,C[Si](C)(C)OCC(CCC(CO[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C,C18H46O4Si4,438.9,13,4,0,124.45,36.92,5.75,6.18,5.91,2.28,3.91,-5.6,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.145,No,No,3.093,0.151,No,No,0.931,0.478
"1,5-Anhydroglucitol, TMS",529471,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,C[Si](C)(C)OCC1C(C(C(CO1)O[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C,C18H44O5Si4,452.88,9,5,0,123.42,46.15,5.33,5.22,4.9,1.05,2.89,-5.34,High,Yes,No,No,No,Yes,No,0,1,0.55,0,Yes,-0.16,No,No,3.389,0.12,Yes,No,0.507,1.297
1-Butanamine,521517,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,CCC(C)CN=CC(C)CC,C10H21N,155.28,5,1,0,53.87,12.36,3.05,2.93,3.15,2.7,3.02,-2.32,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.661,No,No,2.007,2.062,No,Yes,1.339,0.909
1-Ethyl-1-cyclohexyloxy-1-silacyclopentane,568272,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,CC[Si]1(CCCC1)OC2CCCCC2,C12H24OSi,212.4,3,1,0,64.52,9.23,3.4,4.31,4.09,3.02,3.44,-3.67,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.34,No,No,2.303,1.104,No,Yes,1.067,1.156
"1-Trimethylsiloxy-3,7,11,15-tetramethyl-2-hexadecene",5372684,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,CC(C)CCCC(C)CCCC(C)CCCC(=CCO[Si](C)(C)C)C,C23H48OSi,368.71,15,1,0,121.15,9.23,6.16,10.15,8.22,5.91,7.41,-7.53,Low,No,No,No,No,No,No,1,2,0.55,0,No,0.115,No,Yes,1.903,0.769,No,Yes,1.35,-2.43
"2,2,6,6,9,9-Hexamethyl-3,8-dioxa-2,9-disiladecan-5-one",91696622,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,CC(C)(CO[Si](C)(C)C)C(=O)CO[Si](C)(C)C,C12H28O3Si2,276.52,7,3,0,77.64,35.53,3.3,3.39,3.28,1.46,2.31,-3.23,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.466,No,No,2.753,0.913,No,Yes,0.871,0.847
"2,4-Dimethyl-3-pentanol",11752,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,CC(C)C(C(C)C)O,C7H16O,116.2,2,1,1,36.92,20.23,2.23,2.27,1.66,1.89,1.85,-1.86,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.947,No,No,1.625,1.864,No,Yes,-0.322,1.532
2-[(Trimethylsilyl)oxy]phenol,554738,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,C[Si](C)(C)OC1=CC=CC=C1O,C9H14O2Si,182.29,2,2,1,52.44,29.46,2.28,2.96,2.61,1.8,2.04,-3.07,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,0.528,No,No,2.495,1.486,No,Yes,0.751,1.506
"24-Norursa-3,12-diene",91735342,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC=C5C)C)C)C2C1C)C)C,C29H46,394.68,0,0,0,128.96,0.0,4.76,9.1,8.58,7.7,7.41,-8.02,Low,No,No,No,No,No,No,1,2,0.55,0,No,-0.247,No,Yes,2.062,1.028,No,No,0.388,-1.798
2-Ethoxyethanol,552399,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,CCOCCO[Si](C)(C)C,C7H18O2Si,162.3,5,2,0,45.8,18.46,3.0,1.72,1.87,0.96,1.53,-1.6,High,Yes,No,No,No,No,No,0,0,0.55,0,Yes,0.749,No,No,2.243,1.806,No,Yes,0.459,1.931
"2-Ethyl-1,3-bis(trimethylsilyloxy)propane",590008,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,CCC(CO[Si](C)(C)C)CO[Si](C)(C)C,C11H28O2Si2,248.51,7,2,0,72.9,18.46,3.86,3.93,3.72,2.2,2.79,-3.39,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.46,No,No,2.551,1.819,No,Yes,1.77,0.665
"2H-Pyran-2-one, tetrahydro-4-hydroxy-6-pentyl-",538589,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,CCCCCC1CC(CC(=O)O1)O,C10H18O3,186.25,4,3,1,50.52,46.53,2.17,1.96,1.63,1.31,1.81,-1.97,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.678,No,No,1.839,2.63,No,No,0.052,1.233
3-Methylbutanoic acid,187882,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,CC(C)CC(=O)O[Si](C)(C)C,C8H18O2Si,174.31,4,2,0,49.72,26.3,2.97,2.8,2.41,1.96,2.1,-2.42,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.768,No,No,2.218,2.112,No,Yes,0.629,1.08
"4H-Pyran-4-one, 2,3-dihydro-3,5-dihydroxy-6-methyl",119838,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,CC1=C(C(=O)C(CO1)O)O,C6H8O4,144.13,0,4,2,32.39,66.76,1.19,-0.37,-0.26,-1.77,-0.22,-0.5,High,No,No,No,No,No,No,0,3,0.85,0,Yes,1.507,No,No,1.395,2.662,No,No,0.11,2.771
4-Trimethylsilyloxy-5-(trimethylsilyloxymethyl)oxolan-2-one,523334,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,C[Si](C)(C)OCC1C(CC(=O)O1)O[Si](C)(C)C,C11H24O4Si2,276.48,5,4,0,72.07,44.76,3.39,2.51,2.37,0.75,1.66,-2.81,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.254,No,No,3.031,0.86,No,No,-0.019,1.422
"5,5-Dimethyl-2-trimethylsilyl-1,2,3,4,4a,5,6,7-octahydronaphthalen-2-ol",552494,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,CC1(CCC=C2C1CCC(C2)(O)[Si](C)(C)C)C,C15H28OSi,252.47,1,1,1,78.29,20.23,3.3,4.24,4.14,3.67,3.53,-4.01,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.324,No,No,2.1,1.029,No,Yes,1.355,1.125
"5,6,7,7-Tetramethyl-octa-3,5-dien-2-one",5371333,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,CC(=C(C)C(C)(C)C)C=CC(=O)C,C12H20O,180.29,3,1,0,58.79,17.07,2.75,3.97,3.51,3.06,3.27,-3.26,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.42,No,No,1.582,1.409,No,Yes,1.121,0.386
6-Methyl-2-tridecanone,547006,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,CCCCCCCC(C)CCCC(=O)C,C14H28O,212.37,10,1,0,69.61,17.07,3.62,5.36,4.74,3.8,4.46,-3.87,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.308,No,No,1.585,1.207,No,Yes,2.198,-0.499
"9,12-Octadecadienoic acid (Z,Z)-, trimethylsilyl ester",5352430,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,CCCCCC=CCC=CCCCCCCCC(=O)O[Si](C)(C)C,C21H40O2Si,352.63,16,2,0,111.27,26.3,5.85,8.33,7.18,5.15,6.46,-6.22,Low,No,Yes,No,Yes,No,No,1,1,0.55,0,No,-0.046,No,No,1.998,2.865,No,Yes,1.392,-2.046
"Acetin, bis-1,3-trimethylsilyl ether",91696644,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,CC(=O)OC(CO[Si](C)(C)C)CO[Si](C)(C)C,C11H26O4Si2,278.49,8,4,0,74.18,44.76,3.49,2.73,2.62,1.14,1.89,-2.76,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.58,No,No,2.859,0.808,No,No,0.032,1.514
Bis(2-ethylhexyl) phthalate,8343,Himalayan horsetail,Equisetum diffusum ,DOI: 10.21203/rs.3.rs-2663599/v2,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,C24H38O4,390.56,16,4,0,116.3,52.6,4.77,7.45,6.43,5.24,6.17,-6.06,High,No,No,No,Yes,No,Yes,1,1,0.55,0,No,1.393,No,Yes,1.451,2.535,No,No,0.779,-2.266
