Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
6-Hydroxygenistein,6063386,Indian coral tree,Erythrina variegata,PMID: 22228954,C1=CC(=CC=C1C2=COC3=C(C2=O)C(=C(C(=C3)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,2.06,2.31,2.28,-0.03,1.73,-3.57,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.633,No,No,2.493,2.929,No,No,0.299,2.411
Alpinum isoflavone,5490139,Indian coral tree,Erythrina variegata,PMID: 22228954,CC1(C=CC2=C(O1)C=C3C(=C2O)C(=O)C(=CO3)C4=CC=C(C=C4)O)C,C20H16O5,336.34,1,5,2,96.09,79.9,2.47,3.94,3.95,1.64,3.18,-4.82,High,No,Yes,No,Yes,No,Yes,0,0,0.55,0,No,0.014,No,Yes,2.476,1.588,Yes,No,0.336,0.011
Epilupeol,5270628,Indian coral tree,Erythrina variegata,PMID: 22228954,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C,C30H50O,426.72,1,1,1,135.14,20.23,4.68,9.87,8.02,6.92,7.26,-8.64,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.502,No,Yes,2.563,0.89,No,No,0.316,-1.696
Erysodine,169017,Indian coral tree,Erythrina variegata,PMID: 22228954,COC1CC23C(=CCN2CCC4=CC(=C(C=C34)OC)O)C=C1,C18H21NO3,299.36,2,4,1,88.64,41.93,2.93,1.82,1.88,1.89,2.14,-2.91,High,Yes,No,No,No,Yes,No,0,0,0.55,0,No,-0.524,No,No,2.973,0.703,Yes,No,0.805,1.128
Erysotrine,442219,Indian coral tree,Erythrina variegata,PMID: 22228954,COC1CC23C(=CCN2CCC4=CC(=C(C=C34)OC)OC)C=C1,C19H23NO3,313.39,3,4,0,93.11,30.93,3.32,2.14,2.18,2.13,2.49,-3.13,High,Yes,No,No,No,Yes,No,0,0,0.55,0,No,-0.653,No,No,2.949,1.085,Yes,No,1.02,0.737
Erysovine,5317203,Indian coral tree,Erythrina variegata,PMID: 22228954,COC1CC23C(=CCN2CCC4=CC(=C(C=C34)O)OC)C=C1,C18H21NO3,299.36,2,4,1,88.64,41.93,3.05,1.82,1.88,1.89,2.16,-2.91,High,Yes,No,No,No,Yes,No,0,0,0.55,0,No,-0.946,No,No,2.64,0.976,Yes,No,0.712,1.128
Erythrabyssin,126540,Indian coral tree,Erythrina variegata,PMID: 22228954,CC(=CCC1=C(C=CC2=C1OC3C2(COC4=C3C=CC(=C4)O)O)OC)C,C21H22O5,354.4,3,5,2,97.93,68.15,3.18,4.34,3.19,2.12,3.35,-4.91,High,Yes,No,Yes,Yes,Yes,Yes,0,0,0.55,0,No,-0.385,No,Yes,2.451,2.055,No,No,0.562,1.779
Erythraline,5317205,Indian coral tree,Erythrina variegata,PMID: 22228954,COC1CC23C(=CCN2CCC4=CC5=C(C=C34)OCO5)C=C1,C18H19NO3,297.35,1,4,0,86.19,30.93,3.23,2.02,1.89,2.3,2.39,-3.09,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,No,-0.693,No,No,2.974,1.064,Yes,No,0.75,0.958
Erythritol,222285,Indian coral tree,Erythrina variegata,PMID: 22228954,C(C(C(CO)O)O)O,C4H10O4,122.12,3,4,4,25.99,80.92,0.61,-2.29,-2.31,-1.91,-1.44,1.04,Low,No,No,No,No,No,No,0,4,0.55,0,No,2.207,No,No,0.9,3.023,No,No,0.106,4.153
Octacosyl ferulate,5743442,Indian coral tree,Erythrina variegata,PMID: 22228954,CCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)C=CC1=CC(=C(C=C1)O)OC,C38H66O4,586.93,31,4,1,185.74,55.76,8.84,16.09,12.01,7.09,11.44,-11.68,Low,No,No,No,No,No,No,2,4,0.17,0,No,0.179,No,Yes,1.63,2.748,No,No,0.285,-4.982
Orientanol B,467497,Indian coral tree,Erythrina variegata,PMID: 22228954,CC(=CCC1=CC2=C(C=C1OC)OCC3C2OC4=C3C=CC(=C4)O)C,C21H22O4,338.4,3,4,1,96.89,47.92,3.52,4.69,4.19,2.95,3.96,-5.05,High,Yes,No,Yes,Yes,Yes,Yes,0,0,0.55,0,No,-0.19,No,Yes,2.334,1.523,No,No,0.719,-0.79
Stigmasterol,5280794,Indian coral tree,Erythrina variegata,PMID: 22228954,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H48O,412.69,5,1,1,132.75,20.23,5.01,8.56,7.8,6.62,6.97,-7.46,Low,No,No,No,Yes,No,No,1,3,0.55,0,No,-0.664,No,Yes,2.54,0.872,No,No,0.433,-1.675
