Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Beta-sitosterol,222284,Indian blackberry,Eugenia jambolana L.,DOI: 10.1016/j.jff.2017.07.013,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
betulinic acid,64971,Indian blackberry,Eugenia jambolana L.,DOI: 10.1016/j.jff.2017.07.013,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,C30H48O3,456.7,2,3,2,136.91,57.53,3.79,8.21,7.09,5.82,6.13,-7.71,Low,No,No,No,Yes,No,No,1,3,0.85,0,No,0.144,No,No,2.256,2.206,Yes,No,0.285,-1.174
crategolic acid,73659,Indian blackberry,Eugenia jambolana L.,DOI: 10.1016/j.jff.2017.07.013,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1)C)C(=O)O)C,C30H48O4,472.7,1,4,3,137.82,77.76,3.55,6.51,6.2,4.97,5.24,-6.81,High,No,No,No,No,No,No,1,3,0.56,0,No,0.127,No,No,2.516,1.889,Yes,No,0.285,0.24
cyanidin,128861,Indian blackberry,Eugenia jambolana L.,DOI: 10.1016/j.jff.2017.07.013,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O,C15H11O6+,287.24,1,6,5,76.17,114.29,-2.62,0.77,2.91,0.32,0.32,-2.6,High,No,Yes,No,No,No,No,0,0,0.55,1,No,0.497,No,No,2.464,2.542,No,No,0.29,2.548
delphinidin,68245,Indian blackberry,Eugenia jambolana L.,DOI: 10.1016/j.jff.2017.07.013,C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O.[Cl-],C15H11ClO7,338.7,1,7,6,84.05,134.52,-5.53,1.22,-0.38,0.03,-0.98,-3.16,High,No,No,No,No,No,No,1,0,0.55,1,No,0.503,No,No,2.548,3.09,No,No,0.286,3.85
ellagic acid,5281855,Indian blackberry,Eugenia jambolana L.,DOI: 10.1016/j.jff.2017.07.013,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,C14H6O8,302.19,0,8,4,75.31,141.34,0.79,1.1,1.31,0.14,1.0,-2.94,High,No,Yes,No,No,No,No,0,0,0.55,1,No,0.476,No,No,2.399,2.698,No,No,0.295,2.11
gallic acid,370,Indian blackberry,Eugenia jambolana L.,DOI: 10.1016/j.jff.2017.07.013,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,No,0.7,No,No,2.218,3.06,No,No,0.285,3.188
kaempferol,5280863,Indian blackberry,Eugenia jambolana L.,DOI: 10.1016/j.jff.2017.07.013,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.531,No,No,2.449,2.505,No,No,0.312,2.885
malvidin,159287,Indian blackberry,Eugenia jambolana L.,DOI: 10.1016/j.jff.2017.07.013,COC1=CC(=CC(=C1O)OC)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O,C17H15O7+,331.3,3,7,4,87.13,112.52,-1.96,2.24,3.22,0.28,0.92,-3.6,High,No,Yes,No,No,No,No,0,0,0.55,0,No,0.554,No,No,2.346,2.412,No,No,0.327,1.224
myricetin,5281672,Indian blackberry,Eugenia jambolana L.,DOI: 10.1016/j.jff.2017.07.013,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O8,318.24,1,8,6,80.06,151.59,1.08,1.18,1.69,-1.08,0.79,-3.01,Low,No,Yes,No,No,No,Yes,1,0,0.55,1,No,0.51,No,No,2.497,2.718,No,No,0.286,5.023
