Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"3,3’-di-O-methylellagic acid",5488919,Pencil Tree,Euphorbia tirucalli L.,PMID: 33578946,COC1=C(C=C2C3=C1OC(=O)C4=CC(=C(C(=C43)OC2=O)OC)O)O,C16H10O8,330.25,2,8,2,84.25,119.34,1.9,1.76,1.92,0.65,1.79,-3.36,High,No,Yes,No,No,No,No,0,0,0.55,0,Yes,0.24,No,Yes,2.174,2.165,No,No,0.29,1.495
Beta-sitosterol,222284,Pencil Tree,Euphorbia tirucalli L.,PMID: 33578946,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Campesterol,173183,Pencil Tree,Euphorbia tirucalli L.,PMID: 24258751,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C28H48O,400.68,5,1,1,128.42,20.23,4.92,8.8,7.63,6.54,6.9,-7.54,Low,No,No,No,No,No,No,1,2,0.55,0,No,-0.458,No,Yes,2.08,0.892,No,No,0.631,-1.94
Caoutchouc,6557,Pencil Tree,Euphorbia tirucalli L.,PMID: 33578946,CC(=C)C=C,C5H8,68.12,1,0,0,25.2,0.0,1.86,2.42,1.75,1.97,1.83,-1.72,Low,No,No,No,No,No,No,0,3,0.55,0,No,1.075,No,No,1.981,2.066,No,No,-0.412,1.864
Casuariin,14035442,Pencil Tree,Euphorbia tirucalli L.,PMID: 33578946,C1C(C(OC(=O)C2=CC(=C(C(=C2C3=C(C(=C(C=C3C(=O)O1)O)O)O)O)O)O)C4C5C(C6=C(C(=C(C(=C6C(=O)O5)C7=C(C(=C(C=C7C(=O)O4)O)O)O)O)O)O)O)O,C34H24O22,784.54,1,22,14,176.79,388.42,0.35,0.07,0.03,-3.01,-0.89,-5.0,Low,No,No,No,No,No,No,3,3,0.17,1,No,0.438,No,Yes,2.482,8.432,No,No,0.285,18.77
Citric acid,311,Pencil Tree,Euphorbia tirucalli L.,PMID: 33578946,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,C6H8O7,192.12,5,7,4,37.47,132.13,-1.49,-1.72,-1.25,-1.48,-1.51,0.38,Low,No,No,No,No,No,No,0,2,0.56,0,No,0.749,No,No,2.148,3.698,No,No,0.285,4.251
Corilagin,73568,Pencil Tree,Euphorbia tirucalli L.,PMID: 33578946,C1C2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O1)O)O)O)O)O)O)O,C27H22O18,634.45,3,18,11,141.85,310.66,2.03,0.07,-0.3,-2.42,-0.55,-3.92,Low,No,No,No,No,No,No,3,2,0.17,1,No,0.438,No,Yes,2.482,6.333,No,No,0.285,11.281
Ellagic acid,5281855,Pencil Tree,Euphorbia tirucalli L.,PMID: 33578946,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,C14H6O8,302.19,0,8,4,75.31,141.34,0.79,1.1,1.31,0.14,1.0,-2.94,High,No,Yes,No,No,No,No,0,0,0.55,1,No,0.476,No,No,2.399,2.698,No,No,0.295,2.11
Euphol,441678,Pencil Tree,Euphorbia tirucalli L.,PMID: 33578946,CC(CCC=C(C)C)C1CCC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C)C,C30H50O,426.72,4,1,1,137.04,20.23,5.09,8.91,8.48,6.82,7.42,-7.83,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.568,No,Yes,1.906,0.788,No,No,0.736,-1.757
Gallic acid,370,Pencil Tree,Euphorbia tirucalli L.,PMID: 33578946,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,No,0.7,No,No,2.218,3.06,No,No,0.285,3.188
