Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
20-Tetratriacontene-2-one,56637991,Banyan,Ficus benghalensis L.,DOI: 10.1016/j.crbiot.2023.100134,CCCCCCCCCCCCCC=CCCCCCCCCCCCCCCCCCC(=O)C,C34H66O,490.89,30,1,0,165.28,17.07,8.34,15.61,12.46,7.96,11.59,-10.74,Low,No,No,No,No,No,No,1,4,0.55,0,No,-0.22,No,Yes,1.966,0.612,No,Yes,0.286,-5.281
4-Hydroxyacetophenone,7469,Banyan,Ficus benghalensis L.,DOI: 10.1016/j.crbiot.2023.100134,CC(=O)C1=CC=C(C=C1)O,C8H8O2,136.15,1,2,1,38.66,37.3,1.3,1.35,1.59,1.12,1.41,-1.91,High,Yes,Yes,No,No,No,No,0,3,0.55,0,No,0.624,No,No,1.87,2.394,No,No,0.164,1.685
4-Hydroxybenzoic acid,135,Banyan,Ficus benghalensis L.,DOI: 10.1016/j.crbiot.2023.100134,C1=CC(=CC=C1C(=O)O)O,C7H6O3,138.12,1,3,2,35.42,57.53,0.85,1.58,1.09,0.99,1.05,-2.07,High,Yes,No,No,No,No,No,0,3,0.85,0,No,0.846,No,No,2.255,2.483,No,No,0.268,1.812
4-Hydroxymellein,169539,Banyan,Ficus benghalensis L.,DOI: 10.1016/j.crbiot.2023.100134,CC1C(C2=C(C(=CC=C2)O)C(=O)O1)O,C10H10O4,194.18,0,4,2,48.57,66.76,1.55,1.33,0.66,0.7,1.06,-2.2,High,No,No,No,No,No,No,0,0,0.55,0,Yes,0.121,No,No,1.806,2.156,No,No,0.539,1.991
6-Heptatriacontene-10- one,56613778,Banyan,Ficus benghalensis L.,DOI: 10.1016/j.crbiot.2023.100134,CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)CCC=CCCCCC,C37H72O,532.97,33,1,0,179.7,17.07,9.01,17.1,13.63,8.49,12.63,-11.74,Low,No,No,No,No,No,No,2,4,0.17,0,No,0.006,No,Yes,2.007,0.47,No,Yes,0.285,-5.93
Alpha-Amyrin acetate,92842,Banyan,Ficus benghalensis L.,DOI: 10.1016/j.crbiot.2023.100134,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC(=O)C)C)C)C2C1C)C)C,C32H52O2,468.75,2,2,0,144.88,26.3,4.89,9.58,8.6,7.08,7.43,-8.65,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.485,No,Yes,2.25,2.039,No,No,0.359,-1.996
Alpinumisoflavone,5490139,Banyan,Ficus benghalensis L.,DOI: 10.1016/j.crbiot.2023.100134,CC1(C=CC2=C(O1)C=C3C(=C2O)C(=O)C(=CO3)C4=CC=C(C=C4)O)C,C20H16O5,336.34,1,5,2,96.09,79.9,2.47,3.94,3.95,1.64,3.18,-4.82,High,No,Yes,No,Yes,No,Yes,0,0,0.55,0,No,0.014,No,Yes,2.476,1.588,Yes,No,0.336,0.011
Beta-Sitosterol,222284,Banyan,Ficus benghalensis L.,DOI: 10.1016/j.crbiot.2023.100134,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Beta-Sitosterol glucuronide,5742590,Banyan,Ficus benghalensis L.,DOI: 10.1016/j.crbiot.2023.100134,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,C35H60O6,576.85,9,6,4,165.61,99.38,4.98,7.74,5.85,3.96,5.51,-7.7,Low,No,No,No,No,No,No,1,4,0.55,0,No,-0.887,No,No,2.571,3.293,No,No,0.285,-0.811
beta-Sitosterol-beta-D-glucoside,12309055,Banyan,Ficus benghalensis L.,DOI: 10.1016/j.crbiot.2023.100134,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,C35H60O6,576.85,9,6,4,165.61,99.38,4.98,7.74,5.85,3.96,5.51,-7.7,Low,No,No,No,No,No,No,1,4,0.55,0,No,-0.887,No,No,2.571,3.293,No,No,0.285,-0.811
Lauric acid,3893,Banyan,Ficus benghalensis L.,DOI: 10.1016/j.crbiot.2023.100134,CCCCCCCCCCCC(=O)O,C12H24O2,200.32,10,2,1,61.57,37.3,2.7,4.2,3.99,3.15,3.51,-3.07,High,Yes,No,No,No,No,No,0,0,0.85,0,No,-0.34,No,No,1.511,2.89,No,Yes,0.954,-0.084
Linoleic acid,5280450,Banyan,Ficus benghalensis L.,DOI: 10.1016/j.crbiot.2023.100134,CCCCCC=CCC=CCCCCCCCC(=O)O,C18H32O2,280.45,14,2,1,89.46,37.3,4.14,6.98,5.88,4.47,5.45,-5.05,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.827,No,No,1.429,3.187,Yes,Yes,0.701,-1.31
Linolenic acid,5280934,Banyan,Ficus benghalensis L.,DOI: 10.1016/j.crbiot.2023.100134,CCC=CCC=CCC=CCCCCCCCC(=O)O,C18H30O2,278.43,13,2,1,88.99,37.3,3.36,6.46,5.66,4.38,5.09,-4.78,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.84,No,No,1.441,3.115,Yes,Yes,0.722,-1.183
Lupeol,259846,Banyan,Ficus benghalensis L.,DOI: 10.1016/j.crbiot.2023.100134,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C,C30H50O,426.72,1,1,1,135.14,20.23,4.68,9.87,8.02,6.92,7.26,-8.64,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.502,No,Yes,2.563,0.89,No,No,0.316,-1.696
