Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(-)-Alloaromadendrene,10899740,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1CCC2C1C3C(C3(C)C)CCC2=C,C15H24,204.35,0,0,0,67.14,0.0,3.26,4.71,4.27,5.65,4.34,-4.07,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.146,No,No,1.526,1.332,No,No,1.431,0.429
(-)-alpha-Isocomene,57501472,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1CCC2(C13CCCC3(C=C2C)C)C,C15H24,204.35,0,0,0,66.62,0.0,3.15,5.14,4.56,5.65,4.56,-4.35,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.221,No,No,1.617,1.373,No,No,1.44,0.208
(-)-alpha-Neoclovene,15973057,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1=CCCC2(C13CCC2C(C3)(C)C)C,C15H24,204.35,0,0,0,66.62,0.0,3.14,4.91,4.56,5.65,4.51,-4.2,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.067,No,No,1.562,1.354,No,No,1.375,0.541
(-)-beta-Sesquiphellandrene,12315492,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC(CCC=C(C)C)C1CCC(=C)C=C1,C15H24,204.35,4,0,0,70.68,0.0,3.58,5.41,4.89,4.53,4.56,-4.25,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.273,No,No,1.584,1.314,No,Yes,1.943,0.103
(+)-delta-Cadinene,441005,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1=CC2C(CCC(=C2CC1)C)C(C)C,C15H24,204.35,1,0,0,69.04,0.0,3.32,3.8,4.73,4.63,4.12,-3.43,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.213,No,No,1.552,1.448,No,Yes,1.61,0.093
1-Hydroxylinalool,5363445,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC(=CCCC(C)(C=CO)O)C,C10H18O2,170.25,4,2,2,52.01,40.46,2.42,2.02,2.56,1.66,2.06,-1.9,High,Yes,No,No,No,No,No,0,0,0.55,0,Yes,1.233,No,No,2.328,2.428,No,Yes,-0.212,1.391
1-Methylpentyl acetate,110740,Hairy Fig,Ficus hispida L.,PMID: 11710602,CCCCC(C)OC(=O)C,C8H16O2,144.21,5,2,0,41.85,26.3,2.54,2.34,2.13,1.96,2.14,-1.88,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.826,No,No,1.817,2.352,No,Yes,-0.026,1.607
"2,6-Dimethylocta-1,7-diene-3,6-diol",548927,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC(=C)C(CCC(C)(C=C)O)O,C10H18O2,170.25,5,2,2,51.6,40.46,2.15,1.74,1.64,1.66,1.8,-1.66,High,Yes,No,No,No,No,No,0,0,0.55,0,No,1.107,No,No,1.449,2.737,No,Yes,-0.491,1.896
2-Heptanone,8051,Hairy Fig,Ficus hispida L.,PMID: 11710602,CCCCCC(=O)C,C7H14O,114.19,4,1,0,35.96,17.07,2.09,1.98,2.16,1.74,1.97,-1.53,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.785,No,No,1.771,1.999,No,Yes,-0.173,1.39
alpha-Alaskene,6428487,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1CCC(=C(C)C)C12CCC(=CC2)C,C15H24,204.35,0,0,0,68.78,0.0,3.33,4.59,4.87,4.63,4.33,-4.0,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.205,No,No,1.596,1.448,No,Yes,1.47,0.294
"alpha-Bergamotene, (E)-(-)-",6429302,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1=CCC2CC1C2(C)CCC=C(C)C,C15H24,204.35,3,0,0,68.78,0.0,3.41,6.45,4.73,4.63,4.7,-4.97,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.084,No,No,1.68,1.367,No,Yes,1.562,-0.103
alpha-CIS-BERGAMOTENE,6429303,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1=CCC2CC1C2(C)CCC=C(C)C,C15H24,204.35,3,0,0,68.78,0.0,3.41,6.45,4.73,4.63,4.7,-4.97,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.084,No,No,1.68,1.367,No,Yes,1.562,-0.103
alpha-Curcumene,92139,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1=CC=C(C=C1)C(C)CCC=C(C)C,C15H22,202.34,4,0,0,69.55,0.0,3.5,5.38,4.84,5.75,4.86,-4.52,Low,No,No,No,No,Yes,No,1,0,0.55,0,No,1.016,No,No,1.873,1.297,No,Yes,1.869,-0.622
Alpha-Farnesene,5281516,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC(=CCCC(=CCC=C(C)C=C)C)C,C15H24,204.35,6,0,0,72.32,0.0,3.89,6.12,5.2,4.84,4.96,-4.57,Low,No,Yes,No,Yes,No,No,1,0,0.55,0,No,0.179,No,No,1.467,1.367,No,Yes,2.07,-0.327
Alpha-Longipinene,12311396,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1=CCC2C3C1C2(CCCC3(C)C)C,C15H24,204.35,0,0,0,66.88,0.0,3.25,4.62,4.42,5.65,4.37,-4.02,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.141,No,No,1.677,1.334,No,No,0.909,0.56
