Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"9,12,15-Octadecatrienoic acid",5280934,Krishna Fig,Ficus krishnae,DOI: 10.7897/2230-8407.0810204,CCC=CCC=CCC=CCCCCCCCC(=O)O,C18H30O2,278.43,13,2,1,88.99,37.3,3.36,6.46,5.66,4.38,5.09,-4.78,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,1.226,No,No,1.818,3.056,No,Yes,1.744,-2.011
Betulin,72326,Krishna Fig,Ficus krishnae,DOI: 10.7897/2230-8407.0810204,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,C30H50O2,442.72,2,2,2,136.3,40.46,4.31,8.28,7.0,6.0,6.36,-7.67,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.338,No,Yes,2.644,1.633,No,No,0.713,-0.082
Bolasterone,102146,Krishna Fig,Ficus krishnae,DOI: 10.7897/2230-8407.0810204,CC1CC2=CC(=O)CCC2(C3C1C4CCC(C4(CC3)C)(C)O)C,C21H32O2,316.48,0,2,1,95.01,37.3,3.15,3.61,4.52,4.05,3.9,-4.08,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.283,No,Yes,2.39,1.837,No,No,1.481,0.798
"Cyclopentasiloxane, decamethyl",10913,Krishna Fig,Ficus krishnae,DOI: 10.7897/2230-8407.0810204,C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,C10H30O5Si5,370.77,0,5,0,92.84,46.15,4.4,5.03,3.59,-1.04,1.58,-5.31,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.941,No,No,3.207,1.132,No,No,2.383,0.837
Geranyl isovalerate,5362830,Krishna Fig,Ficus krishnae,DOI: 10.7897/2230-8407.0810204,CC(C)CC(=O)OCC=C(C)CCC=C(C)C,C15H26O2,238.37,8,2,0,74.56,26.3,3.97,5.3,4.27,3.74,4.28,-4.13,High,Yes,Yes,No,Yes,No,No,0,0,0.55,0,No,1.577,No,No,2.157,2.424,No,Yes,2.052,0.518
Lupeol,259846,Krishna Fig,Ficus krishnae,DOI: 10.7897/2230-8407.0810204,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C,C30H50O,426.72,1,1,1,135.14,20.23,4.68,9.87,8.02,6.92,7.26,-8.64,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.204,No,Yes,2.601,1.895,No,No,0.712,-0.325
Mellein,28516,Krishna Fig,Ficus krishnae,DOI: 10.7897/2230-8407.0810204,CC1CC2=C(C(=CC=C2)O)C(=O)O1,C10H10O3,178.18,0,3,1,47.4,46.53,1.96,2.44,1.49,1.55,1.88,-2.82,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,1.333,No,No,2.066,2.632,No,No,0.813,1.772
n-Hexadecanoic acid,985,Krishna Fig,Ficus krishnae,DOI: 10.7897/2230-8407.0810204,CCCCCCCCCCCCCCCC(=O)O,C16H32O2,256.42,14,2,1,80.8,37.3,3.85,7.17,5.55,4.19,5.2,-5.02,High,Yes,Yes,No,Yes,No,No,1,0,0.85,0,No,1.572,No,No,2.281,2.887,No,Yes,1.967,-0.195
Oleic acid,445639,Krishna Fig,Ficus krishnae,DOI: 10.7897/2230-8407.0810204,CCCCCCCCC=CCCCCCCCC(=O)O,C18H34O2,282.46,15,2,1,89.94,37.3,4.27,7.64,6.11,4.57,5.71,-5.41,High,No,Yes,No,Yes,No,No,1,1,0.85,0,No,1.482,No,Yes,2.316,2.858,No,Yes,2.006,-0.399
Phytol,5280435,Krishna Fig,Ficus krishnae,DOI: 10.7897/2230-8407.0810204,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C,C20H40O,296.53,13,1,1,98.94,20.23,4.71,8.19,6.36,5.25,6.22,-5.98,Low,No,No,No,Yes,No,No,1,1,0.55,0,No,1.412,No,Yes,2.173,2.761,No,Yes,2.19,-0.459
