Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Beta-sitosteryl-D-glucoside,11498765,Peepal ,Ficus religiosa L. ,PMID: 22228961,CCCCCCCCCCCCCCCC(=O)OCC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(C4CC=C3C2)CCC5C(C)CCC(CC)C(C)C)C)C)O)O)O,C51H90O7,815.26,25,7,3,242.65,105.45,8.43,15.09,11.88,6.52,10.69,-12.75,Low,No,No,No,No,No,Yes,2,4,0.17,0,No,0.069,No,No,2.669,2.13,No,No,0.285,-6.156
lanosterol,246983,Peepal ,Ficus religiosa L. ,PMID: 22228961,CC(CCC=C(C)C)C1CCC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C)C,C30H50O,426.72,4,1,1,137.04,20.23,5.09,8.91,8.48,6.82,7.42,-7.83,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.568,No,Yes,1.906,0.788,No,No,0.736,-1.757
lupen-3-one,323075,Peepal ,Ficus religiosa L. ,PMID: 22228961,CC(=C)C1CCC2(C1C3CCC4C5(CCC(=O)C(C5CCC4(C3(CC2)C)C)(C)C)C)C,C30H48O,424.7,1,1,0,134.18,17.07,4.54,9.56,8.23,6.82,7.31,-8.43,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.008,No,Yes,2.556,0.831,No,No,0.315,-1.777
methyl oleanolate,92900,Peepal ,Ficus religiosa L. ,PMID: 22228961,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)OC)C,C31H50O3,470.73,2,3,1,140.97,46.53,4.62,7.81,7.32,6.01,6.43,-7.55,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.573,No,No,2.568,1.894,No,No,0.358,-1.113
methyl piperate,9921021,Peepal ,Ficus religiosa L. ,PMID: 22228961,COC(=O)C=CC=CC1=CC2=C(C=C1)OCO2,C13H12O4,232.23,4,4,0,62.64,44.76,2.95,3.56,2.05,1.78,2.62,-3.52,High,Yes,Yes,Yes,Yes,No,No,0,0,0.55,0,No,0.421,No,No,2.102,1.673,No,No,1.349,0.46
myricetin,5281672,Peepal ,Ficus religiosa L. ,PMID: 22228961,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O8,318.24,1,8,6,80.06,151.59,1.08,1.18,1.69,-1.08,0.79,-3.01,Low,No,Yes,No,No,No,Yes,1,0,0.55,1,No,0.51,No,No,2.497,2.718,No,No,0.286,5.023
n-octacosanol,68406,Peepal ,Ficus religiosa L. ,PMID: 22228961,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,C28H58O,410.76,26,1,1,137.87,20.23,7.2,13.61,10.14,7.07,9.8,-9.25,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.401,No,Yes,1.871,0.769,No,Yes,0.304,-3.819
Piperine,638024,Peepal ,Ficus religiosa L. ,PMID: 22228961,C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3,C17H19NO3,285.34,4,3,0,85.47,38.77,3.38,3.46,2.51,2.39,3.03,-3.74,High,Yes,Yes,Yes,Yes,No,No,0,0,0.55,0,No,-0.38,No,No,2.811,1.51,Yes,No,1.879,1.732
Piperlongumine,637858,Peepal ,Ficus religiosa L. ,PMID: 22228961,COC1=CC(=CC(=C1OC)OC)C=CC(=O)N2CCC=CC2=O,C17H19NO5,317.34,6,5,0,89.47,65.07,2.46,2.07,1.55,1.34,1.96,-2.91,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.463,No,No,2.449,1.492,Yes,No,1.144,1.795
quercetin,5280343,Peepal ,Ficus religiosa L. ,PMID: 22228961,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.24,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.23,-3.16,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.471,2.612,No,No,0.288,3.721
stigmasterol,5280794,Peepal ,Ficus religiosa L. ,PMID: 22228961,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H48O,412.69,5,1,1,132.75,20.23,5.01,8.56,7.8,6.62,6.97,-7.46,Low,No,No,No,Yes,No,No,1,3,0.55,0,No,-0.664,No,Yes,2.54,0.872,No,No,0.433,-1.675
